att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,target
-0.41367,-0.34416,-0.18699,0.063604,0.34468,0.592,0.84047,0.9297,1.0997,1.2481,1.3553,1.3986,1.3936,1.2839,1.1608,1.0613,0.94298,0.80237,0.6384,0.40329,0.1523,-0.10246,-0.35004,-0.41406,-0.45661,-0.281,-0.075119,0.17495,0.43217,0.58271,0.83794,1.1066,1.3913,1.4095,1.3411,1.2795,1.3091,1.2844,1.3426,1.3719,1.442,1.4047,1.2946,1.0285,0.77185,0.5152,0.25136,0.039463,-0.20255,-0.42278,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,-1.1024,8
-0.42677,-0.36409,-0.18085,0.049814,0.30459,0.55514,0.7105,0.9014,1.0304,1.2292,1.3776,1.495,1.4344,1.2912,1.2004,1.0378,0.85839,0.66002,0.43007,0.35722,0.17509,-0.093317,-0.32371,-0.43981,-0.43879,-0.2427,-0.039964,0.20395,0.45591,0.68822,0.90298,1.1564,1.3506,1.3346,1.2905,1.317,1.3372,1.3922,1.3853,1.3947,1.4667,1.4252,1.2185,1.0493,0.79319,0.55206,0.31613,0.036775,-0.18307,-0.3529,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,-1.1027,8
-0.44557,-0.42577,-0.23349,-0.009153,0.17354,0.39444,0.57158,0.7963,0.98989,1.1643,1.2734,1.3721,1.3675,1.2701,1.1392,0.9597,0.83467,0.6944,0.56574,0.34516,0.072599,-0.18517,-0.35672,-0.41117,-0.32364,-0.16236,0.045744,0.29427,0.54344,0.79296,1.0425,1.2942,1.4747,1.4267,1.287,1.2769,1.2599,1.3501,1.3986,1.3528,1.3733,1.4573,1.341,1.1579,0.89922,0.62949,0.36139,0.12191,-0.098219,-0.32997,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,-1.1062,8
-0.47655,-0.4751,-0.33623,-0.098393,0.15199,0.40731,0.67594,0.96178,1.1242,1.2561,1.4096,1.4505,1.3782,1.2462,1.1002,0.93732,0.75552,0.49096,0.28253,0.004974,-0.24497,-0.44141,-0.49273,-0.41282,-0.23046,-0.026906,0.20172,0.43981,0.67826,0.9203,1.1597,1.4089,1.4525,1.4423,1.3496,1.3939,1.3994,1.4373,1.3952,1.3856,1.4614,1.3663,1.2139,0.95266,0.7033,0.49188,0.2328,0.009046,-0.23833,-0.41502,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,-1.0747,8
-0.5052,-0.42246,-0.30243,-0.069985,0.12706,0.2721,0.44565,0.67112,0.88887,1.0973,1.2976,1.3912,1.4362,1.3354,1.2352,1.123,0.95977,0.75449,0.50405,0.24583,0.037371,-0.18961,-0.4031,-0.52617,-0.40052,-0.19898,0.022517,0.27157,0.50328,0.76021,1.0175,1.2521,1.3828,1.4189,1.3712,1.3556,1.3808,1.4262,1.4012,1.3874,1.4821,1.4984,1.3365,1.1162,0.87852,0.59906,0.32086,0.064003,-0.20758,-0.38398,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,-1.082,8
-0.48167,-0.39234,-0.19492,0.051977,0.22144,0.45876,0.71681,0.94579,1.116,1.2042,1.3056,1.429,1.3378,1.2421,1.1308,0.97397,0.82472,0.62893,0.45584,0.30228,0.061382,-0.12726,-0.35618,-0.46812,-0.42224,-0.24964,-0.004052,0.2514,0.48815,0.73393,0.95616,1.202,1.3745,1.4615,1.4091,1.3959,1.3765,1.3963,1.4291,1.436,1.5027,1.4189,1.2718,0.99921,0.75349,0.52351,0.27018,0.031224,-0.21488,-0.40512,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,-1.0924,8
-0.38515,-0.31521,-0.14404,0.065538,0.29731,0.55416,0.81923,0.94583,1.1254,1.2736,1.3756,1.3698,1.3115,1.2175,1.1089,0.9192,0.77134,0.56401,0.3742,0.12265,-0.073044,-0.1974,-0.37514,-0.35348,-0.3176,-0.12324,0.089726,0.3124,0.54084,0.78523,1.024,1.2284,1.3292,1.312,1.2839,1.3125,1.372,1.4533,1.4485,1.4134,1.4702,1.4047,1.2273,1.037,0.80059,0.54352,0.31658,0.087108,-0.1258,-0.30491,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,-1.1098,8
-0.54412,-0.47739,-0.29192,-0.092767,0.14917,0.39502,0.64774,0.91207,1.1929,1.3424,1.4138,1.4682,1.4487,1.3008,1.1395,0.95818,0.75538,0.56596,0.37417,0.11205,-0.14061,-0.33983,-0.48865,-0.51488,-0.38565,-0.19235,0.011603,0.24924,0.4918,0.7327,0.97469,1.1958,1.4076,1.4673,1.4223,1.365,1.4165,1.461,1.4912,1.4612,1.4698,1.3998,1.222,1.0364,0.77059,0.54518,0.24775,0.025197,-0.17909,-0.39664,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,-1.0666,8
-0.5199,-0.44451,-0.25665,0.01062,0.23813,0.48064,0.72108,0.98129,1.1469,1.3889,1.4315,1.4277,1.3983,1.3002,1.1444,0.93334,0.76236,0.56728,0.3232,0.054178,-0.18422,-0.39677,-0.50943,-0.49574,-0.3509,-0.13762,0.071836,0.31462,0.53668,0.77782,0.99464,1.2361,1.3655,1.4157,1.3814,1.4013,1.4175,1.4268,1.4963,1.4391,1.4738,1.391,1.2345,0.9655,0.73715,0.48269,0.24504,-0.005444,-0.23247,-0.4434,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,-1.0713,8
-0.47182,-0.39635,-0.18338,0.058734,0.1443,0.39177,0.65548,0.75464,0.843,1.1097,1.3133,1.5157,1.5651,1.5166,1.3846,1.308,1.098,0.89575,0.71747,0.51302,0.31015,0.053695,-0.19395,-0.42495,-0.54207,-0.4227,-0.25913,-0.035474,0.22774,0.47259,0.73636,0.98195,1.1976,1.2617,1.2886,1.2939,1.3391,1.4712,1.3888,1.3083,1.3531,1.3732,1.2868,1.1344,0.86736,0.59576,0.3307,0.087065,-0.16504,-0.34557,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,-1.0902,8
