att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,target
-0.11252,-2.8272,-3.7739,-4.3498,-4.376,-3.475,-2.1814,-1.8183,-1.2505,-0.47749,-0.36381,-0.49196,-0.42186,-0.3092,-0.49594,-0.34212,-0.35534,-0.36791,-0.3165,-0.41237,-0.47167,-0.41346,-0.36462,-0.4493,-0.47142,-0.42478,-0.46252,-0.55247,-0.47538,-0.6942,-0.70187,-0.59381,-0.66068,-0.71383,-0.76981,-0.67228,-0.65368,-0.63941,-0.5593,-0.59167,-0.49322,-0.46305,-0.30164,-0.23273,-0.12505,-0.15394,-0.024357,-0.065609,0.034999,0.061935,0.071195,0.12393,0.10312,0.22523,0.12868,0.30248,0.25728,0.19635,0.17938,0.24473,0.34122,0.3282,0.40604,0.44661,0.42407,0.48151,0.47784,0.62408,0.57458,0.59801,0.56459,0.60798,0.62063,0.65625,0.68475,0.69427,0.66558,0.5758,0.63813,0.61492,0.56908,0.46858,0.44282,0.46827,0.43249,0.40796,0.41862,0.36253,0.41096,0.47167,0.37217,0.33788,0.22141,0.274,0.29866,0.26356,0.34256,0.41951,0.58661,0.86062,1.1733,1.2582,1.4338,1.7005,1.999,2.1253,1.9933,1.9322,1.7974,1.5223,1.2512,0.99873,0.48372,0.023132,-0.19491,-0.22092,-0.24374,-0.25469,-0.29114,-0.25649,-0.22787,-0.32242,-0.28929,-0.31817,-0.36365,-0.39346,-0.26642,-0.25682,-0.28869,-0.16234,0.16035,0.79217,0.93354,0.79696,0.57862,0.25774,0.22808,0.12343,0.92529,0.19314,1
-1.1009,-3.9968,-4.2858,-4.5066,-4.0224,-3.2344,-1.5661,-0.99226,-0.75468,0.042321,0.14895,0.18353,0.29488,0.19023,0.23558,0.25349,0.22174,0.050233,0.17804,0.13956,0.046794,0.043007,0.10654,0.012654,0.003995,0.045724,-0.045999,-0.072667,-0.071078,-0.15387,-0.22725,-0.24927,-0.25349,-0.33284,-0.26433,-0.34583,-0.31078,-0.33416,-0.30618,-0.17456,-0.20616,-0.22448,-0.048684,-0.019621,0.094805,0.11679,0.18519,0.23053,0.13803,0.24443,0.27169,0.259,0.2692,0.12706,0.20207,0.25598,0.15312,0.21022,0.19108,0.19093,0.21051,0.20711,0.20489,0.20086,0.34692,0.348,0.25454,0.33197,0.35669,0.34993,0.43038,0.4675,0.48606,0.40319,0.47896,0.39739,0.46412,0.4518,0.36136,0.37983,0.34279,0.39911,0.38751,0.2557,0.28403,0.28499,0.25011,0.17304,0.14942,0.14168,0.22226,0.17285,0.15078,0.17657,0.28094,0.48994,0.66089,0.89319,1.027,1.2024,1.5574,1.8084,2.1643,2.0707,1.9036,1.7645,1.5078,1.2934,0.89456,0.57802,0.24434,-0.28644,-0.51588,-0.73271,-0.83247,-0.80332,-0.83625,-0.77786,-0.77475,-0.7334,-0.72139,-0.8321,-0.71198,-0.75187,-0.75772,-0.85312,-0.76699,-0.68816,-0.51992,0.039406,0.56033,0.53836,0.65688,0.78749,0.72405,0.55578,0.47633,0.77382,1.1196,-1.4362,1
-0.56709,-2.5935,-3.8742,-4.5841,-4.1874,-3.1515,-1.7429,-1.4907,-1.1836,-0.39423,-0.2829,-0.35693,-0.2873,-0.39949,-0.47324,-0.37905,-0.39904,-0.17859,-0.33952,-0.49845,-0.33725,-0.42548,-0.42395,-0.46317,-0.49325,-0.54975,-0.52983,-0.53093,-0.50236,-0.41737,-0.52635,-0.471,-0.67678,-0.89861,-0.61057,-0.53016,-0.76567,-0.58194,-0.53785,-0.55639,-0.43802,-0.43625,-0.40011,-0.13499,-0.23935,-0.12024,-0.001971,0.285,0.31565,0.10736,0.10952,0.15808,0.2919,0.26129,0.18841,0.14065,0.26337,0.28721,0.31432,0.17794,0.13829,0.32107,0.45817,0.25192,0.26135,0.27749,0.29879,0.45908,0.41915,0.52051,0.53776,0.60321,0.47563,0.52169,0.73525,0.72954,0.71852,0.49843,0.54544,0.60483,0.5213,0.39438,0.40502,0.59756,0.53113,0.37765,0.4677,0.45757,0.34112,0.40791,0.45913,0.40394,0.29819,0.4611,0.66466,0.58776,0.70132,0.9172,1.248,1.5056,1.6401,1.811,2.1854,2.263,2.0529,1.8905,1.793,1.5648,1.2346,0.9003,0.55196,0.25822,-0.12859,-0.092585,-0.16861,-0.49599,-0.39503,-0.32824,-0.44814,-0.26823,-0.45641,-0.35787,-0.31751,-0.43411,-0.5492,-0.32462,-0.26808,-0.22038,-0.11743,0.61406,1.2848,0.88607,0.53145,0.31138,-0.021919,-0.71368,-0.5322,0.3211,0.90423,-0.4218,1
0.49047,-1.9144,-3.6164,-4.3188,-4.268,-3.8811,-2.9933,-1.6711,-1.3339,-0.96563,-0.18332,-0.10166,-0.27387,-0.12782,-0.19598,-0.21352,-0.17647,-0.15693,-0.14917,-0.18151,-0.18007,-0.24615,-0.27426,-0.14096,-0.27745,-0.38255,-0.31194,-0.36009,-0.40597,-0.57143,-0.52411,-0.53789,-0.60678,-0.66145,-0.68337,-0.74668,-0.63566,-0.62523,-0.54009,-0.67499,-0.65395,-0.56692,-0.52404,-0.41471,-0.38779,-0.28444,-0.072745,-0.16013,-0.09216,0.067165,0.081472,0.056182,0.024692,0.074395,0.15289,0.091033,0.11016,0.11728,0.11383,0.14181,0.27149,0.24974,0.19761,0.24394,0.38654,0.30002,0.3098,0.34467,0.38971,0.44285,0.43343,0.54871,0.52504,0.52197,0.62395,0.54916,0.66919,0.62993,0.53957,0.59928,0.49785,0.63809,0.61174,0.49191,0.57395,0.51624,0.57263,0.48459,0.37438,0.46177,0.41466,0.37164,0.44517,0.48417,0.55606,0.65872,0.86116,1.0164,1.1356,1.217,1.5531,1.7722,2.0008,1.925,1.8984,1.721,1.5017,1.4225,1.0232,0.77634,0.50443,0.056382,-0.23316,-0.40639,-0.32753,-0.46087,-0.40254,-0.34575,-0.35421,-0.43996,-0.42533,-0.43979,-0.45184,-0.39593,-0.44876,-0.39179,-0.37631,-0.46107,-0.25352,0.21301,0.49117,0.35082,0.49911,0.60034,0.84207,0.95207,0.99013,1.0868,1.403,-0.38356,1
0.80023,-0.87425,-2.3848,-3.9733,-4.3382,-3.8024,-2.5345,-1.7834,-1.5945,-0.7532,-0.29811,-0.42893,-0.49135,-0.3613,-0.3393,-0.32495,-0.29011,-0.36305,-0.52568,-0.59742,-0.57552,-0.5675,-0.50455,-0.61841,-0.68281,-0.74385,-0.81559,-0.8269,-0.78237,-0.92946,-0.99967,-1.061,-1.0079,-1.0287,-1.1226,-1.0286,-1.0465,-1.0634,-1.1224,-0.98324,-0.85587,-0.79127,-0.58875,-0.51831,-0.3973,-0.35433,-0.20742,-0.088266,-0.16873,-0.067592,-0.032772,0.071899,0.081485,0.067225,0.13272,0.070241,0.10043,0.15042,0.10989,0.14886,0.20875,0.22824,0.27366,0.29952,0.32706,0.24231,0.38611,0.41909,0.43972,0.48895,0.54172,0.57387,0.63355,0.41167,0.44092,0.58871,0.53087,0.55896,0.60687,0.61473,0.53777,0.59929,0.64046,0.5684,0.54471,0.55796,0.53776,0.47229,0.4666,0.63442,0.42517,0.42078,0.44052,0.36103,0.3593,0.32137,0.42133,0.50512,0.67749,0.90869,0.98223,1.1554,1.3363,1.6275,1.7176,1.6965,1.7417,1.6741,1.5469,1.3317,1.1102,0.92221,0.52178,0.15485,-0.12386,-0.203,-0.24796,-0.21912,-0.2147,-0.31921,-0.1986,-0.15162,-0.12959,-0.074939,-0.19681,-0.17479,-0.20883,-0.21075,-0.10049,0.19745,0.96661,1.1489,0.95843,1.059,1.3717,1.2774,0.9603,0.97102,1.6144,1.4215,1
-1.5077,-3.5746,-4.478,-4.4083,-3.3212,-2.1052,-1.481,-1.3014,-0.49824,-0.28693,-0.39003,-0.26384,-0.31802,-0.18592,-0.26979,-0.32225,-0.30925,-0.3911,-0.30326,-0.31929,-0.40792,-0.42158,-0.48138,-0.44752,-0.52485,-0.46912,-0.58261,-0.67904,-0.65205,-0.84685,-0.76668,-0.73515,-0.78846,-0.85128,-0.83701,-0.8435,-0.82704,-0.87806,-0.75509,-0.80992,-0.67942,-0.58342,-0.45742,-0.37778,-0.36063,-0.23173,-0.23684,-0.047711,-0.052632,-0.074355,-0.094409,-0.082684,0.006754,-0.082925,-0.061499,0.021667,-0.040823,0.038088,0.041113,-0.10717,0.034701,0.085704,0.12186,0.088891,0.18568,0.22991,0.1832,0.28685,0.27956,0.41859,0.39461,0.42764,0.44484,0.4683,0.51542,0.6363,0.63325,0.64466,0.62755,0.53004,0.49282,0.47921,0.41336,0.47562,0.43649,0.40684,0.4433,0.31768,0.36132,0.361,0.24143,0.31811,0.32515,0.4783,0.47608,0.53206,0.79548,0.94517,1.1049,1.2907,1.4892,1.7553,1.9609,2.0424,1.9028,1.9029,1.7581,1.4258,1.2102,0.9284,0.64126,0.17553,-0.10691,-0.13204,-0.16584,-0.098571,-0.26602,-0.23729,-0.13769,-0.10067,-0.1075,-0.21036,-0.1301,-0.10763,-0.16115,-0.10132,-0.095255,-0.069172,0.15488,0.69566,1.2149,1.0891,0.98337,1.0141,0.95263,0.74933,1.0071,1.635,1.4934,-0.78313,1
-0.29716,-2.7666,-4.1022,-4.5897,-4.2194,-3.6504,-2.3005,-1.2939,-1.0657,-0.49052,0.050751,-0.076647,-0.094647,-0.15818,-0.068692,-0.14083,-0.069177,-0.13428,-0.059199,-0.13138,-0.18121,-0.21596,-0.21755,-0.25406,-0.33125,-0.30492,-0.27379,-0.34793,-0.38743,-0.404,-0.42505,-0.5077,-0.58217,-0.53292,-0.63787,-0.65594,-0.54965,-0.68673,-0.58304,-0.63651,-0.62085,-0.46829,-0.42352,-0.3247,-0.26359,-0.12756,0.011175,0.024381,0.084773,0.059936,0.16447,0.16221,0.12599,0.14363,0.078259,0.17852,0.1266,0.17504,0.16946,0.2997,0.24249,0.29717,0.2384,0.24916,0.22552,0.26718,0.23663,0.25743,0.41651,0.42658,0.45904,0.4166,0.40913,0.39678,0.55727,0.53501,0.59008,0.58584,0.56813,0.55499,0.45756,0.4627,0.49947,0.45014,0.37201,0.42852,0.3046,0.24413,0.29407,0.20672,0.37246,0.3946,0.39445,0.40425,0.4599,0.67724,0.81142,0.88953,1.1304,1.2852,1.6524,1.8393,1.9485,1.9407,1.8161,1.7273,1.5512,1.2119,1.1334,0.74592,0.36093,-0.12852,-0.39422,-0.4366,-0.50648,-0.45515,-0.45787,-0.5453,-0.5061,-0.37653,-0.4578,-0.49546,-0.45869,-0.33281,-0.41033,-0.40652,-0.33723,-0.38648,-0.08258,0.22032,0.59498,0.58178,0.68441,0.91165,0.97948,1.0535,0.97479,1.1104,1.2882,-0.82339,1
0.44677,-1.5074,-3.1875,-4.5075,-4.6042,-3.6361,-2.3116,-1.5977,-1.3624,-0.66922,-0.17339,-0.20512,-0.23079,-0.17712,-0.23851,-0.20508,-0.23054,-0.20916,-0.29294,-0.25507,-0.25399,-0.35198,-0.42774,-0.46595,-0.46029,-0.47506,-0.44975,-0.56228,-0.53278,-0.6358,-0.63659,-0.74955,-0.80678,-0.69629,-0.85528,-0.89626,-0.90567,-0.90846,-0.83008,-0.83884,-0.69213,-0.64577,-0.48887,-0.40646,-0.35638,-0.22658,-0.20574,-0.071802,-0.066372,0.007502,0.030632,0.02097,0.033968,0.16489,0.083024,0.045059,-0.004767,0.12382,0.10804,0.073936,0.11257,0.055673,0.12375,0.22033,0.23411,0.32279,0.21514,0.33897,0.33479,0.32808,0.51228,0.49877,0.60277,0.65328,0.68093,0.72841,0.68048,0.6405,0.6205,0.65801,0.71363,0.62167,0.48816,0.45528,0.42458,0.50447,0.42813,0.45084,0.44836,0.38991,0.39159,0.34957,0.41467,0.47231,0.56453,0.73509,0.79975,1.126,1.1641,1.2818,1.5527,1.6916,1.8828,1.7603,1.8259,1.6193,1.3949,1.1328,0.92835,0.59884,0.22924,-0.14471,-0.27007,-0.32319,-0.3496,-0.29816,-0.25184,-0.29194,-0.41335,-0.30745,-0.33083,-0.43239,-0.28993,-0.32493,-0.30929,-0.25257,-0.28259,-0.16934,0.25873,0.89663,1.0882,1.0013,1.2921,1.3787,1.0148,0.82079,1.0344,1.2584,0.96121,-0.99948,1
0.087631,-1.7535,-3.3045,-4.7047,-4.6864,-3.6118,-2.2673,-1.5709,-1.4178,-0.50079,-0.22518,-0.30883,-0.21473,-0.21451,-0.22312,-0.26234,-0.21182,-0.2991,-0.25996,-0.31611,-0.25867,-0.28715,-0.36686,-0.30598,-0.41671,-0.4023,-0.38155,-0.5199,-0.52095,-0.59692,-0.6507,-0.67964,-0.75153,-0.72522,-0.8307,-0.80732,-0.84839,-0.74455,-0.69997,-0.75435,-0.62192,-0.53394,-0.3966,-0.22089,-0.17932,-0.00948,-0.024018,0.04146,0.094493,0.083212,0.099031,0.045914,0.10952,0.16816,0.26347,0.1361,0.15884,0.089803,0.1466,0.19677,0.26898,0.23726,0.18636,0.24142,0.27843,0.38316,0.38958,0.39355,0.57739,0.58775,0.58188,0.54492,0.65789,0.60178,0.64273,0.69906,0.68011,0.69864,0.71618,0.66863,0.67183,0.57504,0.52921,0.54334,0.60328,0.55471,0.56362,0.48903,0.44695,0.45643,0.39325,0.44144,0.44739,0.27406,0.36461,0.40122,0.44789,0.54781,0.64209,0.78833,0.7498,0.82085,0.96416,1.0619,1.3409,1.1378,0.86401,0.68398,0.62842,0.50113,0.49129,0.46194,0.32981,0.12042,-0.14197,-0.19518,-0.10265,-0.076308,-0.11651,-0.19169,-0.23429,-0.16113,-0.14536,-0.21218,-0.13568,-0.13344,-0.17008,-0.035914,0.33224,1.0633,1.5758,1.709,2.1429,2.3935,1.9256,1.0276,0.57345,0.19297,-0.64868,-2.4411,1
-0.83228,-1.7004,-2.2573,-2.8537,-2.8533,-2.7015,-2.2857,-1.5555,-1.2666,-1.086,-0.69464,-0.58852,-0.66247,-0.768,-0.77255,-0.62105,-0.61419,-0.63012,-0.66958,-0.68415,-0.69294,-0.6113,-0.64701,-0.62136,-0.64107,-0.65907,-0.62098,-0.67492,-0.66416,-0.73694,-0.76924,-0.69966,-0.8003,-0.72742,-0.75043,-0.78907,-0.73296,-0.76549,-0.69709,-0.76728,-0.71642,-0.64584,-0.57318,-0.56026,-0.61643,-0.61432,-0.55194,-0.40994,-0.46597,-0.42836,-0.42284,-0.37139,-0.39472,-0.42202,-0.35485,-0.40841,-0.42534,-0.38702,-0.41,-0.42726,-0.3869,-0.37227,-0.38801,-0.32093,-0.3617,-0.30422,-0.22083,-0.26523,-0.25316,-0.17679,-0.18034,-0.13543,-0.10219,-0.069772,-0.012026,0.019393,0.00235,0.025685,0.1062,0.060628,0.14101,0.098627,0.10026,0.12497,0.13151,0.15842,0.10196,0.16903,0.19831,0.16514,0.19786,0.11946,0.24411,0.36,0.46533,0.50421,0.55612,0.68719,0.823,0.92351,1.0769,1.1586,1.1559,1.1377,1.0218,0.91858,0.83113,0.68051,0.5403,0.46393,0.13577,0.040806,0.055551,0.018918,0.14897,0.39534,0.77973,0.94139,1.0008,0.98593,0.97372,1.0345,1.0623,1.061,1.1162,1.2244,1.4212,1.6447,2.0072,2.1186,2.0283,2.1105,2.2037,2.2275,2.1717,2.0459,2.1264,2.1269,1.6793,0.96581,1
