att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,target
0.009913,0.033429,-0.005764,-0.029279,-0.052795,0.009913,-0.021441,-0.029279,-0.060633,-0.091987,-0.013602,-0.060633,-0.013602,-0.07631,-0.060633,-0.12334,-0.084149,-0.068472,-0.037118,-0.07631,-0.060633,-0.12334,-0.060633,-0.091987,-0.068472,-0.10766,-0.099826,-0.14686,-0.029279,0.009913,0.096137,0.12749,0.16668,0.2921,0.41752,0.11965,-0.084149,-0.07631,-0.2174,-0.19389,-0.27227,-0.24092,-0.31147,-0.30363,-0.24092,-0.20956,-0.1547,-0.2174,-0.091987,0.66051,2.8318,5.0266,0.91918,-4.9362,-6.1198,-4.3326,-2.42,-1.0718,-0.44472,-0.33498,-0.14686,-0.12334,-0.052795,0.002075,-0.005764,-0.044956,0.02559,0.12749,0.064783,0.11965,0.15884,0.25291,0.33913,0.35481,0.42535,0.67619,0.76241,0.87999,1.1308,1.0916,1.2641,1.1543,1.1465,0.98973,0.76241,0.55077,0.36265,0.22939,0.11965,0.08046,0.02559,0.033429,0.049106,0.009913,0.064783,0.096137,0.096137,0.11965,0.14317,0.1902,0.11965,0.072621,0.19804,0.096137,0.10398,0.041267,-0.013602,0.009913,0.08046,-0.013602,-0.021441,0.009913,-0.07631,-0.14686,-0.060633,0.033429,-0.060633,-0.005764,-0.060633,0.002075,-0.068472,0.009913,-0.029279,-0.029279,-0.052795,-0.037118,-0.091987,0.002075,-0.044956,-0.060633,-0.068472,0.002075,-0.029279,-0.1155,0.002075,0.02559,1
0.073039,0.032245,0.040404,0.048563,0.032245,0.052642,0.040404,0.015928,0.015928,0.003689,-0.00039,-0.008549,-0.016707,-0.012628,-0.008549,-0.049343,-0.020787,-0.045263,-0.053422,-0.057501,-0.061581,-0.086057,-0.090136,-0.057501,-0.073819,-0.090136,-0.073819,-0.10645,-0.081978,-0.077898,-0.098295,-0.098295,-0.06566,-0.016707,0.048563,0.056721,0.081198,0.15871,-0.098295,-0.15133,-0.18804,-0.21252,-0.18804,-0.26555,-0.26555,-0.24107,-0.26963,-0.26555,-0.24923,-0.27371,-0.24923,-0.18804,0.073039,1.5906,1.101,-1.5383,-4.5367,-5.271,-3.4801,-1.8687,-0.80811,-0.37161,-0.22884,-0.11869,-0.073819,-0.012628,0.003689,0.048563,0.040404,0.12199,0.18726,0.22806,0.28517,0.34636,0.41979,0.53809,0.65231,0.81549,1.0358,1.2969,1.6069,1.9414,2.2881,2.6104,2.8756,2.9653,2.847,2.4513,1.8965,1.2561,0.68903,0.34636,0.10975,-0.033025,-0.11461,-0.13909,-0.16357,-0.15949,-0.14725,-0.13093,-0.11461,-0.086057,-0.10645,-0.10645,-0.090136,-0.073819,-0.098295,-0.14725,-0.13909,-0.16357,-0.2166,-0.18396,-0.23291,-0.24107,-0.27779,-0.26963,-0.29003,-0.28187,-0.30634,-0.33082,-0.3145,-0.33898,-0.3553,-0.3553,-0.36346,-0.3553,-0.37161,-0.37161,-0.42057,-0.36346,-0.38793,-0.38793,-0.40425,-0.38793,-0.37569,-0.40425,1
1.9088,0.36896,0.34081,0.32204,0.3502,0.3502,0.37835,0.33143,0.37835,0.27512,0.3502,0.29389,0.38773,0.31266,0.3502,0.31266,0.30327,0.24696,0.23758,0.20004,0.20943,0.26573,0.23758,0.25635,0.18127,0.18127,0.22819,0.19066,0.18127,0.17189,0.17189,0.13435,0.1625,0.11558,0.05927,0.05927,0.3502,0.31266,0.41589,0.031116,-0.12842,-0.16596,-0.2035,-0.29735,-0.18473,-0.015808,0.012347,-0.090885,-0.043962,-0.025192,0.021731,-0.025192,0.012347,0.002962,0.021731,0.69743,0.4722,-3.4037,-6.1628,-5.9657,-4.2483,-2.5684,-1.5549,-0.74781,-0.18473,-0.053346,0.087424,0.087424,0.087424,0.12496,0.18127,0.049885,0.13435,0.12496,0.14373,0.2845,0.38773,0.41589,0.48158,0.67866,0.85697,1.0447,1.2136,1.3637,1.467,1.4576,1.3731,0.96959,0.65051,0.2845,0.20004,0.031116,-0.053346,0.002962,0.05927,-0.072116,-0.062731,-0.0815,-0.10027,-0.13781,-0.043962,-0.034577,0.12496,0.068655,0.068655,0.021731,0.11558,0.031116,0.049885,-0.072116,-0.034577,-0.10027,-0.006423,-0.034577,0.049885,-0.12842,0.021731,-0.14719,-0.034577,-0.034577,0.040501,-0.043962,-0.090885,-0.062731,-0.025192,-0.10027,-0.062731,-0.0815,0.021731,0.15312,0.14373,0.33143,0.002962,-0.29735,-0.27858,-0.35366,2
-0.48046,-0.47018,-0.37762,-0.42904,-0.42904,-0.44961,-0.37762,-0.31592,-0.44961,-0.31592,-0.40847,-0.33649,-0.33649,-0.2645,-0.28507,-0.28507,-0.27479,-0.2645,-0.21308,-0.21308,-0.18223,-0.13081,-0.13081,-0.038261,-0.079396,-0.079396,-0.099964,0.013157,-0.00741,0.033725,0.044008,0.054292,0.13656,0.28053,0.28053,0.31138,0.13656,0.023441,-0.017694,-0.08968,-0.017694,0.19826,0.15713,0.14685,0.20855,0.21883,0.2394,0.2394,0.28053,0.33195,0.88727,1.4015,-2.6195,-5.4681,-5.9308,-3.9358,-2.4035,-1.2929,-0.45989,0.15713,0.32167,0.45536,0.49649,0.51706,0.54791,0.55819,0.54791,0.6816,0.6199,0.60961,0.71245,0.7433,0.805,0.90784,1.0724,1.2678,1.4529,1.6483,1.8745,1.9671,1.9465,1.7922,1.4632,1.0621,0.70217,0.45536,0.31138,0.27025,0.21883,0.18798,0.1777,0.14685,0.13656,0.064576,0.22911,0.19826,0.20855,0.13656,0.15713,0.16741,0.13656,0.10571,0.13656,0.12628,0.10571,0.054292,0.074859,0.044008,0.054292,0.023441,0.002873,0.002873,0.002873,-0.038261,-0.048545,-0.079396,-0.058829,-0.08968,-0.099964,-0.12053,-0.12053,-0.1411,-0.11025,-0.11025,0.044008,0.12628,-0.11025,-0.23365,-0.33649,-0.40847,-0.5833,-0.51131,-0.38791,-0.36734,-0.37762,-0.36734,2
0.33531,0.29816,0.29816,0.28887,0.30745,0.22386,0.24243,0.26101,0.15884,0.26101,0.25172,0.21457,0.23314,0.15884,0.21457,0.20528,0.20528,0.22386,0.17742,0.20528,0.21457,0.15884,0.20528,0.14027,0.15884,0.12169,0.084544,0.10312,0.13098,0.084544,0.047394,0.065969,0.19599,0.31673,0.32602,0.27958,-0.10121,-0.26838,-0.26838,-0.23123,-0.15693,-0.036194,-0.073344,-0.10121,-0.10121,-0.017619,-0.017619,-0.045482,-0.026907,0.000956,-0.008332,0.30745,1.2734,-1.9216,-5.3765,-6.0545,-4.1413,-2.5531,-1.4665,-0.69561,-0.15693,0.028819,0.14027,0.14027,0.17742,0.16813,0.22386,0.21457,0.21457,0.25172,0.32602,0.26101,0.40961,0.38175,0.54892,0.52106,0.66037,0.74396,0.939,1.1619,1.3291,1.6449,1.8678,2.0814,2.2485,2.1557,1.9049,1.422,0.89256,0.4932,0.20528,0.056681,-0.017619,-0.10121,-0.064057,-0.10121,-0.20337,-0.10121,-0.026907,-0.091919,-0.10121,-0.054769,-0.073344,-0.064057,-0.064057,-0.11978,-0.082632,-0.19408,-0.017619,-0.15693,-0.19408,-0.15693,-0.23123,-0.16622,-0.21266,-0.22195,-0.23123,-0.28696,-0.17551,-0.23123,-0.31482,-0.28696,-0.26838,-0.28696,-0.34268,-0.2591,-0.30553,-0.37983,-0.3334,-0.35197,-0.32411,-0.31482,-0.35197,-0.32411,-0.37983,-0.4077,1
0.24689,0.24689,0.27225,0.25196,0.20632,0.19618,0.24182,0.19618,0.18603,0.12011,0.10997,0.10997,0.14039,0.08968,0.04911,0.094751,0.12518,0.04911,0.094751,0.084609,0.018682,0.01361,0.054181,0.003468,0.044038,0.038967,0.044038,0.069395,0.12518,0.18603,0.24182,0.25196,0.31282,0.27732,0.13025,-0.006675,-0.062459,-0.16389,-0.12839,-0.15881,-0.19938,-0.19938,-0.16389,-0.15881,-0.17403,-0.1436,-0.16389,0.11504,1.6161,3.8069,1.961,-3.014,-6.3915,-5.4076,-3.4146,-1.7918,-0.76737,-0.42252,-0.2501,-0.16389,-0.082744,-0.082744,-0.042174,0.008539,0.038967,0.033896,0.10997,0.14039,0.28746,0.37367,0.52581,0.73374,0.94166,1.1648,1.3524,1.4741,1.5654,1.5705,1.4386,1.1445,0.85038,0.59174,0.3331,0.21646,0.10997,0.04911,-0.016817,-0.02696,-0.06753,-0.011746,-0.021889,-0.02696,0.018682,0.008539,0.028824,0.033896,0.023753,0.059252,0.038967,0.023753,0.003468,-0.037103,-0.011746,-0.037103,-0.06753,-0.057388,-0.047245,-0.11317,-0.1081,-0.1081,-0.13853,-0.1081,-0.12839,-0.12839,-0.13346,-0.12839,-0.1081,-0.15881,-0.13346,-0.1791,-0.1791,-0.082744,0.008539,0.059252,0.084609,0.12011,0.20632,-0.042174,-0.17403,-0.17403,-0.30588,-0.27038,-0.33124,-0.33124,-0.3211,-0.32617,2
-0.53259,-0.48285,-0.49943,-0.48285,-0.45798,-0.47456,-0.43311,-0.45798,-0.42482,-0.4414,-0.4414,-0.42482,-0.42482,-0.42482,-0.42482,-0.44969,-0.40824,-0.43311,-0.40824,-0.49114,-0.48285,-0.39166,-0.40824,-0.42482,-0.40824,-0.39995,-0.37508,-0.42482,-0.35021,-0.40824,-0.37508,-0.39166,-0.40824,-0.22585,-0.10979,-0.084915,-0.20927,-0.42482,-0.59063,-0.64866,-0.68182,-0.59063,-0.39995,-0.41653,-0.3585,-0.3585,-0.35021,-0.30875,-0.29217,-0.28388,-0.24243,-0.28388,-0.14295,0.77728,-1.0051,-3.998,-6.1286,-4.4456,-3.2601,-2.0995,-1.1212,-0.49114,-0.14295,-0.084915,-0.002012,0.022859,0.097472,0.13063,0.11405,0.18867,0.13063,0.18038,0.28815,0.34618,0.4208,0.52028,0.60318,0.79386,0.96796,1.1669,1.3493,1.4405,1.6395,1.6229,1.3493,1.0592,0.78557,0.53686,0.37934,0.35447,0.33789,0.3296,0.26328,0.26328,0.29644,0.33789,0.37934,0.36276,0.45396,0.43738,0.43738,0.45396,0.46225,0.57831,0.57002,0.53686,0.54515,0.57831,0.56173,0.5866,0.63634,0.66122,0.68609,0.61976,0.61147,0.66951,0.60318,0.66122,0.57831,0.62805,0.66951,0.69438,0.71096,0.69438,0.64463,0.69438,0.76899,0.72754,0.8436,0.95138,0.99283,0.83531,0.75241,0.60318,0.57831,0.49541,2
0.1623,0.12309,0.1511,0.11748,0.17351,0.11188,0.13429,0.14549,0.10068,0.10068,0.10068,0.067063,0.078267,0.033449,0.078267,0.078267,0.027847,0.044653,0.06146,0.016642,0.01104,0.06146,0.022244,0.01104,0.033449,0.055858,0.033449,0.005438,-0.011369,-0.050585,-0.039381,0.016642,0.005438,-0.028176,0.095074,0.17351,0.1623,0.20712,0.30796,0.1567,-0.022574,-0.078597,-0.19624,-0.067392,-0.25787,-0.25227,-0.22426,-0.20185,-0.25227,-0.19064,-0.21305,-0.15143,-0.15143,0.016642,1.0979,3.1203,1.0531,-3.2495,-6.0002,-4.9694,-2.9246,-1.3503,-0.54919,-0.27468,-0.17944,-0.11781,-0.044983,-0.016972,0.055858,0.089472,0.039051,0.072665,0.083869,0.20152,0.26314,0.31356,0.4144,0.50404,0.59368,0.79536,0.95222,1.2547,1.4844,1.7926,2.0111,2.252,2.2632,2.1567,2.0335,1.5741,1.0923,0.68331,0.31356,0.11748,-0.028176,-0.12902,-0.16823,-0.12341,-0.16263,-0.11781,-0.06179,-0.10661,-0.067392,-0.067392,-0.022574,-0.022574,-0.095404,-0.050585,-0.10661,-0.12341,-0.12902,-0.16823,-0.18504,-0.16823,-0.21865,-0.21865,-0.22426,-0.25787,-0.28588,-0.30829,-0.30829,-0.3419,-0.36992,-0.34751,-0.38112,-0.38112,-0.40353,-0.35311,-0.38672,-0.42034,-0.44274,-0.44835,-0.42594,-0.42594,-0.43154,-0.40913,1
0.21071,0.23166,0.23689,0.2526,0.24737,0.26307,0.22642,0.21595,0.20024,0.1793,0.15312,0.16882,0.12694,0.13741,0.11646,0.12694,0.09552,0.09552,0.11646,0.090284,0.09552,0.074576,0.069339,0.069339,0.090284,0.074576,0.058867,0.074576,0.064103,0.13741,0.22119,0.26307,0.30496,0.34685,0.39921,0.19501,0.053631,0.048395,-0.056326,-0.003966,-0.10869,-0.087743,-0.087743,-0.066798,-0.087743,-0.040618,-0.030146,-0.030146,-0.009202,0.68196,2.6926,3.499,-0.077271,-4.9521,-6.4758,-4.4599,-2.6848,-1.1611,-0.49616,-0.28671,-0.18199,-0.10869,-0.087743,-0.05109,0.016979,0.069339,0.09552,0.16882,0.20024,0.29449,0.37303,0.51441,0.66625,0.85475,1.0642,1.2632,1.4202,1.504,1.5197,1.4778,1.2841,1.0014,0.69767,0.45681,0.26831,0.15312,0.048395,0.006507,-0.009202,-0.030146,-0.05109,-0.05109,-0.061562,-0.014438,-0.040618,0.006507,0.032687,0.048395,0.022215,0.011743,-0.040618,-0.014438,-0.056326,-0.003966,-0.11392,-0.15058,-0.10869,-0.087743,-0.1244,-0.1244,-0.19246,-0.16105,-0.17152,-0.21864,-0.21864,-0.20294,-0.20294,-0.22388,-0.28671,-0.24482,-0.25006,-0.30242,-0.29719,-0.30242,-0.23959,-0.10345,-0.10345,-0.077271,-0.040618,0.032687,-0.19246,-0.23959,-0.31813,-0.42809,-0.40191,-0.4438,2
0.23385,0.23385,0.18936,0.27834,0.21605,0.23385,0.19825,0.22495,0.20715,0.17156,0.19825,0.22495,0.18046,0.15376,0.14486,0.12707,0.17156,0.14486,0.16266,0.16266,0.17156,0.14486,0.10927,0.13596,0.15376,0.11817,0.16266,0.073675,0.12707,0.073675,0.073675,0.046979,0.038081,0.29614,0.33173,0.34953,0.13596,-0.086499,-0.27337,-0.24667,-0.068702,-0.068702,-0.024209,-0.059803,-0.068702,-0.006412,-0.024209,-0.059803,0.011385,0.038081,0.020283,0.020283,0.37623,1.2127,-2.409,-5.3811,-5.8528,-4.251,-2.2044,-1.2967,-0.57592,-0.068702,0.064776,0.15376,0.11817,0.26054,0.22495,0.27834,0.23385,0.33173,0.32283,0.26944,0.39402,0.42962,0.42072,0.46521,0.58979,0.73217,0.85675,1.0258,1.2216,1.4618,1.7377,1.9424,2.1915,2.1915,2.2449,1.8445,1.3462,0.80336,0.39402,0.12707,0.011385,-0.1043,-0.11319,-0.068702,-0.11319,-0.13099,-0.024209,-0.059803,-0.14879,-0.086499,-0.068702,-0.024209,-0.033108,-0.050905,-0.12209,-0.15769,-0.12209,-0.13989,-0.17548,-0.18438,-0.21998,-0.21998,-0.30006,-0.22888,-0.23777,-0.31786,-0.27337,-0.32676,-0.30006,-0.36235,-0.28227,-0.30006,-0.31786,-0.37125,-0.38905,-0.38905,-0.30896,-0.32676,-0.34456,-0.37125,-0.42464,-0.37125,-0.34456,-0.48693,1
