att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,target
-0.24759,-0.3325,-0.63211,-1.0248,-1.4263,-1.5804,-1.3367,-1.0606,-0.72388,-0.61791,-0.60727,-0.43246,0.19506,1.1825,2.035,2.5091,2.4787,1.834,0.64009,-0.52794,-1.0802,-0.63079,-0.013037,0.33552,-0.26113,-1.2743,-2.1793,-2.5109,-1.8107,-0.24534,1.4615,2.3655,2.3288,1.8777,1.1803,0.76126,0.40593,0.035664,-0.5267,-1.4668,-2.1068,-1.8594,-0.71635,0.46671,1.002,0.66285,-0.38449,-1.6531,-2.6497,-2.5728,-1.2302,0.41143,1.2253,1.4776,1.268,1.9525,1.9117,1.4345,0.14984,-0.82523,-0.70081,-0.22817,0.48399,0.76508,1.0748,0.85138,0.056287,-0.35277,-0.64584,0.17923,0.70064,0.47093,0.19681,-0.18148,-0.36687,-0.22756,-0.12852,-0.005048,0.19023,-0.083634,-0.24229,-0.14475,-0.19009,-0.22271,-0.37819,-0.36686,0.13483,0.6621,0.96629,0.77246,0.3208,-0.12392,-0.12184,0.088781,0.1772,0.10814,0.13036,0.51955,0.95864,1.1591,0.94676,0.32998,-0.20976,-0.48787,-0.41019,-0.056677,0.11306,0.018735,0.16472,0.30147,0.4454,0.22212,-0.36105,-0.72348,-0.40942,-0.005982,0.33235,0.18385,-0.17012,-0.59029,-0.68536,-0.58232,-0.27345,-0.077336,-0.11999,-0.35003,-0.49092,-0.14271,0.02771,0.09079,-0.32731,1
-0.64158,-0.93942,-1.3002,-1.3859,-1.2692,-1.0365,-0.75869,-0.63115,-0.58199,-0.539,-0.10571,0.7161,1.6007,2.2687,2.4395,2.1088,1.2574,0.094403,-0.78189,-0.93806,-0.33628,0.1805,0.37786,-0.2422,-1.2308,-2.0745,-2.4995,-1.9572,-0.54023,1.1419,2.3636,2.4579,2.05,1.3605,0.78982,0.4666,0.15628,-0.23058,-1.1006,-1.9324,-2.2448,-1.5237,-0.18498,0.8206,1.1555,0.5055,-0.82078,-2.05,-2.8224,-2.4152,-0.80496,0.55076,1.3114,1.333,0.67138,1.5636,2.0708,1.7311,0.83095,-0.46276,-0.88629,-0.55155,-0.16316,0.34296,0.64554,0.91328,0.9484,0.34074,-0.23065,-0.5877,-0.37419,0.32654,0.59764,0.25172,0.12433,-0.28634,-0.27616,0.037591,-0.095305,0.24828,0.1348,-0.31081,-0.40103,-0.41697,-0.065489,-0.087586,-0.30009,-0.18999,0.13267,0.59673,0.79551,0.6387,0.32324,-0.00281,-0.065975,0.077552,0.18007,0.25767,0.22827,0.3233,0.64877,0.6835,0.80107,0.79079,0.47751,0.11469,-0.37321,-0.64507,-0.3049,0.13425,0.38072,0.47586,0.27598,-0.009,-0.26193,-0.51186,-0.571,-0.24727,0.087086,0.30094,0.23406,-0.14149,-0.60777,-0.93918,-0.64041,-0.19161,0.062604,0.030992,-0.3888,-0.58184,-0.24863,1
-1.672,-1.8815,-2.091,-1.6977,-1.2951,-0.82255,-0.34781,0.73743,1.8522,2.449,3.0117,2.1355,1.1393,0.23399,-0.66214,-0.47316,-0.15322,-0.47026,-0.87669,-1.3317,-1.7944,-1.8174,-1.7604,-0.92549,0.067861,1.2418,2.4565,2.2423,1.6708,1.1667,0.68107,0.30838,-0.030438,-0.35502,-0.67496,-1.1136,-1.5943,-1.397,-0.93998,-0.38532,0.20967,0.063358,-0.41243,-1.2213,-2.189,-1.864,-0.8775,-0.13972,0.46187,1.0921,1.7391,2.0028,2.0269,1.2759,0.008212,-0.46254,-0.36703,0.10789,0.86994,1.107,0.92112,0.61963,0.21902,0.093683,0.21933,0.18167,-0.01433,-0.27135,-0.59129,-0.70642,-0.59691,-0.28445,0.2648,0.52592,0.42936,0.27562,0.046305,-0.13684,-0.255,-0.37316,-0.49132,-0.47274,-0.23537,0.1271,0.70329,0.86827,0.28238,-0.17628,-0.38629,-0.36946,0.12263,0.37062,0.069401,-0.04195,0.30639,0.71326,1.273,1.5499,1.0283,0.51767,0.040873,-0.32589,-0.32589,-0.27793,-0.055238,0.19361,0.54711,0.7948,0.57519,0.27206,-0.4411,-1.0445,-1.0445,-0.8816,0.29515,1.255,0.66907,0.057949,-0.76222,-1.4526,-0.86672,-0.29847,0.058114,0.37081,0.014227,-0.32589,-0.32589,-0.32589,-0.32589,-0.32589,-0.32589,1
-0.46378,-1.1118,-1.7471,-2.1124,-2.4093,-2.0119,-1.5575,-0.7353,0.059425,0.72829,1.4164,2.1713,2.6151,2.2124,1.4745,0.002169,-0.86377,-0.64333,-0.42264,-0.2016,-0.27147,-0.70015,-1.2611,-1.9584,-1.7707,-0.82082,0.45137,1.955,2.2269,1.7657,1.3273,0.90012,0.52696,0.17518,-0.21,-0.60565,-1.1398,-1.7072,-1.4444,-1.0359,-0.24645,0.58744,0.30174,-0.055047,-1.1923,-2.2949,-1.8861,-1.4389,-0.51488,0.41407,1.3793,2.1897,2.211,1.9583,0.66758,-0.27637,-0.20047,0.068798,0.79247,1.1867,0.95058,0.51464,-0.23644,-0.40179,0.20036,0.57942,0.71447,0.37096,-0.41009,-0.74437,-0.73768,-0.3153,0.3707,0.76996,1.0193,0.67969,0.089403,-0.23995,-0.48059,-0.4357,-0.31538,-0.095376,0.14421,0.368,0.58965,0.37992,0.13541,0.016272,-0.09321,0.1804,0.42524,0.21708,0.056556,0.30434,0.60482,1.2056,1.6181,1.2487,0.75791,-0.11954,-0.65012,-0.30443,-0.072251,-0.072251,-0.026646,0.095575,0.36611,0.84321,0.82459,0.23028,-0.30402,-0.78006,-0.6656,-0.072352,0.23492,0.34917,-0.060073,-0.76149,-0.82243,-0.59099,-0.35359,-0.11401,-0.061193,-0.06225,-0.062439,-0.062439,-0.37038,-0.72611,-0.7608,-0.76392,-0.76392,1
-0.76474,-1.1185,-1.4648,-1.6507,-1.7909,-1.4653,-1.1537,-0.93204,-0.66487,-0.18891,0.47088,1.7679,2.7254,2.7586,2.325,0.86883,-0.18818,-0.53009,-0.59493,-0.2493,-0.30315,-0.84971,-1.4496,-2.1044,-1.8584,-0.8369,0.39569,1.7798,2.1244,1.8502,1.5079,1.1323,0.6884,0.21744,-0.19615,-0.59174,-1.1258,-1.6931,-1.6298,-1.456,-0.6938,0.13699,-0.038647,-0.27819,-1.3105,-2.3145,-2.0073,-1.6452,-0.60417,0.3991,1.1237,1.8,2.2303,2.3558,1.3272,0.39259,-0.26558,-0.51136,0.21196,0.8157,1.1907,1.1591,0.48647,-0.0705,-0.47589,-0.43659,0.089119,0.34689,0.3597,0.11277,-0.33236,-0.3653,-0.13685,0.25484,0.73186,0.71193,0.48052,-0.11295,-0.82951,-0.69705,-0.34033,-0.48286,-0.72346,-0.32938,0.15076,0.80642,1.4762,0.81542,0.12384,0.10381,0.090109,0.1761,0.26379,0.36604,0.51781,0.95176,1.2534,1.0057,0.70929,0.25777,-0.064648,-0.060928,-0.057458,-0.054499,-0.008151,0.11109,0.13197,0.015844,0.1185,0.47522,0.22625,-0.61062,-1.0512,-1.1704,-0.64644,0.31173,0.49921,0.25656,0.17706,0.17204,0.001452,-0.22996,-0.37271,-0.4899,-0.41469,-0.2975,-0.17854,-0.059297,-0.26575,-0.50423,-0.50423,1
-0.57665,-1.0368,-1.4859,-1.7969,-2.0156,-1.6997,-1.3485,-0.87261,-0.26087,0.67702,1.587,2.4489,2.6479,2.0072,1.0496,-0.20694,-0.52986,-0.19927,-0.087454,-0.087454,-0.40588,-0.83895,-1.3188,-1.8097,-1.2787,-0.61147,0.88926,2.3762,2.1398,1.8675,1.2831,0.75481,0.48871,0.18674,-0.22287,-0.75625,-1.5484,-1.8622,-1.4495,-0.83317,0.012401,0.39617,0.39302,-0.48256,-1.8982,-2.2041,-2.0141,-0.82877,0.6628,1.0633,1.2533,1.6462,2.0587,1.5235,0.96655,0.28703,-0.24711,0.1718,0.54321,0.73135,0.77454,0.44388,0.065489,-0.40043,-0.45585,0.040811,0.47343,0.842,0.54374,-0.25037,-0.96991,-1.6488,-0.92819,0.33502,0.79515,1.0471,0.24756,-0.71235,-0.65542,-0.53849,-0.65897,-0.73674,-0.37316,0.063493,0.87876,1.3333,0.61541,0.14179,0.21484,0.32443,0.49301,0.44698,0.14478,0.21384,0.61292,0.84027,0.95452,0.89847,0.76095,0.67539,0.60713,0.30887,-0.038676,-0.39041,-0.74263,-0.41113,-0.053097,0.43097,0.81531,0.45173,-0.047894,-1.1231,-1.7244,-1.0097,-0.29183,0.43219,0.7559,0.50773,0.15204,-0.31767,-0.59106,-0.70946,-0.60513,-0.37132,-0.2175,-0.097022,-0.16435,-0.28483,-0.40623,-0.52778,-0.52778,1
-1.8559,-1.5512,-1.2419,-0.87277,-0.55766,-0.55553,-0.36487,0.492,1.3972,2.4185,2.8782,2.3721,1.4742,0.079919,-0.57147,-0.52242,-0.49907,-0.4937,-0.83012,-1.3412,-1.6188,-1.8123,-0.70188,0.71672,1.8087,2.8572,2.3178,1.7096,1.2483,0.77278,0.17296,-0.47167,-1.3255,-1.9023,-1.6483,-1.1286,-0.053029,0.5034,0.27158,-0.39575,-1.553,-1.9417,-1.6863,-1.0276,-0.11916,0.17231,0.1881,0.78163,1.5529,2.0597,2.5155,0.99898,-0.70846,-0.83152,-0.85059,0.41604,1.4631,1.0706,0.6426,0.077234,-0.26728,-0.042206,0.17314,0.37066,0.4261,0.29046,-0.015201,-0.49089,-0.34899,0.25215,0.71127,1.0929,0.37663,-0.76537,-1.0875,-1.197,-0.7154,-0.14362,-0.10999,-0.10299,0.37272,0.8195,0.96717,1.0494,0.79214,0.53611,0.28393,0.072897,-0.046009,-0.085471,0.0034,0.003985,-0.1008,0.073513,0.49592,0.71712,0.80582,0.55241,0.13537,0.047063,0.068325,0.080407,0.090522,-0.10055,-0.3147,0.12765,0.57054,0.59411,0.51447,-0.33934,-0.93605,-0.44506,-0.084593,-0.086716,-0.25136,-0.73396,-0.76848,-0.16286,0.15041,0.15362,-0.12114,-0.61535,-0.71857,-0.59447,-0.47114,-0.34813,-0.60293,-0.96465,-1.1928,-1.398,-1.398,1
-1.5783,-1.2211,-0.86396,-0.73818,-0.61601,-0.14071,0.3458,1.1962,2.0642,2.4646,2.8343,1.6637,0.36469,-0.20419,-0.69882,-0.73332,-0.71228,-1.273,-1.9154,-1.9451,-1.8763,-0.40686,1.3173,2.2163,2.9472,2.4539,1.6835,0.97074,0.27245,-0.068818,-0.31207,-1.0095,-1.8433,-1.8543,-1.5967,-0.67843,0.47383,0.37633,-0.1998,-1.1035,-2.1426,-2.0455,-1.4434,-0.6084,0.33777,0.66087,0.66519,1.0202,1.5672,1.6178,1.3777,0.78043,-0.040025,-0.24172,-0.030899,0.49646,1.2487,1.2694,0.73655,0.11558,-0.57634,-0.52311,0.16881,0.62691,0.87182,0.55294,-0.31264,-0.65832,-0.46784,-0.1233,0.39021,0.4815,0.080209,-0.44108,-1.1113,-1.2525,-0.69444,-0.32543,-0.22244,-0.067422,0.16563,0.50046,0.99814,1.1808,0.82534,0.54533,0.40312,0.26666,0.14144,-0.044713,-0.35852,-0.45861,-0.077818,0.33581,0.82892,1.1327,0.94226,0.71833,0.39994,0.095413,-0.16663,-0.39079,-0.48866,-0.47789,-0.071329,0.27999,0.41033,0.43556,-0.003475,-0.34807,-0.22907,-0.090954,0.1523,0.2948,-0.18962,-0.65824,-1.0143,-1.3059,-1.0626,-0.79843,-0.32844,0.10579,0.11089,0.093569,-0.26552,-0.61339,-0.72939,-0.83804,-0.71526,-0.71526,-0.71526,1
-2.3209,-1.8584,-1.3958,-0.85606,-0.303,0.23971,0.77808,1.5863,2.6089,3.1215,2.8998,2.4102,1.1678,0.043976,-0.1641,-0.37218,-0.4813,-0.58706,-0.90321,-1.2657,-1.6496,-2.044,-1.6341,-0.49509,0.65419,1.8205,2.5639,1.8876,1.238,0.8865,0.53504,0.12431,-0.29058,-0.88,-1.5167,-1.8292,-1.9589,-1.5402,-0.55496,0.091112,0.091112,-0.11759,-1.1785,-2.1655,-1.7238,-1.2821,-0.53171,0.25236,0.31267,0.13698,0.64928,1.6078,2.0376,1.844,1.45,0.61304,-0.089461,-0.10625,-0.11858,0.13684,0.39226,0.42602,0.42631,0.40632,0.37848,0.27769,0.12272,-0.004524,-0.094426,-0.18779,-0.2901,-0.36477,-0.25627,-0.14777,-0.037395,0.073012,0.000398,-0.1081,0.011486,0.23426,0.096011,-0.34855,-0.57438,-0.463,-0.24662,0.29176,0.69308,-0.16187,-1.0168,-0.46653,0.15644,0.55788,0.90508,0.78658,0.42359,0.25212,0.266,0.34335,0.53322,0.75565,1.0983,1.3705,0.63926,-0.091941,-0.44993,-0.7746,-0.68045,-0.46154,-0.24263,-0.023725,0.092484,0.095368,0.024589,-0.1972,-0.379,-0.379,-0.37535,-0.26396,-0.15258,-0.43561,-0.76976,-0.93886,-1.0493,-0.70126,-0.034899,0.28764,0.17724,0.000805,-0.33335,-0.33335,-0.33335,1
0.94077,0.15292,-0.59487,-0.83802,-1.0844,-1.3496,-1.5674,-1.6178,-1.5619,-1.251,-0.971,-0.74431,-0.052457,1.2286,2.2162,2.9272,2.7033,1.8249,0.95688,0.094083,-0.32579,-0.58622,-0.42537,-0.16494,-0.13329,-0.13213,-1.101,-2.0788,-1.8734,-1.5499,-0.19601,1.0227,1.611,1.9371,1.4768,1.0822,0.82484,0.30748,-0.60472,-1.4196,-2.1249,-2.2097,-1.7747,-0.97968,0.038171,0.42605,0.53246,-0.77347,-2.514,-2.2925,-1.6925,0.001969,1.8023,0.82476,-0.10461,0.40012,0.97608,2.019,2.5638,1.1872,0.13724,-0.070097,-0.061712,0.34216,0.45819,0.18711,0.24799,0.64082,0.67644,0.44646,0.028229,-0.49268,-0.35424,0.039854,0.2244,0.35461,0.14388,-0.11885,0.34074,0.83243,0.45018,0.068356,-0.30907,-0.56557,-0.19544,0.058259,-0.066474,-0.056688,0.25417,0.50318,0.6523,0.42848,-0.24047,-0.34904,0.040504,0.48666,0.97011,0.78632,0.28342,0.099977,0.023016,0.027448,0.049322,0.52181,1.046,1.0856,1.0808,0.42966,-0.20346,-0.70156,-1.0575,-0.81212,-0.4645,0.16704,0.45684,0.077991,-0.29727,-0.6674,-0.67829,-0.30816,-0.082335,0.029552,-0.078941,-0.31556,-0.54518,-0.77187,-0.55482,-0.21217,-0.058857,0.061814,0.061814,1
