att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,target
0.47612,0.47612,0.47612,0.44761,0.35376,0.20844,0.098387,0.057093,0.015623,-0.027152,-0.069926,-0.018234,0.044153,0.057882,0.048497,0.007318,-0.071545,-0.13397,-0.14357,-0.15483,-0.26307,-0.37132,-0.35419,-0.30505,-0.24206,-0.1689,-0.088915,0.003399,0.10924,0.30132,0.49339,0.58291,0.66293,0.77095,0.89127,0.96002,0.97169,0.93272,0.74521,0.56108,0.47337,0.38567,0.3684,0.36728,0.4042,0.46721,0.56375,0.71669,0.84649,0.84776,0.84903,0.63981,0.41529,0.16168,-0.10371,-0.29596,-0.41256,-0.49003,-0.46231,-0.4311,-0.3346,-0.23811,-0.11635,0.010558,0.068711,0.082934,0.069547,0.012941,-0.023834,0.036558,0.09695,0.22724,0.36128,0.57776,0.8249,1.0816,1.3475,1.5552,1.6191,1.6711,1.5601,1.449,1.1179,0.74707,0.41587,0.10823,-0.13293,-0.27712,-0.40855,-0.48428,-0.56002,-0.48873,-0.41228,-0.36448,-0.32645,-0.28938,-0.25317,-0.2397,-0.27801,-0.32911,-0.51821,-0.70732,-0.96424,-1.2318,-1.5214,-1.8232,-1.9171,-1.7281,-1.4254,-0.67786,0.069719,0.75203,1.4332,1.8481,2.1801,2.1845,1.9124,1.4254,0.48604,-0.4471,-1.3249,-2.2028,-2.5973,-2.9268,-3.0339,-3.0271,-2.786,-2.2477,-1.6376,-0.77318,0.091194,12
-0.99641,-0.99641,-0.95837,-0.43421,-0.12366,-0.026905,-0.50669,-0.70956,-0.62985,0.29972,0.5634,0.33011,-0.041998,0.12569,0.56216,0.31456,0.31194,0.34084,-0.36154,-0.33551,0.085875,0.50316,0.44804,0.089174,-0.5917,-0.70391,-0.26272,1.3518,1.3875,0.7255,-0.17865,-0.076733,0.39254,0.8959,0.64284,0.086026,-0.64857,-0.56096,-0.22083,0.18161,0.20249,0.24173,0.51608,0.47511,0.36333,0.23993,0.34475,0.13049,-0.71137,-0.93033,-0.53002,0.7125,0.84485,0.22156,-1.3105,-0.40513,0.52215,1.2011,0.078531,-1.0859,-2.1705,-1.0308,0.70515,3.0082,1.9178,0.94656,0.14299,0.15331,0.035954,-0.19833,-0.44276,-0.31234,0.12671,0.50333,0.47072,0.15619,0.17829,0.84138,1.83,1.7809,0.066347,-2.3619,-2.4461,-1.3269,0.17298,-0.097713,-0.82457,-1.5793,-1.3217,-0.69842,0.04516,0.57839,1.0034,1.3218,1.4176,1.9343,2.1917,1.1179,-0.3266,-1.5136,-1.624,-1.0793,-0.63142,-0.91274,-1.2144,-1.3412,-1.061,-0.66867,-0.2097,0.3341,0.77458,1.3195,2.0925,2.3333,2.1066,1.2408,0.47269,-0.093306,-0.37228,-0.14403,0.017648,0.017648,-0.11233,-0.30996,-0.58065,-1.3662,-1.9298,-2.2109,-1.7858,-0.90057,0.44897,5
-0.33911,-0.33911,-0.12105,0.021728,-0.1136,-0.48369,-0.52928,-0.38735,-0.077808,0.35123,0.76956,0.76952,0.40817,-0.040619,-0.43085,-0.71436,-0.7092,-0.45049,-0.21416,-0.075074,-0.043191,-0.099571,-0.15817,-0.24526,-0.29247,-0.30621,-0.35362,-0.40107,-0.29964,-0.054948,0.26812,0.59588,0.89446,1.0955,0.95435,0.57592,0.11666,-0.25355,-0.31268,-0.11517,0.27443,0.73372,1.0286,0.59948,0.24223,0.021539,-0.32392,-0.67544,-0.4575,-0.23955,-0.24103,-0.13825,0.020434,0.051297,-0.059518,-0.16817,-0.20377,-0.25351,-0.33549,-0.33606,-0.28504,-0.2365,-0.21547,-0.21637,-0.20337,-0.066407,0.073139,0.39813,0.77227,1.0435,1.1475,1.2647,1.1586,0.90802,0.58412,0.23049,-0.22679,-0.58366,-0.70685,-0.60291,-0.36114,-0.15731,-0.057168,-0.14629,-0.40247,-0.66473,-0.69946,-0.49429,0.083527,0.71692,1.0518,0.86662,0.29038,-0.91592,-1.9777,-2.4878,-2.3718,-1.847,-0.87243,0.10939,0.98594,1.7725,2.4524,2.7473,2.3655,1.4484,0.18753,-1.1043,-2.0272,-2.3191,-2.0547,-1.7051,-1.5037,-1.5092,-1.5167,-1.7029,-1.6509,-1.2671,-0.59344,0.21005,1.06,1.8057,2.2899,2.4499,2.2968,1.8969,1.2975,0.78314,0.38569,0.12983,0.089885,12
-0.32589,-0.47093,-0.52053,-0.5721,-0.70735,-0.978,-0.91733,-0.68443,-0.35973,-0.13877,-0.094602,0.11498,0.50647,0.75151,0.93884,0.80222,0.68369,0.42179,0.15003,-0.10325,-0.44373,-0.41792,-0.37179,-0.037582,0.36148,0.41016,0.56833,0.19359,0.062349,0.051157,0.1489,0.28684,0.37989,0.43302,0.35092,0.20463,0.090546,0.051585,0.20354,0.31443,0.31351,0.32974,0.3751,0.54226,0.62908,0.45748,0.006506,-0.11648,-0.057373,0.41363,0.6263,0.56262,0.36282,-0.20934,-0.42735,-0.55168,-0.48435,-0.44293,-0.30031,-0.36002,-0.25492,-0.15679,-0.025631,0.053867,0.11399,0.1146,0.12,0.18345,0.30002,0.39555,0.46296,0.42651,0.46506,0.68429,0.96091,1.2775,1.2663,1.3339,0.91254,0.34229,-0.51765,-1.3796,-1.634,-1.2548,-0.44703,0.30021,0.86139,0.81732,0.10019,-1.2662,-2.2722,-2.4581,-1.656,-0.56057,0.37726,1.1165,2.0027,2.916,3.1514,2.0753,-0.29741,-2.5153,-2.8189,-1.2159,0.24822,0.55542,-0.36924,-0.79222,-0.37867,-0.1152,-0.35649,-0.91563,-0.40401,0.77906,1.98,2.5377,2.3081,1.7108,0.92049,0.20842,-0.47641,-1.0851,-1.6032,-1.8487,-1.8789,-1.6418,-1.438,-1.2067,-0.9689,-0.77001,-0.40645,8
0.3281,0.38986,-0.083809,-0.59551,-0.79348,-0.89532,-0.60439,-0.4965,-0.54249,-0.63349,-0.77262,-0.72802,-0.4738,-0.25752,-0.66534,-0.62434,-0.47663,0.086361,1.2321,1.5866,1.4952,0.64011,-0.24945,-0.92586,-0.90211,-0.76283,-1.0133,-0.54908,-0.35684,0.47715,1.3552,1.3048,0.92919,0.38933,0.36153,0.69919,0.81161,0.43281,-0.39067,-0.82051,-0.74009,-0.63052,-0.20104,0.15849,0.66491,1.2628,1.3884,0.92425,0.084848,-0.19622,-0.45922,-0.42098,0.11954,-0.17626,0.14932,0.41985,0.26394,0.14669,-0.049105,-0.091108,0.025501,0.26261,0.12239,0.10931,0.1674,0.051896,0.1671,-0.14318,-0.48188,-0.49597,-0.46541,-0.22355,-0.041266,0.021927,0.09535,0.11831,0.21269,0.31876,0.45925,0.51623,0.344,0.067493,-0.12734,-0.07696,0.50838,1.2035,1.6943,1.685,1.2544,0.66464,-0.079861,-0.77875,-1.3048,-1.1874,-0.59881,-0.35199,-0.84795,-1.8476,-2.4478,-2.1573,-1.2709,-0.29243,0.21893,0.59955,1.287,2.0896,3.0503,3.0244,1.7041,-0.45818,-2.2755,-2.6115,-1.7701,-0.43057,0.24054,-0.10535,-0.49827,-1.2082,-1.0625,-0.011848,1.094,2.1402,2.2903,1.6605,0.79085,0.097857,-0.22183,-0.53876,-0.92298,-1.5754,-1.9699,8
-0.36187,-0.36187,-0.22267,-0.23445,-0.39402,-0.55641,-0.64426,-0.53402,-0.26396,0.035147,0.15911,-0.058204,-0.27043,-0.40198,-0.63946,-0.18296,0.18027,0.1472,0.46859,0.40944,0.052741,-0.11128,-0.4009,-0.55356,-0.28732,0.13437,0.57467,0.97856,0.92728,0.73841,0.6047,0.28241,0.24385,0.24739,0.099917,0.02907,0.032911,0.15676,0.4013,0.6461,0.72885,0.53284,0.15645,-0.15601,-0.31492,-0.33528,-0.23909,-0.18792,-0.13595,-0.23976,-0.046715,0.072552,-0.12207,-0.069911,-0.20003,-0.26805,0.018803,0.26062,0.32333,0.31065,-0.032246,-0.31043,-0.11972,0.053285,0.5727,0.97193,0.7511,0.54209,0.092634,-0.48164,-0.72208,-0.36057,0.51493,1.4694,2.142,2.2167,1.5797,0.89552,0.63117,0.1207,-0.67812,-1.4605,-2.1698,-2.2608,-1.4324,-0.28955,0.50108,0.63216,0.13219,-0.77514,-1.6191,-1.9121,-1.5767,-0.93256,-0.26341,0.33265,0.71891,0.98012,1.6016,2.0848,2.3829,2.2203,1.3514,0.01457,-1.3818,-2.3602,-2.6042,-2.119,-1.2704,-0.55133,-0.2004,-0.30759,-0.63616,-0.61542,-0.03209,0.84797,1.8208,2.4322,2.5412,2.1269,1.3899,0.60905,-0.071709,-0.50058,-0.6786,-0.83066,-1.0226,-1.2605,-1.5372,-1.6174,-1.4389,1
-0.57152,-0.57152,-0.85862,-1.1005,-1.1692,-1.2353,-1.4282,-1.3995,-1.3241,-1.0975,-0.63713,-0.21404,0.057628,0.1812,0.15676,0.00088,0.014914,0.1441,0.33195,0.6105,0.7375,0.61803,0.42581,0.26469,-0.064477,-0.094846,-0.016458,0.006876,-0.005339,-0.017035,-0.046935,-0.091768,0.078569,0.29829,0.48682,0.7535,0.79949,0.58928,0.34585,0.14022,-0.31159,-0.25282,-0.041333,0.082477,0.25799,0.38214,0.34508,0.30438,0.25174,0.25773,0.25846,0.20694,0.21259,0.20735,0.16992,0.20405,0.18253,0.048342,0.021374,-0.11738,-0.25402,-0.3386,-0.4485,-0.61711,-0.61337,-0.55957,-0.45868,-0.19759,0.024206,0.18413,0.31576,0.40062,0.40131,0.51154,0.56066,0.61024,0.74217,0.76691,0.71418,0.67468,0.48559,0.39596,0.72249,0.81437,0.82316,0.53357,-0.17157,-1.0674,-1.6678,-1.6535,-0.88466,-0.11981,0.3324,0.204,-0.63979,-1.8185,-2.5436,-2.5738,-2.0195,-1.036,-0.17503,0.56986,1.2912,2.0715,2.8796,3.3862,2.761,1.138,-0.56976,-1.7148,-1.9107,-1.3451,-0.7043,-0.67638,-1.3462,-1.7957,-1.6329,-1.1156,-0.43864,0.050101,0.19374,0.46495,1.1968,1.8953,2.3678,2.3229,1.7772,1.036,0.41652,-0.049368,-0.64733,8
-0.3309,-0.43016,-0.32852,-0.041479,-0.06435,-0.35279,-0.56716,-0.75348,-0.34076,-0.019329,0.14263,0.11019,-0.19377,-0.22238,-0.34854,-0.26791,-0.14512,-0.10167,-0.018042,0.35937,0.22813,0.027875,-0.39558,-0.81693,-0.29925,0.17103,0.66382,0.89678,0.84512,0.55281,0.46465,0.20689,0.15998,0.26469,0.21489,0.27032,0.29425,0.13252,0.037484,0.10118,0.29659,0.75952,0.4996,0.03199,-0.26404,-0.32848,0.11911,-0.24034,-0.5376,-0.40214,-0.45142,0.20019,0.17894,-0.021026,-0.13941,-0.39995,0.12175,0.21778,0.45477,0.41839,-0.1279,-0.43821,-0.294,0.045459,0.7864,0.94859,0.62475,0.48509,-0.036771,-0.43355,-0.82945,-0.71044,0.59594,2.0344,2.5225,1.9325,0.56697,0.27813,0.72262,0.78755,-0.041343,-1.8497,-2.7983,-2.299,-1.1597,0.16505,1.0727,1.1671,0.56006,-0.9383,-2.1829,-2.2814,-1.5762,-0.57292,0.027637,0.29686,0.57183,0.82415,1.3828,1.8832,2.3802,2.3238,1.3233,-0.20095,-1.4471,-2.0811,-1.9858,-1.876,-1.7724,-1.084,-0.25373,0.14288,-0.034,-0.72811,-0.92567,-0.17627,0.79759,1.7406,2.341,2.4404,2.1325,1.3134,0.35341,-0.44,-0.8379,-0.8452,-0.79094,-0.79231,-0.94867,-1.2109,-1.191,1
0.91701,1.0552,0.76845,-0.054205,-0.66455,-1.3472,-1.4225,-0.76024,-0.10873,0.56634,0.9757,1.1249,1.4704,1.4825,0.39441,-0.79323,-1.6558,-1.4199,-0.46224,0.25663,0.59721,0.71485,0.62579,0.37786,0.032401,-0.24656,-0.21062,-0.086295,0.00967,-0.037915,-0.24802,-0.25734,-0.2957,-0.45554,-0.94554,-0.91369,-0.33498,0.89753,1.5378,1.0425,0.35549,-0.42359,-0.22411,0.26226,0.41696,0.47994,0.48144,0.59296,0.61998,0.36212,-0.02492,-0.49888,-1.1367,-1.485,-1.3303,-0.40288,1.013,1.585,0.6818,-0.79585,-1.9966,-1.7055,0.03635,1.3937,1.8591,0.75036,-0.71106,-0.67974,0.15272,1.5206,1.8731,0.72013,-1.0516,-1.984,-1.0613,0.7775,1.5413,1.0663,0.30963,0.56783,1.2437,1.652,1.6045,0.80938,0.17991,-0.79604,-2.0489,-2.2605,-2.0973,-1.3302,-0.70848,-0.48555,0.11472,0.63657,0.52007,0.26034,-0.11804,-0.064392,-0.019887,-0.86508,-1.3873,-1.3708,-0.63318,0.43942,1.3993,1.8234,1.5217,0.65359,-0.49721,-1.0221,-0.91094,-0.6989,-0.54249,-0.41263,-0.40139,-0.35966,-0.52495,-0.76247,-0.41962,0.37267,1.3539,1.937,1.8552,1.1381,0.3502,-0.19803,-0.55712,-0.77835,-1.0657,-1.3057,-1.2566,4
-1.1148,-1.0283,-0.8818,-0.69373,-0.39708,-0.13393,0.030151,0.18686,0.12417,0.18934,0.32432,0.33934,0.42866,0.27084,0.14656,0.14293,-0.085226,0.074429,-0.01463,-0.098738,-0.23886,-0.21943,-0.062528,-0.039207,0.1427,0.16142,0.36629,0.57355,0.58657,0.48063,0.32557,0.24972,0.24347,0.095242,0.08987,0.097054,0.1844,0.29775,0.19753,0.142,0.2308,0.29692,0.56297,0.47826,0.28558,0.037837,-0.14522,-0.16102,-0.16072,0.03157,0.099914,0.081908,-0.067906,-0.21046,-0.4167,-0.46938,-0.52811,-0.38707,-0.12418,0.02126,-0.006583,-0.042589,-0.12842,-0.1175,0.10702,0.11994,0.29155,0.37435,0.35178,0.43897,0.46749,0.50058,0.50442,0.46484,0.36991,0.41326,0.56128,0.9123,1.1283,0.79082,-0.016084,-1.0291,-1.588,-1.3378,-0.6905,0.039266,0.50827,0.19937,-0.62949,-1.5768,-2.069,-1.6139,-0.84204,-0.092664,0.46753,0.88634,1.5637,2.4089,2.9739,3.0179,1.5379,-0.85565,-2.9301,-3.5531,-2.0184,0.34294,1.4064,0.92404,-0.62393,-1.4665,-0.71578,0.3042,0.83052,0.081305,-1.2865,-1.1937,-0.25153,1.0181,1.9926,2.1953,1.931,1.4799,0.83166,0.41294,0.11078,-0.30536,-0.86815,-1.639,-2.1997,-2.3904,-2.1228,8
