att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,target
-0.68004,-0.15254,0.4635,1.1257,1.7845,2.3878,2.8866,3.2396,3.4179,3.4078,3.2123,2.8509,2.3571,1.775,1.1549,0.54742,-0.000874,-0.45239,-0.78161,-0.97695,-1.041,-0.98908,-0.84665,-0.64558,-0.42009,-0.20269,-0.020653,0.10661,0.16899,0.16589,0.10522,0.001513,-0.12669,-0.25963,-0.37911,-0.4706,-0.52489,-0.53872,-0.51462,-0.45997,-0.38549,-0.30349,-0.22599,-0.16308,-0.12178,-0.10536,-0.11329,-0.14171,-0.18431,-0.23348,-0.28152,-0.32173,-0.3492,-0.36137,-0.35806,-0.34127,-0.31458,-0.28246,-0.2495,-0.21972,-0.19603,-0.17996,-0.17157,-0.16974,-0.17243,-0.17726,-0.18192,-0.18468,-0.18462,-0.18182,-0.17731,-0.17287,-0.17076,-0.17328,-0.18249,-0.19984,-0.22594,-0.26051,-0.3024,-0.34971,-0.40008,-0.45091,-0.49967,-0.54415,-0.58266,-0.61412,-0.63812,-0.65483,-0.66493,-0.66946,-0.66965,-0.66723,-0.66387,-0.65901,-0.65354,-0.64822,-0.64364,-0.64018,-0.63799,10
2.232,2.8633,3.2297,3.2841,3.0252,2.4882,1.7426,0.89012,0.062662,-0.58939,-0.92506,-0.85436,-0.37842,0.39169,1.253,1.9658,2.3289,2.2477,1.7665,1.0502,0.32202,-0.21808,-0.46056,-0.41391,-0.18479,0.077522,0.24593,0.26263,0.15022,-0.012224,-0.13376,-0.15451,-0.069943,0.072516,0.19943,0.24724,0.1908,0.054437,-0.098503,-0.19186,-0.16842,-0.014467,0.23078,0.4924,0.68002,0.72183,0.59045,0.31813,-0.021075,-0.33908,-0.5638,-0.662,-0.64708,-0.56807,-0.4852,-0.44366,-0.4578,-0.51167,-0.57259,-0.60919,-0.60516,-0.56958,-0.52623,-0.49942,-0.50073,-0.52657,-0.56179,-0.58959,-0.5988,-0.59046,-0.57446,-0.56343,-0.56458,-0.57858,-0.60002,-0.62152,-0.63641,-0.6431,-0.64432,-0.64483,-0.64743,-0.65289,-0.66031,-0.66824,-0.67493,-0.6797,-0.68342,-0.6876,-0.6925,-0.69728,-0.70228,-0.70798,-0.71479,-0.72247,-0.73056,-0.73796,-0.74316,-0.74442,-0.7412,4
2.7466,2.7271,2.6882,2.6306,2.5549,2.4622,2.3537,2.2305,2.0942,1.9463,1.7886,1.6228,1.4507,1.2743,1.0954,0.91603,0.73791,0.56291,0.39275,0.22907,0.073402,-0.072883,-0.20854,-0.33251,-0.44389,-0.54197,-0.62623,-0.69635,-0.75218,-0.79379,-0.82142,-0.83551,-0.83665,-0.82562,-0.8033,-0.77075,-0.72912,-0.67964,-0.62365,-0.56251,-0.49764,-0.43045,-0.36236,-0.29474,-0.22892,-0.16617,-0.10767,-0.054477,-0.007558,0.032262,0.064287,0.087976,0.10295,0.10896,0.10596,0.094006,0.073341,0.044342,0.007522,-0.036474,-0.086891,-0.14287,-0.20346,-0.26765,-0.33437,-0.40252,-0.47096,-0.53859,-0.6043,-0.66701,-0.72571,-0.77946,-0.82738,-0.86871,-0.90278,-0.92905,-0.94709,-0.9566,-0.95742,-0.94952,-0.93301,-0.90812,-0.87523,-0.83483,-0.7875,-0.73396,-0.675,-0.6115,-0.5444,-0.47469,-0.4034,-0.33157,-0.26027,-0.19054,-0.1234,-0.059818,-0.000729,0.053012,0.10063,10
-0.32831,-0.38014,-0.39838,-0.35298,-0.24294,-0.10558,-0.005289,-0.003674,-0.12409,-0.32933,-0.5283,-0.61404,-0.5192,-0.26145,0.047747,0.24355,0.18483,-0.1641,-0.68835,-1.1424,-1.2367,-0.76025,0.31327,1.7844,3.2774,4.3658,4.7266,4.2598,3.1244,1.6766,0.33472,-0.57001,-0.89937,-0.73051,-0.2941,0.13836,0.36629,0.32528,0.085145,-0.20793,-0.41162,-0.45101,-0.34057,-0.16119,-0.010757,0.044541,-0.004603,-0.11665,-0.22828,-0.28827,-0.27972,-0.22155,-0.15245,-0.10832,-0.10559,-0.1374,-0.18188,-0.21615,-0.22778,-0.21871,-0.20099,-0.18845,-0.18914,-0.20259,-0.22199,-0.23911,-0.24862,-0.24999,-0.24651,-0.24306,-0.24405,-0.24566,-0.24861,-0.25321,-0.25945,-0.26602,-0.27179,-0.27588,-0.27779,-0.27737,-0.27504,-0.27191,-0.26938,-0.26874,-0.27063,-0.2752,-0.2819,-0.28969,-0.29706,-0.30301,-0.30724,-0.31042,-0.31339,-0.31692,-0.32144,-0.32669,-0.33167,-0.3345,-0.33366,10
-0.2963,0.16058,0.68896,1.2545,1.8171,2.3348,2.768,3.0833,3.2571,3.2782,3.1482,2.8821,2.5059,2.0542,1.5661,1.0815,0.63659,0.26093,-0.025558,-0.21378,-0.30565,-0.31293,-0.25509,-0.15639,-0.042639,0.061958,0.13755,0.17063,0.15506,0.092135,-0.010312,-0.13954,-0.28,-0.41568,-0.5322,-0.61863,-0.66862,-0.68085,-0.6588,-0.60986,-0.54407,-0.47251,-0.40579,-0.35271,-0.31924,-0.30802,-0.31837,-0.3467,-0.38733,-0.43347,-0.47827,-0.5158,-0.54178,-0.55397,-0.55234,-0.53875,-0.51659,-0.49004,-0.46347,-0.44077,-0.42479,-0.41708,-0.41785,-0.42601,-0.43951,-0.45574,-0.47195,-0.48574,-0.49522,-0.49934,-0.49793,-0.49162,-0.48167,-0.46971,-0.45748,-0.44661,-0.43835,-0.43346,-0.43221,-0.43441,-0.43945,-0.44653,-0.4547,-0.46315,-0.47111,-0.47799,-0.48349,-0.48751,-0.49011,-0.49146,-0.49176,-0.4916,-0.49157,-0.49031,-0.48799,-0.48483,-0.48117,-0.47735,-0.47374,10
0.72741,1.4752,2.2471,2.9395,3.4511,3.7038,3.6596,3.3294,2.7718,2.0797,1.3615,0.7181,0.22373,-0.085303,-0.21403,-0.20152,-0.10687,0.007466,0.091302,0.117,0.081656,0.00295,-0.090048,-0.16785,-0.20966,-0.20874,-0.17259,-0.11878,-0.068199,-0.038196,-0.037584,-0.065016,-0.11065,-0.16023,-0.20007,-0.22109,-0.22094,-0.20377,-0.17784,-0.15236,-0.13431,-0.12671,-0.1283,-0.13492,-0.14161,-0.14469,-0.1431,-0.13854,-0.13444,-0.13437,-0.14047,-0.15244,-0.1676,-0.18192,-0.1916,-0.1946,-0.19234,-0.18654,-0.18191,-0.18309,-0.19273,-0.21163,-0.23465,-0.25402,-0.26398,-0.2608,-0.24437,-0.21965,-0.19327,-0.17566,-0.17731,-0.2061,-0.26527,-0.35164,-0.45636,-0.56706,-0.67019,-0.7539,-0.81083,-0.8382,-0.8395,-0.82262,-0.79756,-0.77414,-0.75921,-0.7558,-0.76338,-0.77849,-0.79615,-0.81192,-0.82201,-0.82548,-0.82364,-0.81918,-0.81527,-0.81388,-0.81547,-0.81916,-0.82288,10
-0.11751,1.1691,2.6007,3.7971,4.4197,4.2984,3.4968,2.2878,1.05,0.12759,-0.28827,-0.20998,0.17879,0.61886,0.88857,0.88629,0.65012,0.31598,0.040212,-0.073342,-0.01084,0.16144,0.34218,0.44873,0.45245,0.38122,0.2936,0.24175,0.24413,0.27984,0.3053,0.28137,0.19576,0.068803,-0.058474,-0.14632,-0.17581,-0.15662,-0.12021,-0.10307,-0.12916,-0.19989,-0.29588,-0.38781,-0.45069,-0.47263,-0.45908,-0.42715,-0.39867,-0.38389,-0.38599,-0.40174,-0.42302,-0.44058,-0.44804,-0.4452,-0.43628,-0.42782,-0.42349,-0.42588,-0.43469,-0.44786,-0.46131,-0.47228,-0.47985,-0.48486,-0.48842,-0.49161,-0.4958,-0.50165,-0.50898,-0.51563,-0.52036,-0.52229,-0.52172,-0.51834,-0.51354,-0.50949,-0.50832,-0.51082,-0.51672,-0.52523,-0.53523,-0.54566,-0.5554,-0.56452,-0.57349,-0.58286,-0.59237,-0.60168,-0.61033,-0.61828,-0.62531,-0.63121,-0.63614,-0.64037,-0.64401,-0.64624,-0.64632,9
-0.060329,0.92359,1.6242,1.6616,1.4452,1.61,2.1601,2.5525,2.5234,2.3835,2.4236,2.4663,2.2352,1.8606,1.6893,1.7594,1.7843,1.6214,1.4629,1.4951,1.583,1.4208,0.90949,0.2707,-0.18016,-0.32328,-0.2811,-0.2594,-0.32953,-0.42011,-0.4488,-0.42985,-0.42216,-0.43557,-0.4542,-0.46739,-0.48743,-0.49035,-0.46262,-0.43203,-0.44598,-0.48676,-0.49185,-0.45197,-0.42867,-0.46954,-0.52626,-0.53411,-0.49713,-0.47739,-0.50174,-0.5355,-0.54422,-0.54259,-0.56253,-0.59697,-0.60857,-0.57901,-0.53678,-0.52147,-0.54004,-0.56093,-0.55562,-0.53341,-0.52725,-0.54868,-0.57007,-0.56415,-0.53916,-0.52863,-0.54676,-0.5781,-0.60054,-0.60456,-0.58938,-0.56265,-0.54589,-0.55904,-0.59234,-0.60896,-0.59323,-0.57299,-0.58075,-0.60394,-0.60325,-0.57153,-0.54525,-0.55387,-0.58318,-0.60535,-0.61673,-0.63152,-0.6501,-0.66387,-0.67766,-0.70311,-0.72842,-0.7228,-0.67889,1
0.28131,0.8748,1.5356,2.2008,2.8011,3.27,3.5527,3.6144,3.4456,3.0629,2.5078,1.8405,1.1317,0.45316,-0.1318,-0.57629,-0.85495,-0.96574,-0.92823,-0.77886,-0.56407,-0.33246,-0.12739,0.018923,0.089004,0.080957,0.006723,-0.11175,-0.24758,-0.37425,-0.47028,-0.52242,-0.5271,-0.48987,-0.42337,-0.34417,-0.26925,-0.21282,-0.18394,-0.18545,-0.21411,-0.26188,-0.31798,-0.37123,-0.4122,-0.43481,-0.43709,-0.42113,-0.39216,-0.35726,-0.32378,-0.2979,-0.28365,-0.28235,-0.29274,-0.31155,-0.33435,-0.35657,-0.37438,-0.3853,-0.38851,-0.38473,-0.37589,-0.36454,-0.35329,-0.34429,-0.33886,-0.33742,-0.33953,-0.34418,-0.35007,-0.35604,-0.36117,-0.36464,-0.36641,-0.36679,-0.36635,-0.36569,-0.36569,-0.36723,-0.36839,-0.36919,-0.36968,-0.36995,-0.3701,-0.37028,-0.3706,-0.37104,-0.37162,-0.37234,-0.37316,-0.37402,-0.37487,-0.37565,-0.37624,-0.37656,-0.37657,-0.37626,-0.37563,10
-0.30188,0.23176,0.85551,1.52,2.1677,2.7396,3.1821,3.4535,3.5286,3.4023,3.0898,2.6246,2.0541,1.434,0.8216,0.26874,-0.18344,-0.50879,-0.69796,-0.75809,-0.71036,-0.58586,-0.42062,-0.25031,-0.10553,-0.008244,0.0302,0.00937,-0.061576,-0.16647,-0.28546,-0.3986,-0.48894,-0.54497,-0.56182,-0.54139,-0.49132,-0.42319,-0.35024,-0.28508,-0.2377,-0.21414,-0.21594,-0.24029,-0.28101,-0.32991,-0.37829,-0.41851,-0.44506,-0.45528,-0.4495,-0.43064,-0.40344,-0.3735,-0.34622,-0.32593,-0.3153,-0.31509,-0.32422,-0.3402,-0.35972,-0.37927,-0.3958,-0.40717,-0.41237,-0.41156,-0.40589,-0.39716,-0.38743,-0.37861,-0.37218,-0.36898,-0.36914,-0.37224,-0.37738,-0.3835,-0.38956,-0.39479,-0.39865,-0.401,-0.40204,-0.40219,-0.40195,-0.40182,-0.40254,-0.40478,-0.40675,-0.40834,-0.40944,-0.40997,-0.40991,-0.40923,-0.40812,-0.4065,-0.40438,-0.40191,-0.39932,-0.39684,-0.39471,9
