att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,target
-0.5379,-0.47114,-0.32419,-0.078717,0.15683,0.40488,0.58411,0.81764,1.061,1.1994,1.2722,1.296,1.3122,1.2218,1.1611,0.99921,0.72015,0.40752,0.18978,-0.082497,-0.36527,-0.53253,-0.64123,-0.52639,-0.37,-0.15802,0.062722,0.33394,0.6129,0.90274,1.1922,1.4443,1.5342,1.4261,1.4264,1.3034,1.2897,1.3187,1.4488,1.5062,1.5604,1.566,1.2951,1.0609,0.79934,0.49446,0.18777,-0.065117,-0.2553,-0.46156,-0.53847,-0.61088,-0.78531,-0.88126,-1.0541,-1.234,-1.4012,-1.5412,-1.5358,-1.384,-1.2232,-1.0534,-0.89867,-0.75313,-0.6243,-0.53133,-0.6455,-0.78736,-0.92774,-1.0602,-1.1888,-1.2552,-1.3578,-1.4039,-1.3378,-1.2256,-1.0659,-0.94205,-0.81121,-0.64105,1
-0.60924,-0.62105,-0.43135,-0.20293,0.047141,0.38424,0.60737,0.84045,1.0922,1.2912,1.3422,1.3759,1.4441,1.4696,1.3841,1.1699,0.83883,0.53443,0.23306,-0.041174,-0.24603,-0.41723,-0.59047,-0.66303,-0.56512,-0.35413,-0.077344,0.19105,0.45444,0.75153,1.0447,1.3351,1.503,1.4743,1.3712,1.3455,1.4039,1.3923,1.4425,1.4304,1.5721,1.5844,1.263,0.97978,0.67908,0.40416,0.11803,-0.13045,-0.37394,-0.54553,-0.64064,-0.70745,-0.87372,-0.99694,-1.0731,-1.2234,-1.2867,-1.3374,-1.2976,-1.2037,-1.1266,-1.0243,-0.8881,-0.69629,-0.55896,-0.52301,-0.62201,-0.74879,-0.87983,-1.033,-1.1306,-1.2405,-1.298,-1.3085,-1.2843,-1.222,-1.106,-0.97374,-0.89334,-0.72767,1
-0.67236,-0.62057,-0.462,-0.25596,0.029195,0.28799,0.50269,0.81433,1.1341,1.378,1.3922,1.3776,1.4076,1.4296,1.3788,1.1772,0.87581,0.59885,0.33289,0.038139,-0.21002,-0.37266,-0.49768,-0.5429,-0.47757,-0.29123,-0.11549,0.14277,0.4117,0.71202,1.0006,1.2955,1.4767,1.4842,1.4779,1.4214,1.38,1.3816,1.4264,1.5885,1.5074,1.3649,1.1709,0.99917,0.69751,0.38946,0.11916,-0.13707,-0.35024,-0.54828,-0.4838,-0.5737,-0.68946,-0.80551,-0.93444,-1.1146,-1.2584,-1.403,-1.405,-1.3384,-1.2291,-1.0835,-0.9703,-0.85529,-0.76417,-0.69944,-0.82102,-0.93975,-1.0837,-1.1874,-1.2724,-1.3698,-1.332,-1.2956,-1.1888,-1.0454,-0.90414,-0.78721,-0.66714,-0.54634,0
-0.70232,-0.66542,-0.51559,-0.23222,0.074003,0.41505,0.67333,0.96974,1.2084,1.2692,1.3035,1.3732,1.4576,1.4241,1.2642,0.99712,0.68744,0.36908,0.081084,-0.22209,-0.48851,-0.68349,-0.67334,-0.56635,-0.32842,-0.082634,0.12719,0.40484,0.69253,0.97848,1.2714,1.5049,1.5383,1.47,1.4341,1.3594,1.1967,1.262,1.3909,1.5118,1.6766,1.4695,1.2155,0.92487,0.63107,0.36794,0.087113,-0.17438,-0.41934,-0.58693,-0.67245,-0.75678,-0.79982,-0.90172,-1.0246,-1.1737,-1.2613,-1.3215,-1.2928,-1.1846,-1.0506,-0.927,-0.84137,-0.77739,-0.67292,-0.67414,-0.78063,-0.81421,-0.93511,-1.0951,-1.2238,-1.2809,-1.3197,-1.2777,-1.1991,-1.119,-1.0129,-0.89351,-0.79379,-0.66321,0
-0.65483,-0.59472,-0.46976,-0.22677,0.069774,0.28629,0.54353,0.7972,1.0999,1.4094,1.4644,1.4542,1.4928,1.4953,1.5337,1.4741,1.1876,0.90991,0.60469,0.3015,0.011402,-0.25819,-0.50911,-0.59919,-0.63298,-0.49284,-0.28431,0.010567,0.23247,0.5151,0.72064,0.97852,1.2424,1.3865,1.399,1.4137,1.4373,1.4033,1.4117,1.3377,1.3366,1.3691,1.2538,0.99414,0.69243,0.39761,0.10838,-0.14674,-0.38925,-0.56356,-0.55496,-0.62547,-0.78807,-0.95019,-1.0831,-1.2392,-1.346,-1.4184,-1.373,-1.2515,-1.1058,-0.95173,-0.85828,-0.72556,-0.61603,-0.5781,-0.69475,-0.81731,-0.95414,-1.1206,-1.2182,-1.2766,-1.3247,-1.2869,-1.2292,-1.1341,-1.0511,-0.92612,-0.79503,-0.66035,0
-0.69147,-0.60516,-0.41644,-0.14199,0.15451,0.41864,0.71222,1.0055,1.1352,1.2309,1.2853,1.3126,1.3584,1.3397,1.1139,0.8222,0.48747,0.13674,-0.15367,-0.36457,-0.55894,-0.71384,-0.75092,-0.63892,-0.47489,-0.21731,0.033062,0.31844,0.61423,0.93141,1.2418,1.566,1.7123,1.5712,1.5594,1.4473,1.2616,1.2508,1.2183,1.3928,1.5573,1.6122,1.3657,1.0746,0.73548,0.45883,0.14624,-0.12041,-0.38196,-0.57487,-0.4065,-0.47216,-0.59466,-0.70825,-0.88492,-1.0939,-1.266,-1.4373,-1.4507,-1.3462,-1.2448,-1.0633,-0.93278,-0.76294,-0.58677,-0.47489,-0.54018,-0.69533,-0.84575,-0.99471,-1.1678,-1.3241,-1.4132,-1.4164,-1.3042,-1.1803,-1.0534,-0.88429,-0.70781,-0.52353,1
-0.56113,-0.49671,-0.40906,-0.20945,0.04303,0.2865,0.60448,0.85536,1.1193,1.3169,1.3102,1.3038,1.3138,1.3701,1.3147,1.1642,0.92258,0.70203,0.44186,0.15574,-0.11916,-0.36343,-0.53266,-0.52654,-0.4321,-0.2668,-0.044615,0.16158,0.42387,0.69695,0.99504,1.2983,1.4568,1.5004,1.4811,1.4004,1.3054,1.3071,1.4049,1.4719,1.5388,1.524,1.2928,0.99577,0.69511,0.41692,0.18092,-0.095172,-0.32305,-0.50716,-0.68267,-0.70047,-0.81457,-0.92405,-1.0671,-1.2271,-1.3337,-1.3733,-1.3582,-1.2432,-1.146,-0.99945,-0.84996,-0.73424,-0.6489,-0.71194,-0.79519,-0.87293,-0.98085,-1.08,-1.1903,-1.3174,-1.3761,-1.4001,-1.3185,-1.1917,-1.0603,-0.91168,-0.83139,-0.74417,0
-0.81399,-0.74194,-0.54823,-0.28336,0.05409,0.34267,0.64579,0.95829,1.2063,1.3771,1.3805,1.4205,1.5023,1.5573,1.4236,1.205,0.87097,0.60168,0.34516,0.043755,-0.2489,-0.51936,-0.72363,-0.81228,-0.70816,-0.5351,-0.26697,-0.032012,0.21648,0.52492,0.80338,1.1242,1.4405,1.5659,1.5137,1.4223,1.4641,1.3823,1.3623,1.4628,1.5674,1.4828,1.2159,0.90498,0.5969,0.293,-0.004333,-0.2904,-0.54652,-0.70847,-0.69985,-0.55286,-0.39514,-0.20453,-0.16729,-0.35998,-0.57412,-0.75188,-0.96451,-1.1758,-1.4051,-1.5553,-1.4084,-1.2266,-1.0722,-0.9803,-0.86816,-0.76873,-0.70504,-0.6449,-0.6132,-0.80576,-0.97077,-1.121,-1.3327,-1.5207,-1.4394,-1.2599,-1.0508,-0.90007,0
-0.55559,-0.55804,-0.45339,-0.23105,0.009383,0.29421,0.57902,0.73364,1.0345,1.3223,1.4806,1.5057,1.4768,1.5444,1.5996,1.4693,1.1987,0.9381,0.6536,0.34896,0.14789,-0.14585,-0.38057,-0.55043,-0.54411,-0.48018,-0.38899,-0.22575,-0.017464,0.26334,0.56103,0.84552,1.0739,1.3678,1.4274,1.4094,1.3217,1.3678,1.4188,1.453,1.4696,1.4426,1.4163,1.1086,0.8165,0.49919,0.20631,-0.057445,-0.30872,-0.47993,-0.72166,-0.79707,-0.87248,-0.97007,-1.0964,-1.2095,-1.273,-1.3064,-1.223,-1.1282,-1.0341,-0.93199,-0.85336,-0.7732,-0.6885,-0.77105,-0.85038,-0.92076,-1.0168,-1.0786,-1.1482,-1.1854,-1.2548,-1.2382,-1.2287,-1.1451,-1.0735,-0.96908,-0.88936,-0.779,0
-0.72137,-0.6702,-0.45435,-0.20406,0.047851,0.32844,0.63732,0.88353,1.082,1.19,1.2266,1.3314,1.4172,1.3675,1.2664,1.0365,0.73062,0.51991,0.20951,-0.1031,-0.37288,-0.61302,-0.71642,-0.61916,-0.43062,-0.1845,0.07289,0.36401,0.6332,0.89991,1.2355,1.496,1.4804,1.3547,1.3141,1.2585,1.2332,1.3271,1.5632,1.671,1.6912,1.5143,1.3274,0.98272,0.65669,0.38874,0.09824,-0.19381,-0.44476,-0.59985,-0.40944,-0.40608,-0.51916,-0.69692,-0.90832,-1.0611,-1.2395,-1.3558,-1.4203,-1.4234,-1.2642,-1.0727,-0.88754,-0.75615,-0.68393,-0.8128,-0.89112,-1.0258,-1.1294,-1.226,-1.2334,-1.2274,-1.2007,-1.2208,-1.1841,-1.1436,-0.99769,-0.89801,-0.6821,-0.53236,1
-0.75098,-0.67168,-0.48644,-0.22399,0.093592,0.43785,0.78797,1.0554,1.2404,1.204,1.2133,1.178,1.3078,1.5214,1.3834,1.1519,0.91903,0.6967,0.40041,0.069726,-0.249,-0.49254,-0.62325,-0.76251,-0.65893,-0.49195,-0.23806,0.041658,0.35251,0.67479,0.9833,1.3175,1.5357,1.5766,1.3525,1.2419,1.206,1.2212,1.2279,1.363,1.5567,1.5906,1.3662,1.0373,0.73373,0.4124,0.10153,-0.1926,-0.43789,-0.65978,-0.46989,-0.566,-0.66885,-0.49575,-0.62444,-0.78354,-0.95968,-1.1811,-1.4016,-1.6052,-1.5989,-1.3885,-1.1796,-0.95752,-0.75095,-0.54307,-0.36042,-0.35614,-0.50394,-0.67722,-0.86451,-1.0997,-1.295,-1.5193,-1.6602,-1.4464,-1.2442,-0.98294,-0.80117,-0.62856,0
-0.55485,-0.47277,-0.41885,-0.16478,0.11592,0.39838,0.65656,0.92346,1.1619,1.3297,1.3262,1.3299,1.3663,1.4634,1.4777,1.4064,1.186,0.98236,0.74194,0.43971,0.15715,-0.1386,-0.37197,-0.51613,-0.50291,-0.39468,-0.25192,-0.021537,0.21894,0.48086,0.75204,1.0105,1.2707,1.3332,1.2882,1.2976,1.3063,1.3221,1.3455,1.4346,1.4793,1.4287,1.2963,1.0446,0.73721,0.43667,0.16759,-0.10668,-0.35098,-0.48074,-0.74352,-0.74786,-0.80173,-0.90725,-1.0142,-1.1207,-1.226,-1.2892,-1.3512,-1.2837,-1.2003,-1.1159,-1.0313,-0.94646,-0.8457,-0.8344,-0.8739,-0.93023,-0.98069,-1.0873,-1.1929,-1.3194,-1.3477,-1.309,-1.2166,-1.1144,-1.0294,-0.89864,-0.81403,-0.7929,0
-0.60876,-0.64195,-0.48652,-0.2341,0.049221,0.27243,0.57311,0.89724,1.134,1.3282,1.2905,1.2242,1.271,1.3294,1.4088,1.2979,1.0922,0.85391,0.52904,0.19501,-0.09302,-0.38969,-0.57777,-0.62848,-0.62239,-0.42331,-0.23446,0.026193,0.30525,0.59672,0.90159,1.2345,1.4617,1.5291,1.3476,1.3147,1.2023,1.1506,1.2333,1.3523,1.4663,1.6271,1.4192,1.0801,0.7592,0.45252,0.20365,-0.082945,-0.34859,-0.53839,-0.36001,-0.54409,-0.72736,-0.94159,-1.0884,-1.299,-1.433,-1.4974,-1.5575,-1.4283,-1.2563,-1.0433,-0.88384,-0.7322,-0.55254,-0.40273,-0.49337,-0.61351,-0.82691,-1.0397,-1.2509,-1.4369,-1.6251,-1.5134,-1.3048,-1.0922,-0.90916,-0.72344,-0.53756,-0.38522,0
-0.82991,-0.8243,-0.64123,-0.41568,-0.10465,0.24141,0.56173,0.93157,1.2329,1.4534,1.4052,1.4008,1.4607,1.5167,1.5793,1.4911,1.265,1.0114,0.68982,0.37085,0.048608,-0.2667,-0.56069,-0.82498,-0.88937,-0.78306,-0.63233,-0.44101,-0.16101,0.12616,0.43203,0.7527,1.0731,1.4076,1.5138,1.4313,1.379,1.3558,1.3715,1.4302,1.5178,1.5917,1.3941,1.0302,0.70556,0.38359,0.022867,-0.28341,-0.53719,-0.76503,-0.35619,-0.39926,-0.54012,-0.69169,-0.90527,-1.1604,-1.3542,-1.4216,-1.3949,-1.2402,-1.0259,-0.87522,-0.67667,-0.52144,-0.38961,-0.43196,-0.52999,-0.69732,-0.78608,-1.0072,-1.1971,-1.3269,-1.3514,-1.3606,-1.26,-1.1372,-0.91573,-0.69654,-0.51953,-0.44861,1
-0.99022,-0.97609,-0.79197,-0.49044,-0.13194,0.22031,0.55827,0.91624,1.1816,1.3944,1.3886,1.421,1.4988,1.5846,1.4752,1.2786,0.98885,0.68204,0.37553,0.060884,-0.24411,-0.56,-0.83527,-0.97628,-0.93655,-0.70411,-0.44409,-0.15097,0.13739,0.47073,0.81169,1.1577,1.4202,1.6275,1.608,1.4576,1.418,1.3922,1.4133,1.5513,1.7212,1.5255,1.1821,0.85329,0.52786,0.20107,-0.10882,-0.40431,-0.66526,-0.8932,-0.26633,-0.29764,-0.46606,-0.66669,-0.91907,-1.0533,-1.2114,-1.3228,-1.313,-1.2472,-1.055,-0.84762,-0.71802,-0.51521,-0.39282,-0.42234,-0.45118,-0.58996,-0.77619,-0.99508,-1.1712,-1.2464,-1.3095,-1.2373,-1.2347,-1.0799,-0.88536,-0.65369,-0.47447,-0.37838,1
-0.68599,-0.66013,-0.57574,-0.30051,-0.073249,0.2154,0.53045,0.85861,1.1587,1.437,1.5442,1.6053,1.6302,1.7152,1.66,1.4546,1.2424,0.9748,0.71076,0.42604,0.14762,-0.15686,-0.43093,-0.56992,-0.68672,-0.55906,-0.4492,-0.22035,0.032215,0.29354,0.52857,0.72605,1.0429,1.2856,1.3806,1.2974,1.3594,1.4483,1.4536,1.4383,1.4305,1.4441,1.1926,0.86948,0.56708,0.32922,0.047184,-0.20406,-0.43047,-0.57827,-0.61351,-0.67534,-0.81377,-0.97019,-1.1016,-1.2463,-1.3815,-1.4172,-1.2818,-1.1243,-1.0084,-0.83758,-0.69153,-0.56814,-0.44619,-0.42265,-0.56824,-0.68596,-0.8555,-0.96553,-1.0965,-1.226,-1.2823,-1.3131,-1.3289,-1.2359,-1.14,-1.0034,-0.85865,-0.73656,0
-0.7832,-0.71438,-0.63029,-0.3704,-0.093121,0.22428,0.47229,0.80218,1.0838,1.446,1.474,1.3957,1.4034,1.4925,1.5653,1.5572,1.3334,1.0156,0.75201,0.44787,0.089823,-0.19101,-0.49226,-0.72198,-0.75905,-0.73765,-0.54759,-0.33098,-0.078331,0.20983,0.49778,0.74377,1.0515,1.3783,1.4692,1.4026,1.3679,1.363,1.3984,1.3652,1.4518,1.5401,1.3601,1.0322,0.69889,0.39476,0.054116,-0.23555,-0.45914,-0.68782,-0.28885,-0.45896,-0.64883,-0.74367,-0.94884,-1.1887,-1.4016,-1.5439,-1.47,-1.294,-1.1057,-0.92859,-0.7503,-0.55802,-0.37955,-0.36941,-0.47993,-0.64035,-0.87965,-1.0865,-1.2811,-1.4032,-1.4256,-1.3768,-1.2771,-1.0999,-0.94124,-0.72029,-0.50632,-0.30509,1
-0.78735,-0.71419,-0.5872,-0.33467,-0.052861,0.2596,0.55118,0.83552,1.0966,1.384,1.4609,1.4119,1.4584,1.5677,1.6076,1.4252,1.2609,0.99658,0.70354,0.40166,0.10661,-0.20178,-0.49273,-0.67519,-0.75788,-0.69449,-0.50635,-0.25809,0.020304,0.24189,0.56681,0.83753,1.1486,1.3692,1.425,1.3797,1.4031,1.4122,1.4581,1.4086,1.4395,1.4664,1.2928,0.96944,0.6495,0.33442,0.027038,-0.26437,-0.50582,-0.68122,-0.32402,-0.37429,-0.51625,-0.68153,-0.9078,-1.0953,-1.3221,-1.5004,-1.5701,-1.3723,-1.1819,-0.99909,-0.8224,-0.62592,-0.46286,-0.39391,-0.51512,-0.71919,-0.94622,-1.1423,-1.2694,-1.3733,-1.375,-1.3195,-1.2527,-1.1072,-0.96205,-0.77157,-0.56901,-0.3914,1
-0.78371,-0.78453,-0.57729,-0.34572,-0.013794,0.32009,0.66416,0.97731,1.3593,1.4862,1.4433,1.4421,1.5271,1.6667,1.6288,1.421,1.1848,0.98425,0.70345,0.43568,0.13816,-0.17668,-0.45318,-0.6938,-0.76383,-0.75282,-0.57147,-0.32274,-0.049763,0.22482,0.52846,0.86527,1.1394,1.4406,1.4711,1.4012,1.3891,1.4114,1.4198,1.4414,1.4468,1.1672,0.95203,1.0053,0.6738,0.33419,0.049169,-0.24562,-0.50811,-0.68691,-0.45159,-0.55208,-0.66929,-0.77213,-0.93019,-1.1226,-1.286,-1.442,-1.4221,-1.2817,-1.1105,-0.94563,-0.75359,-0.58215,-0.45997,-0.48748,-0.54006,-0.68175,-0.87791,-1.0359,-1.1552,-1.2645,-1.2978,-1.325,-1.273,-1.1874,-1.0161,-0.88512,-0.66547,-0.53917,0
-0.65169,-0.6516,-0.46283,-0.18235,0.12098,0.45859,0.76498,1.02,1.284,1.3651,1.3656,1.4219,1.4876,1.5914,1.4946,1.2465,1.0072,0.80239,0.53244,0.223,-0.060678,-0.34116,-0.55924,-0.63375,-0.59076,-0.434,-0.22174,-0.064445,0.20331,0.50916,0.8237,1.0937,1.3748,1.4547,1.3424,1.3282,1.3204,1.2951,1.4161,1.4702,1.5446,1.4936,1.2224,0.94141,0.64119,0.3267,0.047566,-0.22314,-0.45344,-0.58764,-0.72521,-0.74569,-0.83422,-0.92868,-1.0065,-1.1365,-1.244,-1.3476,-1.3665,-1.243,-1.1206,-1.0271,-0.88494,-0.76182,-0.63872,-0.60192,-0.65123,-0.77235,-0.867,-0.95623,-1.0673,-1.1356,-1.212,-1.2408,-1.2506,-1.1958,-1.1367,-1.0568,-0.94034,-0.82135,0
-0.69287,-0.63696,-0.49361,-0.22583,0.056069,0.3567,0.66015,0.94671,1.2147,1.4733,1.4721,1.4177,1.4305,1.5073,1.5672,1.417,1.1711,0.91252,0.77558,0.53113,0.20278,-0.10143,-0.39953,-0.58314,-0.74758,-0.65384,-0.55612,-0.33076,-0.099989,0.15373,0.43968,0.73082,1.0397,1.3021,1.378,1.4675,1.4059,1.3582,1.3917,1.4601,1.4661,1.3989,1.298,1.0264,0.70486,0.38971,0.11482,-0.16573,-0.45942,-0.61803,-0.69821,-0.71023,-0.81153,-0.95668,-1.1318,-1.3271,-1.4066,-1.4359,-1.3002,-1.1352,-0.94139,-0.80915,-0.658,-0.50086,-0.36529,-0.28208,-0.45234,-0.55764,-0.72615,-0.87053,-1.0072,-1.1272,-1.1952,-1.2394,-1.3778,-1.4309,-1.3669,-1.2008,-1.0107,-0.8411,0
-0.58389,-0.58124,-0.41202,-0.14524,0.14636,0.46454,0.78888,1.0322,1.37,1.4476,1.3914,1.3698,1.4326,1.5248,1.6048,1.462,1.1939,0.92036,0.64707,0.37309,0.034011,-0.23555,-0.4315,-0.58412,-0.67224,-0.58899,-0.41587,-0.19488,0.052743,0.32588,0.61,0.93452,1.2351,1.334,1.3576,1.2995,1.2913,1.3194,1.2878,1.2607,1.3919,1.4274,1.253,0.92334,0.63544,0.36404,0.091476,-0.12559,-0.36931,-0.48089,-0.41001,-0.46188,-0.5589,-0.75885,-0.93375,-1.1323,-1.3028,-1.425,-1.4485,-1.3269,-1.2338,-1.0772,-0.92034,-0.77979,-0.64824,-0.59182,-0.69246,-0.84123,-0.98371,-1.117,-1.2553,-1.422,-1.5693,-1.4234,-1.2663,-1.1092,-0.99546,-0.84903,-0.68258,-0.56024,0
-0.80082,-0.75931,-0.53244,-0.33211,-0.03981,0.29422,0.55909,0.91296,1.163,1.3619,1.3677,1.3906,1.4381,1.5714,1.4835,1.2994,1.0904,0.7988,0.51774,0.21677,-0.07401,-0.37638,-0.62256,-0.77563,-0.81294,-0.62669,-0.37447,-0.15052,0.11927,0.42757,0.73177,1.0001,1.3102,1.5366,1.6044,1.5045,1.4015,1.3385,1.3491,1.4514,1.5231,1.5726,1.2974,0.97378,0.65403,0.32818,0.025235,-0.27665,-0.53229,-0.75221,-0.40597,-0.5203,-0.62876,-0.84082,-1.049,-1.1933,-1.3283,-1.4138,-1.338,-1.228,-1.047,-0.89309,-0.726,-0.58677,-0.46838,-0.39035,-0.58237,-0.74997,-0.91252,-1.0932,-1.2926,-1.4019,-1.3871,-1.2732,-1.2013,-1.0719,-0.94593,-0.78687,-0.57079,-0.44835,0
