att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,target
-0.50175,-0.4407,-0.26006,-0.035858,0.25336,0.51601,0.75887,0.96189,1.1442,1.3769,1.4709,1.4737,1.5105,1.5005,1.4035,1.1898,0.90845,0.71501,0.44615,0.17125,-0.081645,-0.32443,-0.45655,-0.48302,-0.4115,-0.26358,-0.085165,0.11666,0.34379,0.57771,0.80248,1.0421,1.2832,1.4652,1.4173,1.381,1.4239,1.4378,1.3833,1.3561,1.4528,1.3485,1.1608,0.93723,0.67366,0.43556,0.18446,-0.06002,-0.27108,-0.4123,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,-1.0646,8
-0.41801,-0.43576,-0.27993,-0.045302,0.20512,0.46254,0.70702,0.97072,1.1937,1.4022,1.3973,1.3613,1.3878,1.4761,1.5831,1.4721,1.2812,1.027,0.80934,0.56638,0.33063,0.037018,-0.22081,-0.37045,-0.41347,-0.38093,-0.25067,-0.07629,0.13381,0.35186,0.59551,0.82676,1.0579,1.2581,1.2842,1.1882,1.1891,1.2643,1.2965,1.2656,1.2694,1.3263,1.2903,1.0732,0.83586,0.58397,0.32747,0.077609,-0.16005,-0.33729,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,-1.0926,8
-0.41871,-0.36273,-0.18372,0.039423,0.25265,0.51654,0.73744,0.90672,1.0966,1.3158,1.2952,1.3004,1.3321,1.417,1.4209,1.2428,1.0518,0.82296,0.5933,0.39535,0.15113,-0.093998,-0.29802,-0.42533,-0.34743,-0.21257,-0.040202,0.18144,0.37538,0.61956,0.86189,1.0793,1.3098,1.3849,1.3553,1.3561,1.2905,1.3004,1.2821,1.3251,1.4094,1.3804,1.222,0.96293,0.73483,0.48616,0.25525,0.02036,-0.1749,-0.32971,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,8
-0.3807,-0.41234,-0.29416,-0.073724,0.19866,0.45045,0.69663,0.97771,1.1685,1.3986,1.4147,1.3981,1.3565,1.4269,1.5147,1.3858,1.1565,0.9316,0.69663,0.49239,0.21138,-0.05398,-0.22916,-0.38304,-0.4329,-0.34354,-0.19738,-0.006762,0.22002,0.4529,0.69766,0.94103,1.1887,1.3405,1.284,1.2444,1.2999,1.3798,1.3073,1.2423,1.262,1.3837,1.2655,1.0195,0.76776,0.53823,0.29154,0.053481,-0.12463,-0.29764,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,-1.0942,8
-0.4629,-0.40206,-0.21663,0.016436,0.26337,0.49519,0.73764,0.95393,1.1736,1.4087,1.451,1.4073,1.4593,1.5179,1.4748,1.3087,1.122,0.84795,0.61269,0.40306,0.17815,-0.08862,-0.30026,-0.50113,-0.50283,-0.39793,-0.23026,-0.028763,0.20126,0.44268,0.68342,0.90756,1.1492,1.3324,1.272,1.2557,1.355,1.4512,1.4003,1.3308,1.3544,1.3908,1.2646,0.99077,0.73816,0.47942,0.23585,-0.012999,-0.22291,-0.38619,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,-1.0771,8
-0.41863,-0.37075,-0.21553,0.002575,0.24734,0.49216,0.75698,0.98625,1.2686,1.4272,1.3787,1.3159,1.367,1.4766,1.4604,1.2928,1.0761,0.78823,0.56576,0.33511,0.064273,-0.18735,-0.34083,-0.37807,-0.33539,-0.21237,-0.056423,0.12666,0.33058,0.5724,0.79765,1.0347,1.2011,1.3296,1.3407,1.285,1.2935,1.2972,1.2994,1.2747,1.3391,1.3601,1.2386,0.99265,0.75555,0.51407,0.2659,0.047099,-0.15891,-0.32456,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,8
-0.48285,-0.43484,-0.27013,-0.035639,0.22582,0.46173,0.70683,0.94573,1.1313,1.366,1.3952,1.4501,1.4528,1.4832,1.426,1.2849,1.0453,0.76173,0.51498,0.27213,0.024733,-0.17522,-0.40368,-0.46564,-0.42436,-0.28669,-0.10355,0.11889,0.34391,0.57808,0.82832,0.9475,1.1609,1.3817,1.3723,1.3137,1.3699,1.4296,1.4379,1.3451,1.3529,1.3957,1.2062,1.0245,0.75907,0.48739,0.24341,0.001994,-0.23124,-0.37979,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,-1.0785,8
-0.41104,-0.36355,-0.24708,-0.015252,0.23945,0.48419,0.72301,0.91187,1.1334,1.382,1.4044,1.3365,1.3408,1.4287,1.3998,1.2634,1.0495,0.83714,0.61984,0.39671,0.12093,-0.15894,-0.32701,-0.42317,-0.36245,-0.27092,-0.10371,0.096888,0.31694,0.54663,0.77865,1.0096,1.164,1.3629,1.456,1.2942,1.2675,1.2919,1.2899,1.3017,1.2698,1.3675,1.3069,1.0909,0.85177,0.58768,0.33627,0.093107,-0.12188,-0.29965,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,-1.1016,8
-0.49744,-0.47073,-0.32072,-0.10564,0.15025,0.41161,0.6812,0.94663,1.1551,1.3673,1.4663,1.4233,1.4492,1.4988,1.5159,1.3324,1.1203,0.86039,0.63637,0.3685,0.10882,-0.11331,-0.28062,-0.46131,-0.51353,-0.36108,-0.20206,0.037356,0.2804,0.524,0.75766,0.97327,1.1973,1.3861,1.3577,1.3031,1.3714,1.4032,1.3673,1.4005,1.3949,1.3444,1.1896,0.94779,0.70782,0.45914,0.20739,-0.036094,-0.24978,-0.43557,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,-1.0685,8
-0.4399,-0.43037,-0.26472,-0.034894,0.2296,0.51828,0.77283,0.97042,1.1482,1.4191,1.3907,1.3742,1.4401,1.4981,1.4335,1.252,1.0105,0.81366,0.58021,0.31821,0.076632,-0.13501,-0.34487,-0.43226,-0.41518,-0.29219,-0.11188,0.10513,0.33919,0.58407,0.8356,1.0747,1.2709,1.3371,1.2438,1.2397,1.3702,1.3959,1.2787,1.2037,1.2329,1.3843,1.3194,1.0494,0.79761,0.52893,0.27759,0.040039,-0.16689,-0.34449,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,-1.0914,8
