att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,target
0.39815,0.50392,0.5259,0.6073,0.57289,0.8041,0.72174,0.6883,-0.41905,-0.85395,-0.92464,-0.59134,-0.45592,-0.058858,-0.011106,0.19553,0.27646,0.26734,0.34066,0.39272,0.41256,0.52252,0.7027,0.71322,0.79314,0.78638,0.84002,0.8289,0.86126,0.87135,0.869,0.90895,0.84508,0.8711,0.88145,0.84962,0.89054,0.78536,0.4988,0.40273,-0.49187,-0.12686,-0.077103,-0.19989,-0.70662,-0.93536,-0.905,-0.94536,-0.96573,-0.98095,-0.88404,-0.78652,-7.5177,-0.65079,-0.62848,-0.52885,-0.33368,-0.14234,-0.095347,-0.045828,-0.070611,-0.27178,0.068569,0.002754,0.13207,0.27793,-0.03542,-0.26409,-0.28218,-0.18155,-0.18155,-0.19203,-0.18051,-0.14496,-0.10317,-0.10578,0.020968,0.10877,0.13079,0.17219,0.17392,0.21031,0.25998,0.28885,2
-1.0944,-1.2513,-1.4177,-1.5015,-1.3545,-1.1938,-1.0366,-0.80411,-0.76007,-0.48943,-0.3729,-0.24395,-0.14796,0.055676,0.1827,0.34624,0.48797,0.55566,0.58059,0.5533,0.58889,0.56041,0.55851,0.68723,0.70853,0.76408,0.74518,0.74754,0.75935,0.83961,0.83355,0.9156,0.9103,1.0196,1.0249,1.0232,1.0818,1.0964,1.1427,1.1427,1.1568,1.1755,1.1849,1.2164,1.2424,1.278,1.3127,1.3553,1.3611,1.3611,1.332,1.2899,1.0344,0.49049,0.007373,-0.30927,-0.43549,-0.77474,-0.95858,-1.1072,-1.2005,-1.3415,-1.4649,-1.528,-1.5697,-1.6284,-1.5817,-1.5802,-1.4152,-1.3681,-1.2951,-1.2119,-1.1099,-1.0816,-0.83104,-0.71608,-0.63552,-0.43112,-0.25423,-0.092979,0.054245,0.17415,0.28896,0.36295,2
0.0817,0.05758,0.019309,-0.017998,-0.045013,-0.058199,-0.12284,-0.42194,-0.41229,-0.30451,-0.17494,-0.050343,0.10293,0.10872,0.25344,0.39546,0.58611,0.49443,0.61313,0.56315,0.59141,0.61139,0.53021,0.57431,0.41167,0.4374,0.23106,0.036675,-0.012852,0.16275,0.10872,0.048897,-0.058393,0.41785,0.64323,0.73276,0.73071,0.68825,0.67893,0.63088,0.57376,0.52668,0.494,0.45412,0.39237,0.34529,0.28946,0.25087,0.20649,0.14758,0.097964,-0.016712,-0.11628,-0.17301,-0.23283,-0.28558,-0.32353,-0.35247,-0.38849,-0.42117,-0.4779,-0.53,-0.55977,-0.59818,-0.60057,-0.6535,-0.74805,-0.096471,0.32098,0.39816,-8.4093,0.099067,0.10293,0.030565,-0.21354,-0.38592,0.025096,0.19298,0.22192,0.1805,0.16918,0.12222,0.053527,0.023811,1
-1.4255,-1.4517,-1.4868,-1.5353,-1.5586,-1.5829,-1.62,-1.6021,-1.5187,-1.3317,-1.067,-0.81964,-0.54595,-0.30171,-0.076982,0.16832,0.42748,0.64517,0.95513,1.1231,1.3216,1.4551,1.5155,1.6304,1.6821,1.8094,1.9846,1.8922,1.8169,1.7685,1.7251,1.6503,1.5158,1.3787,1.2184,1.0256,0.87072,0.67111,0.52028,0.38665,0.27756,0.20898,0.11567,0.050917,-0.014238,-0.068032,-0.1174,-0.15782,-0.1904,-0.21429,-0.23485,-0.25918,-0.29168,-0.32652,-0.36174,-0.39371,-0.41724,-0.45005,-0.4819,-0.51445,-0.55017,-0.57516,-0.60789,-0.63745,-0.67281,-0.69657,-0.72508,-0.75053,-0.77259,-0.80046,-0.84559,-0.85463,-0.85343,-0.88323,-0.89325,-0.90033,0.19081,0.70851,0.19209,0.060067,0.17972,0.38296,0.41692,0.49505,1
-0.50086,-0.52962,-0.56982,-0.62499,-0.67811,-0.71273,-0.74457,-0.76908,-0.7996,-0.82249,-0.8467,-0.86915,-0.88799,-0.907,-0.91052,-0.92402,-0.93106,-0.47235,0.21811,0.35633,0.54913,0.68219,0.8794,1.0624,1.2041,1.3039,1.4453,1.5974,1.7267,1.7781,1.8579,1.9494,1.9877,1.9705,1.9155,1.3129,0.99249,0.86584,0.73137,0.62602,0.49924,0.40915,0.25579,0.14651,0.063753,-0.017124,-0.14073,-0.18921,-0.21723,-0.26345,-0.31187,-0.3418,-0.34533,-0.37995,-0.40343,-4.0598,-0.4404,-0.4721,-0.49323,-0.52316,-0.54018,-0.55353,-0.61413,-0.64993,-0.64069,-0.65486,-0.67678,-0.69219,-0.70848,-0.72917,-0.75382,-0.76878,-0.77759,-0.78639,-0.78692,-0.79314,-0.79901,0.2005,0.51392,0.64245,0.91184,1.0879,1.1076,1.1736,1
-0.18521,-0.11495,0.11972,0.12774,0.2871,0.11832,-0.33943,-0.40273,-0.3796,-0.31763,-0.09183,-0.04318,0.021799,0.43516,0.54793,0.68072,0.83313,0.77627,0.86222,0.45886,0.76724,0.54272,0.54271,0.50219,0.50924,0.51911,0.56384,0.61661,0.61661,0.64096,0.63454,0.62048,0.61083,0.65702,0.68862,0.79307,0.80864,0.86024,0.88236,0.8975,0.94683,0.95241,0.99144,0.98587,0.97193,0.98819,1.036,1.0207,1.0381,1.0416,1.0926,1.1111,1.1419,1.1431,1.0644,0.9103,0.79023,0.12566,-0.35477,-0.47192,-0.77294,-1.1043,-1.2547,-1.4316,-1.6276,-1.7229,-1.8552,-1.8788,-1.9756,-1.9185,-1.9376,-1.8924,-1.7105,-1.7773,-1.755,-1.7328,-1.443,-1.1818,-1.0366,-0.97212,-0.85386,-0.63134,-0.44597,-0.2823,2
-0.02683,-0.058356,-0.051583,-0.15076,-0.11128,-0.1547,-0.020105,-0.068467,-0.19872,-0.40082,-0.44647,-0.5016,-0.47833,0.67005,0.84461,0.98198,1.0531,0.94031,0.9698,0.95371,0.96293,0.99332,1.0055,1.0248,0.99849,1.0207,1.0292,1.0889,1.0957,1.0951,1.0889,1.0763,1.091,1.1091,1.1463,1.1777,1.2293,1.2567,1.2483,1.3061,1.3145,1.3712,1.4012,1.4068,1.4289,1.4215,1.4305,-0.038077,-0.24561,-0.47508,-0.73061,-0.61928,-0.91713,-1.0094,-1.0896,-0.62781,-0.56453,-0.67518,-0.91504,-1.0643,-1.1976,-1.2834,-1.2997,-1.3497,-1.4644,-1.4336,-1.4487,-1.3692,-1.2975,-1.2469,-1.2067,-1.048,-0.93953,-0.88661,-0.887,-0.92488,-0.92488,-0.89929,-0.93571,-0.90679,-0.86748,-0.92565,-0.93407,-0.91541,2
-1.5141,-1.5034,-1.5444,-1.5876,-1.6176,-1.6399,-1.6636,-1.6259,-1.5211,-1.303,-0.90455,-0.53805,-0.28647,0.003158,0.25862,0.5071,0.71986,0.89223,1.0693,1.2137,1.428,1.5724,1.6858,1.7437,1.8054,1.6843,1.5227,1.5631,1.6179,1.6105,1.5942,1.595,1.5363,1.4105,1.2566,1.06,0.88835,0.71597,0.56877,0.4543,0.34807,0.2726,0.19184,0.13167,0.0716,0.010147,-0.027902,-0.080314,-0.11875,-0.15509,-0.18491,-0.19981,-0.25308,-0.28958,-0.32452,-0.36754,-0.40411,-0.44837,-0.49053,-0.5365,-0.56867,-0.59396,-0.63589,-0.6725,-0.71443,-0.74421,-0.78653,-0.81759,-0.84554,-0.87549,-0.91143,-0.9263,-0.94538,-0.95669,-0.97692,-0.969,0.38441,0.33876,-0.19019,-0.1995,0.0117,0.2394,0.16731,0.31586,1
0.59207,0.44457,0.33315,0.24549,0.13955,0.044638,0.02094,-0.11388,-0.10783,0.018303,0.011633,0.13882,0.44895,0.82988,1.1811,1.1814,1.0503,1.0986,1.1243,1.1451,1.0465,1.1601,0.41455,0.44331,0.50379,0.52585,0.55124,0.56292,0.56104,0.55971,0.57118,0.57371,0.60186,0.63237,0.66342,0.67118,0.69134,0.71961,0.67505,0.67053,0.66859,0.67796,0.71574,0.77874,0.91332,0.90228,0.93577,0.9102,0.878,0.878,0.87222,0.83834,0.816,0.7484,0.37423,-0.15895,-0.55215,-0.89098,-1.1398,-1.3485,-1.5066,-1.7092,-1.85,-1.9327,-1.9417,-1.9883,-2.0104,-2.023,-1.9847,-1.8947,-1.8351,-1.7101,-1.5952,-1.43,-1.2015,-1.0099,-0.82673,-0.70117,-0.58242,-0.43824,-0.2441,-0.095196,0.000437,0.066628,2
-0.26791,-0.30235,-0.33159,-0.35838,-0.37922,-0.39602,-0.41353,-0.4342,-0.45235,-0.47073,-0.48532,-0.49349,-0.46606,-0.33387,-0.062468,0.2063,0.47836,0.68356,0.89676,1.0564,1.1203,1.2669,1.3847,1.4851,1.5405,1.6759,1.7064,1.7358,1.7273,1.6853,1.6123,1.5983,1.4574,1.2954,1.1652,1.0678,1.0789,-0.10011,-0.3219,-0.55186,-0.6486,-0.78007,-0.8131,-0.72555,-0.84567,-0.92262,-0.99835,-1.0592,-1.1171,-1.1673,-0.33474,-0.23038,-0.18416,-0.19,-0.19598,-0.21334,-3.8693,-0.21042,-0.21013,-0.23231,-0.24369,-0.26558,-0.2774,-0.28805,-0.30497,-0.29447,-0.31198,-0.30147,-0.30673,-0.11062,-0.64641,-0.48313,-0.34817,-0.21101,-0.007751,0.15348,0.068853,0.085925,0.17654,0.25416,-3.8693,0.38782,0.42482,0.36389,1
