att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,target
-0.75295,-0.68152,-0.43321,-0.19655,0.11532,0.44252,0.70484,0.95835,1.012,1.2967,1.2559,1.2951,1.3715,1.2998,1.1242,0.98719,0.88751,0.82857,0.62528,0.53826,0.26747,-0.09846,-0.50883,-0.54823,-0.51226,-0.66325,-0.69343,-0.46892,-0.15966,0.20519,0.43363,0.79236,1.1544,1.4816,1.4332,1.3096,1.2325,1.287,1.3113,1.2987,1.2425,1.3602,1.419,1.5238,1.2062,0.76436,0.37654,0.000213,-0.32179,-0.6381,-0.25909,-0.17601,-0.40563,-0.61353,-0.79109,-1.1294,-1.4806,-1.7456,-1.7959,-1.5786,-1.2831,-0.95834,-0.62561,-0.46448,-0.17031,-0.056878,-0.24198,-0.49977,-0.74239,-0.96212,-1.2568,-1.3965,-1.5733,-1.719,-1.5854,-1.4791,-1.1564,-0.89907,-0.71497,-0.40454,1
-0.69244,-0.60752,-0.52805,-0.23821,0.079288,0.22171,0.46958,0.8273,1.1919,1.2632,1.3986,1.379,1.3287,1.0178,0.79215,0.7773,0.6189,0.49299,0.091712,-0.2048,-0.45138,-0.73221,-0.63176,-0.51509,-0.39116,-0.080633,0.13118,0.44693,0.73981,1.1109,1.4291,1.4409,1.2306,1.3128,1.1849,1.1145,1.2057,1.3296,1.4119,1.61,1.769,1.8186,1.4694,1.0937,0.69109,0.39224,0.14141,-0.093663,-0.4129,-0.69039,-0.2726,-0.45085,-0.61835,-0.84812,-1.0727,-1.3598,-1.5384,-1.5221,-1.5413,-1.3639,-1.1398,-0.90728,-0.67214,-0.53699,-0.45131,-0.5035,-0.67024,-0.82062,-0.94713,-1.1397,-1.1932,-1.4118,-1.6003,-1.5778,-1.3759,-1.09,-0.85653,-0.58532,-0.38404,-0.30283,0
-0.75818,-0.66447,-0.44165,-0.13192,0.19042,0.45823,0.79339,0.90112,1.0472,1.1741,1.3139,1.4847,1.4613,1.4257,1.2521,1.1788,1.0532,0.90869,0.66126,0.39203,0.046018,-0.22442,-0.37025,-0.41611,-0.57273,-0.8075,-0.638,-0.364,-0.40707,-0.25412,0.036099,0.35652,0.6714,1.0373,1.3346,1.6557,1.5942,1.4786,1.4185,1.4208,1.5231,1.4508,1.5458,1.4273,1.1215,0.75639,0.36967,-0.033553,-0.38192,-0.63532,-0.31906,-0.48346,-0.63811,-0.84487,-1.0417,-1.2195,-1.4328,-1.5954,-1.5449,-1.3524,-1.1909,-1.0006,-0.73313,-0.52495,-0.36948,-0.42099,-0.57093,-0.77402,-1.0366,-1.2888,-1.5086,-1.6033,-1.469,-1.3543,-1.1213,-0.86756,-0.64233,-0.44598,-0.24201,-0.20228,0
-0.79175,-0.75582,-0.48062,-0.18023,0.16016,0.53369,0.78928,0.95668,1.1665,1.2756,1.3963,1.4233,1.422,1.302,1.2254,0.78613,0.52586,0.233,0.19712,0.16811,-0.051612,-0.3937,-0.7719,-0.86987,-0.78076,-0.86847,-0.62447,-0.29391,0.034517,0.42043,0.69532,0.8067,1.1922,1.5314,1.4344,1.4325,1.3941,1.5487,1.5654,1.7067,1.6911,1.4798,1.2205,0.81028,0.60507,0.66158,0.30674,-0.062537,-0.44924,-0.72292,-0.24165,-0.30775,-0.53597,-0.80656,-0.90908,-1.1508,-1.4723,-1.5743,-1.5498,-1.4764,-1.2001,-0.82088,-0.55011,-0.32396,0.022135,0.096731,-0.001476,-0.18599,-0.49033,-0.72747,-1.0085,-1.2805,-1.5141,-1.6751,-1.6034,-1.5094,-1.2496,-0.93269,-0.68784,-0.33367,1
-0.45768,-0.58414,-0.63094,-0.40472,-0.1422,0.25286,0.77274,1.0991,1.5157,1.7692,1.9654,1.8139,1.5154,1.1481,0.96945,1.0496,0.94727,0.58852,0.34773,-0.10128,-0.42183,-0.73731,-0.70336,-0.63945,-0.58722,-0.60351,-0.40653,-0.30025,-0.11359,0.11001,0.51592,0.64637,0.87377,1.0486,0.99498,0.78759,0.8993,0.96366,0.80542,0.80189,0.89884,0.90672,1.0188,1.1928,1.3485,0.93605,0.70612,0.39018,0.075154,-0.1699,-0.068419,-0.30722,-0.60578,-0.97657,-1.3373,-1.6716,-1.9285,-1.9184,-1.7015,-1.3079,-0.8645,-0.32741,-0.25309,0.042293,0.4139,0.80189,0.53584,0.16287,-0.25445,-0.62732,-1.0176,-1.3809,-1.6725,-1.847,-1.856,-1.7154,-1.4085,-0.87672,-0.52901,-0.17488,0
-0.79481,-0.70601,-0.67962,-0.40566,-0.20332,0.085597,0.25727,0.5263,0.89662,1.2082,1.3021,1.436,1.4092,1.3031,1.0912,0.90806,0.73422,0.40513,0.031521,-0.23077,-0.51628,-0.6005,-0.73252,-0.8781,-0.76167,-0.57616,-0.32449,-0.014344,0.27269,0.6063,0.90348,1.2413,1.6025,1.62,1.5581,1.4059,1.4266,1.43,1.4724,1.5647,1.6888,1.7875,1.5545,1.1543,0.75868,0.44419,0.040554,-0.28285,-0.61282,-0.67757,-0.36472,-0.55411,-0.73563,-0.96865,-1.1262,-1.3822,-1.5226,-1.5702,-1.3959,-1.1798,-0.92637,-0.65493,-0.37522,-0.13352,0.011521,0.23375,-0.012819,-0.25141,-0.48889,-0.78191,-0.95704,-1.1135,-1.316,-1.4723,-1.5158,-1.4133,-1.1836,-0.93252,-0.66238,-0.38349,1
-0.78872,-0.8025,-0.5199,-0.23918,-0.20139,0.040461,0.003883,0.19094,0.48672,0.78929,1.2577,1.6547,1.6578,1.488,1.2614,1.0745,0.89559,0.65306,0.34464,0.024256,-0.31516,-0.61887,-0.7596,-0.75032,-0.58001,-0.36001,-0.094553,0.21165,0.54212,0.93022,1.1799,1.0926,1.1041,1.0984,1.052,0.91744,0.98165,1.208,1.3996,1.6805,1.9164,1.9261,1.5414,1.1613,0.78895,0.38539,0.035754,-0.29001,-0.57732,-0.76908,0.074483,-0.059993,-0.24732,-0.48662,-0.87512,-1.1898,-1.538,-1.7484,-1.7206,-1.4475,-1.2555,-0.88002,-0.53899,-0.29506,0.023382,0.069104,-0.068196,-0.32706,-0.66076,-1.0593,-1.2812,-1.5798,-1.7469,-1.7148,-1.4819,-1.2493,-0.93778,-0.68087,-0.36861,-0.037334,0
-0.84216,-0.67038,-0.47981,-0.31554,0.007475,0.38553,0.71521,0.82586,0.87247,1.0716,1.2772,1.3866,1.2396,1.2386,1.2159,1.0536,0.90663,0.81425,0.73399,0.41251,0.036959,-0.10824,-0.45977,-0.69946,-0.79879,-0.69889,-0.52182,-0.20387,0.11659,0.49169,0.82068,1.2081,1.2869,1.2204,1.246,1.2594,1.2422,1.3421,1.4823,1.5281,1.574,1.762,1.6649,1.264,0.8669,0.5354,0.13583,-0.19658,-0.52819,-0.72513,-0.37935,-0.50907,-0.73219,-0.94205,-1.2025,-1.3579,-1.49,-1.5574,-1.4339,-1.3633,-1.1174,-0.82559,-0.51351,-0.46979,-0.38834,-0.16425,-0.15628,-0.49609,-0.76964,-1.0341,-1.2804,-1.477,-1.5461,-1.5559,-1.4206,-1.204,-1.052,-0.74608,-0.46069,-0.3477,0
-0.60754,-0.58307,-0.41151,-0.20849,0.087344,0.39419,0.68393,0.89498,1.0791,1.2426,1.2949,1.4345,1.55,1.4027,1.2308,0.9715,0.88931,0.66933,0.53991,0.35389,0.10336,-0.20089,-0.46082,-0.65185,-0.64122,-0.57575,-0.40957,-0.19692,0.11238,0.39537,0.72214,1.0374,1.3462,1.5986,1.6033,1.5224,1.4022,1.4579,1.5513,1.4319,1.2132,1.26,1.4735,1.2939,0.95501,0.64033,0.30718,-0.031123,-0.34326,-0.49668,-0.66148,-0.75142,-0.83687,-0.96067,-1.0279,-1.08,-1.1772,-1.235,-1.2857,-1.199,-1.0892,-1.0271,-1.0086,-0.92099,-0.82846,-0.82213,-0.90659,-0.98353,-1.0494,-1.1655,-1.1913,-1.2867,-1.3275,-1.2495,-1.1976,-1.0657,-0.92921,-0.74438,-0.65766,-0.66153,0
-0.67774,-0.63196,-0.40951,-0.18126,0.042427,0.072847,0.3389,0.62655,0.87199,1.078,1.2036,1.2413,1.1318,1.0074,0.80947,0.62838,0.43249,0.10015,-0.22888,-0.47397,-0.41684,-0.60536,-0.78813,-0.70801,-0.547,-0.25736,0.041833,0.28683,0.64379,0.9855,1.3544,1.7134,1.8324,1.7346,1.4678,1.1807,1.0755,1.1876,1.3851,1.4586,1.6648,1.8219,1.7296,1.4747,1.1181,0.67842,0.33023,-0.062556,-0.38439,-0.64455,-0.41635,-0.42968,-0.628,-0.76762,-1.0611,-1.2404,-1.3684,-1.4564,-1.4458,-1.3297,-1.145,-0.88499,-0.68344,-0.40426,-0.22739,-0.40367,-0.52019,-0.56909,-0.80963,-0.99468,-1.2142,-1.2895,-1.4909,-1.4887,-1.3833,-1.1911,-1.063,-0.7969,-0.59451,-0.43582,0
