att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,target
-0.70673,-0.65214,-0.45675,-0.21008,0.075267,0.34994,0.59501,0.77936,1.0623,1.3086,1.4932,1.5211,1.5118,1.3693,1.169,0.9772,0.71438,0.49046,0.23282,-0.054244,-0.31903,-0.57195,-0.72026,-0.72978,-0.6763,-0.4762,-0.22279,0.044653,0.33074,0.62671,0.90485,1.1938,1.4955,1.6582,1.6582,1.5609,1.5457,1.5377,1.5915,1.6089,1.6576,1.4566,1.1623,0.86912,0.59661,0.29749,0.034627,-0.21209,-0.47783,-0.65511,-0.57193,-0.65446,-0.75273,-0.92547,-1.0641,-1.218,-1.33,-1.3396,-1.2731,-1.1312,-0.98085,-0.84127,-0.74757,-0.64479,-0.62498,-0.6119,-0.70658,-0.7906,-0.9123,-1.0589,-1.1936,-1.3203,-1.391,-1.3003,-1.1547,-1.0317,-0.8765,-0.75764,-0.60734,-0.5266,1
-0.76431,-0.66367,-0.48853,-0.21173,0.055587,0.38079,0.64551,0.86063,1.1062,1.3998,1.4925,1.4833,1.5402,1.536,1.4241,1.2195,0.91004,0.68233,0.39018,0.09739,-0.16932,-0.42878,-0.64176,-0.74962,-0.69748,-0.53969,-0.32605,-0.055599,0.21761,0.51625,0.83151,1.1067,1.3609,1.5811,1.5603,1.5319,1.4801,1.4864,1.5541,1.5573,1.6501,1.3777,1.0844,0.80595,0.52038,0.25662,-0.038972,-0.3027,-0.55062,-0.7339,-0.57512,-0.69267,-0.79593,-0.93092,-1.0653,-1.1873,-1.2804,-1.3325,-1.2603,-1.1227,-0.98529,-0.90682,-0.83095,-0.71017,-0.63103,-0.65386,-0.73093,-0.84271,-0.98667,-1.106,-1.2302,-1.3249,-1.3088,-1.21,-1.1047,-0.96677,-0.82015,-0.67282,-0.56054,-0.51428,1
-0.83837,-0.77659,-0.57064,-0.3077,-0.030774,0.25684,0.5483,0.82246,1.1392,1.4305,1.5632,1.5354,1.5306,1.5437,1.3739,1.1711,0.85206,0.52169,0.24021,-0.047001,-0.34649,-0.60843,-0.80966,-0.82514,-0.73359,-0.51303,-0.25754,0.008729,0.29658,0.55727,0.81847,1.0566,1.3267,1.5821,1.5543,1.5158,1.5078,1.5133,1.5773,1.6606,1.7018,1.4647,1.1804,0.91241,0.62843,0.31736,0.023377,-0.26909,-0.53373,-0.7463,-0.61889,-0.6845,-0.76422,-0.89006,-1.0145,-1.1084,-1.2264,-1.2461,-1.2301,-1.1253,-0.99798,-0.87849,-0.80199,-0.75464,-0.67796,-0.60945,-0.70265,-0.76971,-0.82567,-0.92308,-1.0514,-1.1734,-1.256,-1.2401,-1.1405,-1.0113,-0.89146,-0.75123,-0.59167,-0.56195,1
-0.77861,-0.70566,-0.53821,-0.29064,-0.009354,0.31068,0.57321,0.7933,1.114,1.3756,1.5818,1.5247,1.5247,1.6,1.4961,1.2428,0.92025,0.66448,0.41527,0.12036,-0.17418,-0.43026,-0.63428,-0.74673,-0.7522,-0.56483,-0.44823,-0.18215,0.11505,0.38374,0.68336,0.97502,1.2694,1.4727,1.5266,1.5874,1.51,1.5069,1.5822,1.6523,1.6519,1.4646,1.1706,0.85532,0.56408,0.27469,-0.027318,-0.30387,-0.54392,-0.72059,-0.49745,-0.61546,-0.72067,-0.89059,-1.0473,-1.1754,-1.2859,-1.2833,-1.2616,-1.1485,-1.0065,-0.8983,-0.77689,-0.68311,-0.61584,-0.56811,-0.68029,-0.77996,-0.93025,-1.073,-1.2116,-1.3039,-1.3373,-1.2809,-1.1439,-1.0122,-0.82819,-0.66207,-0.49444,-0.43902,1
-0.74795,-0.66356,-0.45236,-0.21768,0.080679,0.38448,0.63275,0.84753,1.149,1.385,1.4973,1.4731,1.4891,1.4767,1.3536,1.1332,0.89301,0.57242,0.30012,0.016634,-0.24298,-0.47271,-0.67611,-0.72423,-0.71461,-0.54912,-0.31027,-0.03217,0.28312,0.55125,0.84753,1.1277,1.4037,1.5214,1.5706,1.4557,1.4538,1.5353,1.5775,1.6757,1.648,1.4007,1.1421,0.86647,0.60806,0.31345,0.016319,-0.26431,-0.51798,-0.71175,-0.73056,-0.87486,-0.98486,-1.0368,-1.1458,-1.231,-1.2608,-1.2575,-1.1662,-1.0604,-0.96506,-0.89249,-0.86095,-0.87001,-0.92138,-1.0242,-1.0994,-1.2163,-1.2886,-1.302,-1.1865,-1.0515,-0.9681,-0.83923,-0.67221,-0.57655,-0.46805,-0.39235,-0.43829,-0.6031,0
-0.80592,-0.71525,-0.50258,-0.28065,-0.005162,0.29011,0.59608,0.86103,1.1585,1.4376,1.5855,1.5203,1.5311,1.5596,1.4019,1.1324,0.79364,0.6212,0.32759,0.038358,-0.25414,-0.51207,-0.71003,-0.78124,-0.74671,-0.54183,-0.28382,-0.081775,0.23855,0.53707,0.8373,1.1385,1.4404,1.6311,1.5392,1.4964,1.5586,1.5299,1.5971,1.5859,1.6499,1.3497,1.0612,0.78368,0.48564,0.18156,-0.10847,-0.40073,-0.65501,-0.75578,-0.51344,-0.66525,-0.8117,-0.89599,-1.0128,-1.1733,-1.293,-1.277,-1.1597,-1.1031,-1.0599,-0.93911,-0.82759,-0.7063,-0.62708,-0.6433,-0.70616,-0.86585,-1.0092,-1.153,-1.2619,-1.3332,-1.3028,-1.2006,-1.0398,-0.86106,-0.6462,-0.4888,-0.37838,-0.39929,1
-0.73169,-0.64438,-0.44405,-0.28434,-0.002209,0.29806,0.59548,0.82713,1.0839,1.3866,1.5758,1.5602,1.5224,1.5838,1.5313,1.2967,1.0525,0.81039,0.52907,0.25009,-0.039859,-0.2912,-0.48086,-0.65857,-0.70404,-0.67021,-0.47436,-0.21001,0.081927,0.38788,0.64829,0.93554,1.2597,1.3859,1.4726,1.4741,1.5817,1.4804,1.5977,1.6652,1.6547,1.3893,1.1236,0.84926,0.58258,0.30172,0.017278,-0.2649,-0.50072,-0.67892,-0.67303,-0.6723,-0.72656,-0.75766,-0.80932,-0.87263,-0.96187,-1.0705,-1.1906,-1.2528,-1.2534,-1.1281,-1.0183,-0.90831,-0.89558,-0.83737,-0.76601,-0.72229,-0.8164,-0.88065,-0.9823,-1.0952,-1.1893,-1.248,-1.2427,-1.1392,-1.061,-0.95633,-0.83205,-0.75267,0
-0.90238,-0.7844,-0.5794,-0.30258,0.009904,0.32814,0.58963,0.87752,1.1737,1.4535,1.5485,1.5328,1.575,1.5174,1.3792,1.0842,0.86044,0.557,0.2658,-0.028386,-0.29818,-0.56349,-0.74887,-0.82104,-0.71594,-0.51228,-0.25177,0.033262,0.29147,0.59577,0.85967,1.1675,1.4337,1.5681,1.5785,1.4625,1.4685,1.5594,1.6115,1.6817,1.6282,1.3228,1.046,0.75277,0.46967,0.18043,-0.094621,-0.379,-0.62012,-0.79559,-0.49973,-0.59717,-0.70089,-0.79639,-0.95401,-1.0994,-1.2145,-1.3121,-1.3718,-1.2424,-1.0769,-0.91938,-0.75785,-0.65078,-0.56251,-0.53472,-0.56354,-0.67168,-0.81136,-0.96587,-1.1192,-1.2633,-1.3918,-1.3377,-1.1893,-1.0053,-0.81482,-0.67918,-0.5293,-0.43322,1
-0.87136,-0.79716,-0.60419,-0.33693,-0.037625,0.25285,0.53259,0.85229,1.1069,1.3938,1.6104,1.5794,1.5062,1.5394,1.5422,1.37,1.0845,0.75123,0.42475,0.12834,-0.18232,-0.47725,-0.68831,-0.85747,-0.87673,-0.74888,-0.51861,-0.24285,0.052605,0.34268,0.6429,0.94741,1.244,1.5143,1.5921,1.4983,1.4889,1.5274,1.5435,1.5495,1.6491,1.4346,1.1276,0.79383,0.54415,0.22411,-0.097354,-0.37067,-0.64438,-0.83832,-0.40081,-0.53006,-0.66553,-0.82662,-0.99062,-1.1785,-1.3449,-1.3963,-1.2926,-1.1401,-0.96773,-0.78821,-0.65617,-0.53481,-0.48958,-0.52023,-0.54692,-0.66,-0.83052,-0.99749,-1.1493,-1.3104,-1.4069,-1.3319,-1.1528,-0.9605,-0.77368,-0.59583,-0.42705,-0.33523,1
-0.88709,-0.75967,-0.62508,-0.34475,-0.10842,0.21572,0.54244,0.84421,1.0738,1.3017,1.5108,1.5369,1.5218,1.5457,1.5567,1.4166,1.1898,0.99846,0.81303,0.53686,0.23082,-0.004234,-0.27837,-0.55228,-0.75561,-0.86607,-0.74864,-0.58625,-0.29078,0.033016,0.33125,0.64073,0.92101,1.2318,1.5224,1.6739,1.5656,1.5234,1.5551,1.6078,1.6686,1.516,1.1891,0.89869,0.61825,0.31812,0.031277,-0.27058,-0.566,-0.79725,-0.51475,-0.60563,-0.74488,-0.86292,-1.0311,-1.1725,-1.2865,-1.2757,-1.1834,-1.048,-0.94698,-0.81791,-0.71638,-0.66182,-0.59273,-0.59964,-0.65223,-0.71375,-0.85777,-0.97606,-1.1125,-1.2311,-1.3199,-1.3148,-1.1863,-1.0397,-0.89994,-0.76134,-0.60056,-0.51367,0
