att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,target
-0.70129,-0.6088,-0.43552,-0.18104,0.10542,0.42487,0.65012,0.86262,1.1444,1.3362,1.4787,1.5523,1.5138,1.3451,1.1567,0.9469,0.7404,0.60883,0.35172,0.056133,-0.21478,-0.4504,-0.62816,-0.61967,-0.59301,-0.42919,-0.17645,0.080279,0.37329,0.67092,0.83134,1.1097,1.3971,1.5583,1.5124,1.5193,1.4961,1.5653,1.6095,1.5874,1.6698,1.4549,1.1911,0.91874,0.65834,0.35172,0.056272,-0.21456,-0.44985,-0.6434,-0.75799,-0.86497,-0.9352,-1.031,-1.1157,-1.2178,-1.2377,-1.2199,-1.138,-1.1389,-1.0445,-0.94217,-0.86528,-0.78244,-0.69559,-0.73628,-0.80919,-0.90361,-1.0273,-1.1389,-1.2212,-1.297,-1.2576,-1.1547,-1.1026,-0.96908,-0.8335,-0.75166,-0.64542,-0.70489,3
-0.71335,-0.6322,-0.43049,-0.25273,0.026132,0.2653,0.47858,0.73664,0.97418,1.2571,1.4213,1.4869,1.4753,1.41,1.2284,1.0041,0.75451,0.54674,0.25539,-0.024114,-0.28315,-0.50296,-0.67742,-0.73575,-0.68918,-0.46777,-0.20641,0.080057,0.32376,0.62626,0.9077,1.1898,1.4959,1.648,1.6723,1.5179,1.5069,1.6528,1.6658,1.683,1.674,1.4976,1.1751,0.93797,0.64078,0.33557,0.077205,-0.21544,-0.48667,-0.66763,-0.66253,-0.6594,-0.75181,-0.83769,-0.91676,-1.0437,-1.1827,-1.2638,-1.251,-1.1866,-1.0976,-1.0004,-0.95545,-0.89142,-0.8447,-0.75934,-0.68833,-0.65973,-0.75206,-0.83787,-0.94707,-1.08,-1.1946,-1.272,-1.2772,-1.1699,-1.0352,-0.92309,-0.7956,-0.70619,3
-0.70677,-0.69957,-0.48809,-0.24077,0.067096,0.32489,0.59089,0.87131,1.072,1.2824,1.4686,1.5315,1.549,1.4199,1.2934,1.1016,0.88137,0.63857,0.32531,0.052877,-0.22647,-0.438,-0.6329,-0.70921,-0.6218,-0.43905,-0.19049,0.090689,0.35645,0.62635,0.89705,1.158,1.3919,1.6056,1.4767,1.4762,1.5063,1.5859,1.5914,1.6231,1.6904,1.4115,1.1539,0.88147,0.58505,0.3349,0.033762,-0.26607,-0.51064,-0.70991,-0.68344,-0.75781,-0.76278,-0.85365,-0.973,-1.0838,-1.1747,-1.218,-1.1743,-1.0994,-1.0808,-1.0395,-0.98177,-0.8537,-0.78271,-0.78279,-0.82304,-0.88418,-0.93474,-1.008,-1.102,-1.1875,-1.2449,-1.2478,-1.1577,-1.0434,-0.921,-0.82673,-0.72848,-0.656,3
-0.67517,-0.59723,-0.46153,-0.24716,0.016285,0.29467,0.57336,0.83329,1.0469,1.2949,1.4728,1.5667,1.5222,1.4565,1.2555,1.0631,0.88189,0.59803,0.3465,0.046696,-0.2336,-0.47808,-0.65273,-0.65117,-0.58732,-0.4173,-0.18553,0.065242,0.3436,0.62613,0.89859,1.1591,1.4037,1.5295,1.5293,1.5798,1.5402,1.5529,1.5511,1.5785,1.6513,1.436,1.1758,0.90371,0.63263,0.3629,0.079157,-0.16786,-0.41756,-0.60727,-0.7421,-0.82848,-0.86439,-0.94383,-1.017,-1.0926,-1.1693,-1.1974,-1.1672,-1.1514,-1.0728,-1.0223,-0.93775,-0.87285,-0.80617,-0.79949,-0.83385,-0.91201,-0.99403,-1.0901,-1.1682,-1.2164,-1.2309,-1.1553,-1.0769,-0.97224,-0.8863,-0.82861,-0.71803,-0.72113,3
-0.62194,-0.55981,-0.43664,-0.19448,0.074287,0.33607,0.61276,0.89216,1.1321,1.373,1.5218,1.593,1.5667,1.4267,1.2397,1.0346,0.8083,0.58637,0.31412,0.044958,-0.24132,-0.44843,-0.65215,-0.68736,-0.65885,-0.49332,-0.26932,-0.003348,0.25614,0.5388,0.81481,1.0671,1.3656,1.5065,1.4938,1.5331,1.5978,1.6584,1.6287,1.6335,1.6977,1.4494,1.1338,0.90056,0.58069,0.2855,0.009124,-0.264,-0.51243,-0.6696,-0.61069,-0.65552,-0.7144,-0.85581,-0.9399,-0.98226,-1.0899,-1.1358,-1.185,-1.1779,-1.1293,-1.0541,-1.0103,-0.96388,-0.88016,-0.82119,-0.84326,-0.90157,-0.98323,-1.0527,-1.1182,-1.1459,-1.1968,-1.1648,-1.134,-1.0484,-0.93732,-0.83604,-0.74005,-0.68592,3
-0.67072,-0.65339,-0.49541,-0.21296,0.065103,0.36172,0.68948,0.86451,1.0295,1.2137,1.4098,1.4813,1.518,1.4312,1.2549,1.0259,0.81798,0.67125,0.47558,0.19547,-0.069776,-0.34588,-0.48927,-0.61693,-0.60376,-0.47883,-0.30392,-0.06752,0.21445,0.5163,0.80664,1.1276,1.4247,1.5884,1.5325,1.4256,1.4534,1.5135,1.4852,1.5328,1.6272,1.5592,1.2774,0.98215,0.71339,0.40817,0.11648,-0.17722,-0.42186,-0.60093,-0.60959,-0.72275,-0.83552,-1.0102,-1.1115,-1.1772,-1.1848,-1.283,-1.3322,-1.2813,-1.1232,-1.0176,-0.92273,-0.84557,-0.73076,-0.63916,-0.72248,-0.79122,-0.89487,-1.0157,-1.1241,-1.2616,-1.3436,-1.3462,-1.2066,-1.068,-0.96547,-0.81657,-0.63724,-0.58153,3
-0.65774,-0.54791,-0.34025,-0.076655,0.18573,0.4437,0.70242,0.94678,1.1487,1.3976,1.5059,1.448,1.4985,1.589,1.4502,1.2699,1.0356,0.82847,0.60988,0.3773,0.1252,-0.11719,-0.36408,-0.55847,-0.61563,-0.48784,-0.29906,-0.046647,0.20339,0.45696,0.69727,0.9377,1.1705,1.3738,1.524,1.5291,1.4978,1.3992,1.4651,1.5252,1.524,1.307,1.0531,0.82748,0.60178,0.35607,0.11802,-0.13253,-0.36531,-0.56777,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,-1.0318,8
-0.48504,-0.4241,-0.26009,-0.032018,0.16304,0.42291,0.69065,0.95098,1.1335,1.3752,1.4062,1.3313,1.3712,1.3879,1.2154,1.0082,0.78956,0.54064,0.2745,0.033656,-0.20352,-0.4083,-0.51887,-0.48525,-0.34246,-0.12922,0.092087,0.32093,0.54908,0.76846,1.0206,1.2407,1.4602,1.5568,1.5028,1.3773,1.3335,1.3589,1.5284,1.5355,1.5038,1.3451,1.1623,0.93535,0.67879,0.42999,0.18301,-0.045537,-0.26716,-0.43371,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,-1.0648,8
-0.52037,-0.44864,-0.3562,-0.1489,0.09186,0.30838,0.55648,0.79998,1.0667,1.254,1.4698,1.4959,1.4447,1.5024,1.3914,1.2015,0.97767,0.74865,0.49681,0.2396,0.045025,-0.1854,-0.39687,-0.51774,-0.50954,-0.37701,-0.18204,0.052922,0.28699,0.52445,0.764,0.97591,1.2168,1.4389,1.5701,1.5923,1.4995,1.4582,1.4766,1.5689,1.6427,1.38,1.1307,0.90166,0.65191,0.39996,0.15701,-0.074641,-0.28481,-0.44751,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,-1.0444,8
-0.57237,-0.50051,-0.31023,-0.062653,0.16661,0.43958,0.68917,0.94346,1.1649,1.4057,1.4778,1.3773,1.4338,1.5122,1.4234,1.2283,1.0471,0.79639,0.54249,0.32094,0.05887,-0.17316,-0.40349,-0.5498,-0.56221,-0.40474,-0.20512,0.029774,0.26206,0.51533,0.74386,0.9559,1.2068,1.4067,1.5612,1.5699,1.4646,1.3888,1.4053,1.4695,1.5307,1.3395,1.0989,0.87062,0.64895,0.39656,0.15297,-0.080265,-0.30638,-0.50306,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,-1.0471,8
