att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,target
0.99364,2.2738,2.9139,2.2738,1.6337,0.14021,-0.71322,-1.1399,-0.92658,-0.49987,-0.92658,-1.5667,-1.78,-1.9934,-2.2067,-1.78,-1.3533,-0.71322,-0.49987,-0.28651,0.35356,0.35356,0.78028,0.78028,0.78028,0.56692,0.56692,0.35356,0.56692,0.56692,0.56692,0.35356,0.35356,0.14021,0.14021,0.35356,0.14021,0.35356,0.56692,0.78028,0.78028,1.207,1.4204,1.4204,0.35356,-0.28651,-0.71322,-0.92658,-0.92658,-0.71322,-0.71322,-1.1399,-1.5667,-1.3533,-1.1399,-0.49987,0.14021,0.14021,0.14021,0.14021,0.14021,0.35356,0.35356,0.14021,-0.073151,-0.073151,-0.073151,0.14021,0.14021,-0.073151,2
-0.060775,-0.34439,1.9246,3.6263,1.9246,0.50646,-0.62801,-1.1953,-0.91163,0.22284,1.3573,0.50646,-1.1953,-2.3297,-2.0461,-0.91163,-0.34439,-0.34439,-0.91163,-0.91163,-0.34439,0.22284,0.22284,0.50646,0.79008,0.79008,0.79008,0.79008,0.79008,0.79008,1.0737,0.79008,0.50646,0.22284,0.22284,0.22284,0.22284,-0.060775,0.79008,1.0737,0.79008,0.50646,0.22284,0.22284,-0.34439,-1.1953,-2.0461,-1.4789,-0.34439,0.50646,0.22284,-1.1953,-2.0461,-1.7625,-1.1953,-0.34439,0.50646,0.79008,0.50646,0.22284,-0.060775,-0.060775,-0.060775,-0.34439,-0.34439,-0.060775,0.22284,0.22284,-0.060775,-0.34439,1
0.61165,1.3174,2.0231,2.2584,2.0231,1.7879,0.3764,-0.79984,-1.5056,-1.9761,-1.2703,-0.79984,-1.2703,-1.5056,-1.9761,-1.5056,-1.0351,-0.79984,-0.32935,-0.32935,0.14115,0.3764,0.61165,0.84689,0.61165,0.61165,0.3764,0.3764,0.14115,0.14115,0.14115,0.14115,0.14115,0.3764,0.14115,0.14115,0.14115,0.61165,1.0821,1.3174,0.3764,0.3764,1.5526,2.0231,1.5526,0.14115,-0.5646,-1.2703,-1.5056,-0.79984,-0.094099,-0.094099,-0.79984,-1.5056,-1.7408,-1.0351,-0.094099,0.61165,0.61165,0.3764,0.3764,0.14115,0.14115,-0.094099,-0.32935,-0.5646,-0.5646,-0.5646,-0.32935,-0.094099,2
0.6445,1.2038,1.9495,2.1359,2.1359,1.3902,0.45807,-0.66048,-1.2198,-1.4062,-1.2198,-0.8469,-0.8469,-1.4062,-1.779,-1.5926,-1.2198,-0.8469,-0.47405,-0.47405,-0.28763,0.085223,0.27165,0.45807,0.45807,0.45807,0.45807,0.45807,0.27165,0.085223,0.085223,0.085223,0.085223,0.27165,0.085223,0.085223,0.085223,0.6445,1.0173,1.3902,1.2038,1.2038,1.763,2.1359,1.763,0.6445,-0.1012,-0.66048,-1.2198,-1.2198,-0.66048,-0.66048,-1.4062,-1.9655,-1.779,-1.4062,-0.47405,0.085223,0.45807,0.27165,-0.28763,-0.1012,0.085223,0.27165,0.085223,-0.1012,-0.1012,-0.1012,-0.1012,-0.1012,2
0.8053,1.4248,1.2183,1.8377,1.4248,0.59882,-0.64011,-0.8466,-0.8466,-0.43362,-0.43362,-1.2596,-1.879,-2.292,-2.0855,-1.0531,-0.64011,-0.8466,-0.8466,-0.22714,0.39233,0.8053,0.39233,0.18584,-0.020649,-0.020649,0.18584,0.39233,0.39233,-0.020649,-0.020649,-0.020649,-0.020649,0.39233,0.39233,0.39233,0.59882,0.8053,0.59882,0.59882,0.18584,-0.020649,0.18584,1.8377,2.4572,1.4248,0.39233,-1.2596,-1.2596,-0.43362,0.18584,-0.22714,-1.2596,-2.0855,-2.0855,-1.879,-1.0531,-0.43362,-0.22714,-0.22714,-0.020649,0.39233,1.0118,1.0118,1.0118,1.0118,0.59882,0.59882,0.39233,0.39233,1
1.2042,2.5392,2.5392,2.3485,1.9671,1.0135,-0.32149,-1.0843,-1.4658,-1.4658,-1.0843,-1.2751,-1.2751,-1.2751,-1.2751,-1.2751,-1.0843,-0.89363,-0.5122,-0.32149,-0.13077,0.44137,0.44137,0.25065,0.059938,0.44137,0.44137,0.25065,0.25065,0.25065,0.44137,0.44137,0.44137,0.25065,0.25065,-0.13077,0.44137,1.0135,1.0135,1.0135,1.2042,1.3949,1.5856,1.2042,0.25065,-0.32149,-0.70291,-1.0843,-1.2751,-0.70291,-0.5122,-1.0843,-1.6565,-1.8472,-1.4658,-0.70291,0.059938,0.25065,0.25065,0.059938,0.059938,0.25065,0.25065,0.059938,-0.32149,-0.13077,-0.13077,0.059938,0.059938,0.059938,2
1.1821,2.0396,2.0396,1.8252,0.96773,-0.10412,-0.74723,-1.3903,-1.6047,-1.176,-0.9616,-1.176,-1.6047,-1.8191,-1.8191,-1.3903,-0.9616,-0.9616,-0.74723,-0.31849,0.11025,0.32462,0.53899,0.32462,0.32462,0.32462,0.53899,0.32462,0.11025,0.11025,0.32462,0.32462,0.32462,-0.10412,-0.10412,-0.10412,0.32462,0.96773,1.1821,0.75336,1.1821,1.8252,2.0396,1.3965,-0.10412,-0.31849,-1.176,-1.176,-0.9616,-0.53286,0.32462,-0.53286,-1.6047,-2.0335,-1.6047,-0.53286,0.32462,0.53899,0.53899,0.53899,0.75336,0.75336,0.53899,0.32462,-0.10412,-0.10412,0.11025,0.32462,0.53899,0.53899,2
1.3424,2.0666,2.0666,2.0666,0.98026,0.25606,-0.6492,-1.1923,-1.3734,-1.3734,-1.0113,-1.0113,-1.5544,-1.9166,-1.9166,-1.5544,-1.1923,-0.83025,-0.6492,-0.28709,-0.10604,0.25606,0.43711,0.43711,0.43711,0.43711,0.43711,0.25606,0.25606,0.25606,0.25606,-0.10604,0.075007,0.25606,0.075007,-0.10604,0.075007,0.25606,0.61816,0.98026,1.5234,2.0666,1.8855,1.1613,-0.10604,-0.6492,-1.0113,-1.1923,-1.3734,-1.0113,-0.46815,-0.83025,-1.3734,-1.7355,-1.0113,-0.46815,0.25606,0.61816,0.43711,0.43711,0.43711,0.61816,0.61816,0.43711,0.43711,0.25606,0.25606,0.43711,0.79921,0.79921,2
0.93054,1.6939,2.4572,2.4572,1.185,-0.087238,-1.105,-1.3595,-1.6139,-0.85057,-0.59613,-1.105,-1.6139,-1.8683,-1.3595,-1.105,-0.85057,-0.85057,-0.85057,-0.59613,-0.087238,0.16721,0.42165,0.67609,0.67609,0.67609,0.67609,0.67609,0.42165,0.16721,0.42165,0.16721,0.16721,0.16721,-0.087238,0.16721,0.16721,0.16721,-0.34168,0.16721,1.185,1.9483,2.4572,1.4394,0.16721,-0.59613,-1.105,-0.85057,-0.59613,-0.087238,-0.087238,-1.105,-1.8683,-1.8683,-1.3595,-0.34168,0.42165,0.42165,-0.087238,0.16721,0.42165,0.93054,0.67609,0.67609,0.42165,0.16721,0.16721,0.16721,-0.34168,-0.087238,2
-0.33813,0.01514,1.075,1.7815,1.075,0.01514,-1.0447,-2.1045,-1.398,-0.33813,1.075,0.36841,-0.69141,-1.7512,-1.7512,-1.0447,-0.33813,-0.33813,0.36841,0.36841,0.72169,1.075,0.72169,1.4282,1.075,1.075,0.72169,0.72169,0.36841,0.36841,0.36841,0.01514,0.01514,-0.33813,-0.33813,-0.33813,0.01514,-0.33813,-0.33813,0.36841,0.72169,1.075,1.075,-1.0447,-1.0447,0.01514,0.36841,0.72169,-0.33813,-2.1045,-1.7512,-1.7512,-2.4578,-2.1045,-0.69141,0.72169,1.7815,2.1348,1.075,0.01514,-0.33813,-0.33813,0.01514,0.01514,0.36841,0.36841,0.36841,0.36841,0.36841,0.01514,1
