att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,target
-0.77065,-1.2791,-0.26209,1.5178,2.2806,1.0092,-0.51635,-1.5334,-0.77065,1.0092,2.5348,2.7891,1.772,-0.26209,-1.5334,-2.0419,-1.5334,-0.51635,-0.26209,-0.26209,-0.51635,-0.51635,-0.26209,-0.26209,-0.26209,-0.007825,0.24645,0.24645,0.24645,0.24645,-0.007825,-0.26209,-0.51635,-0.26209,-0.007825,0.24645,0.24645,-0.007825,-0.26209,-0.007825,-0.007825,-0.26209,-0.77065,-0.77065,-0.26209,-0.26209,-0.77065,0.50071,1.2635,2.2806,2.2806,1.2635,0.24645,-0.51635,-1.2791,-1.2791,-0.77065,-0.26209,-0.007825,-0.007825,-0.51635,-0.26209,-0.007825,-0.007825,0.50071,2
-0.69146,0.037369,0.28031,0.28031,0.52324,0.52324,0.52324,0.52324,0.28031,-0.69146,-0.44849,0.76617,1.7379,-0.20556,-2.392,-1.906,0.037369,1.252,2.2238,1.9808,1.0091,0.52324,0.037369,-0.44849,-0.44849,-0.44849,-0.69146,-0.93429,-0.69146,-0.44849,-0.44849,-0.69146,-0.69146,-0.44849,-0.20556,0.28031,0.28031,0.52324,0.28031,0.28031,0.28031,-0.44849,-1.1773,-0.93429,0.28031,0.76617,0.52324,-0.20556,0.037369,0.76617,1.7379,1.9808,1.0091,-1.906,-1.906,0.76617,1.7379,0.037369,-2.392,-1.4202,-0.93429,-0.44849,0.52324,0.28031,-0.20556,1
0.022305,-0.1388,-0.29991,-0.78321,0.18342,1.1501,0.50563,0.82784,0.18342,-0.94435,-0.78321,0.34453,1.7945,2.2778,-0.1388,-1.5888,-0.46104,-0.46104,-0.29991,-0.1388,-0.1388,-0.78321,-0.78321,-0.29991,0.022305,0.18342,0.022305,-0.1388,0.022305,0.18342,0.022305,0.022305,-0.29991,-0.1388,0.022305,0.022305,-0.1388,0.022305,0.022305,0.18342,0.34453,0.022305,-0.62208,-1.5888,-1.1055,-0.62208,-0.46104,0.34453,1.6334,2.9222,3.4055,2.6,-0.78321,-2.0721,-2.2332,-0.62208,0.18342,0.34453,-0.29991,-0.46104,-0.46104,-0.62208,0.022305,0.50563,0.34453,1
0.026081,0.026081,0.30868,0.30868,-0.53909,-1.6695,-0.82172,0.87385,1.439,0.30868,0.30868,1.1564,1.1564,0.026081,-0.2565,-0.2565,-0.2565,0.026081,0.026081,-0.82172,-0.2565,-0.53909,-0.53909,-0.53909,0.026081,-0.53909,0.026081,-0.2565,0.30868,0.30868,0.026081,0.026081,-0.2565,0.026081,0.30868,0.30868,0.026081,0.026081,-0.2565,0.026081,0.026081,0.026081,0.026081,-1.1042,-1.9521,-1.1042,-0.53909,-0.2565,2.0042,3.4171,3.6997,2.2868,-2.2346,-1.3868,-1.6695,0.026081,0.026081,-0.2565,-0.2565,-0.53909,0.30868,0.30868,0.026081,-0.2565,-0.2565,1
-0.12247,0.1263,0.37505,0.1263,0.37505,0.1263,0.1263,-0.12247,-0.86878,-0.61998,-0.12247,0.62381,1.3701,2.1164,1.3701,-0.37123,-1.615,-1.1174,0.62381,1.8676,2.1164,1.1213,-0.12247,-1.3662,-1.8638,-1.3662,-0.61998,-0.61998,-0.61998,-0.86878,-1.1174,-1.1174,-0.61998,-0.37123,0.37505,0.62381,0.62381,0.37505,0.1263,-0.12247,-0.37123,-0.12247,-0.12247,0.1263,0.37505,0.87257,0.62381,0.37505,-0.37123,-0.86878,-0.61998,0.37505,-0.37123,-1.615,-1.8638,-0.61998,0.37505,1.6188,2.1164,2.1164,1.6188,0.37505,-0.61998,-1.1174,-1.1174,2
-0.335,0.016207,0.016207,-0.335,-0.6862,0.71863,0.71863,0.016207,-0.6862,-0.335,0.71863,1.0698,1.0698,0.71863,0.36743,0.016207,-0.6862,-1.0375,-0.6862,-0.6862,-0.335,-0.6862,-0.6862,0.016207,0.016207,0.016207,0.016207,0.016207,0.016207,0.016207,-0.335,-0.335,-0.335,0.016207,0.016207,0.016207,-0.335,0.016207,-0.335,-0.335,-0.335,-0.6862,-1.0375,0.016207,1.0698,0.016207,-2.0911,-0.6862,1.7722,4.2307,3.5283,2.1234,-0.335,-1.7398,-1.7398,-1.0375,-0.335,0.016207,0.016207,-0.335,-0.335,0.016207,0.36743,0.71863,0.36743,2
-0.19349,0.058044,0.56112,1.5673,2.3219,1.3157,-0.44502,-1.7028,-1.7028,0.56112,2.0703,2.5734,0.81266,-0.94803,-1.4512,-1.4512,-0.94803,-0.6966,-0.6966,-0.6966,-0.94803,-0.6966,-0.19349,0.058044,0.058044,0.058044,0.30959,0.30959,0.56112,0.058044,0.058044,-0.19349,-0.19349,-0.19349,0.058044,-0.19349,0.058044,0.058044,0.058044,-0.19349,-1.1996,-1.9542,-0.6966,1.0642,1.5673,0.81266,-0.19349,0.56112,1.3157,1.8188,1.5673,0.81266,-0.44502,-1.4512,-1.9542,-1.1996,-0.44502,0.058044,0.058044,-0.19349,-0.19349,-0.19349,0.058044,0.30959,0.30959,2
-0.82536,-0.54879,-0.54879,0.004251,2.2164,3.046,1.3869,-0.54879,-1.6549,-0.27227,0.83383,2.493,2.2164,0.55731,-0.82536,-1.6549,-1.6549,-1.1018,-0.54879,-0.54879,-0.27227,0.004251,0.004251,-0.27227,-0.27227,-0.27227,0.004251,0.28079,0.004251,0.004251,0.004251,-0.27227,-0.27227,-0.27227,-0.27227,0.004251,0.004251,0.004251,0.004251,-0.27227,-0.54879,-0.27227,-0.27227,-0.54879,-0.27227,0.55731,0.28079,-0.27227,0.55731,1.3869,2.493,2.2164,0.28079,-0.54879,-1.3783,-1.6549,-1.3783,-0.54879,0.004251,0.28079,0.004251,-0.54879,-0.27227,0.004251,0.55731,2
-0.17112,0.21243,0.020648,0.21243,0.020648,-0.17112,0.020648,0.020648,0.21243,-0.36289,-0.74639,-0.17112,1.3631,2.5137,-0.17112,-1.8971,-2.0888,-0.74639,0.59597,1.5548,1.5548,0.97951,0.78774,0.78774,0.020648,-0.5547,-0.74639,-0.93819,-0.93819,-0.74639,-0.5547,-0.36289,-0.5547,-0.17112,0.020648,0.4042,0.21243,0.21243,0.21243,0.21243,0.020648,0.020648,0.020648,0.020648,0.21243,0.020648,-0.17112,-0.17112,-0.17112,0.020648,0.020648,-0.17112,-1.13,-0.93819,-0.36289,-0.36289,-0.36289,0.78774,1.7466,2.8972,2.5137,1.3631,-1.7053,-2.2806,-1.8971,1
-0.746,-0.51832,0.39225,1.3028,1.9858,1.0752,-0.51832,-1.4289,-0.97355,0.39225,1.9858,1.9858,1.7581,1.0752,-0.51832,-2.1118,-1.8841,-0.746,-0.29068,-0.29068,-0.746,-0.51832,-0.51832,-0.51832,-0.063043,0.16461,0.39225,0.61989,0.39225,0.16461,-0.063043,-0.063043,-0.29068,-0.29068,-0.29068,-0.29068,-0.063043,-0.063043,-0.063043,-0.063043,-0.063043,-0.746,-0.746,-0.51832,-0.063043,-0.51832,-0.51832,0.61989,1.7581,2.6687,2.441,1.0752,-0.51832,-1.4289,-1.8841,-1.4289,-0.97355,-0.063043,0.39225,0.39225,-0.063043,-0.29068,-0.063043,0.39225,0.39225,2
