att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,target
1.5247,1.5381,1.4108,1.2444,1.0395,0.86868,0.66426,0.4898,0.26855,0.07249,-0.046396,0.028986,0.16621,0.26063,0.25635,0.12302,-0.058387,-0.23025,-0.45361,-0.64598,-0.91893,-1.1353,-1.2579,-1.033,-0.77625,-0.59452,-0.45119,-0.35481,-0.36339,-0.40563,-0.45764,-0.57984,-0.68114,-0.88563,-0.99364,-1.1521,-1.301,-1.4473,-1.5196,-1.4955,-1.3026,-1.0764,-0.87706,-0.63906,-0.50845,-0.44555,-0.41994,-0.3843,-0.37174,-0.31894,-0.30538,-0.2223,0.003899,0.18202,0.38438,0.55537,0.76608,0.95181,1.1743,1.3646,1.5593,1.6453,1.88,2.0711,2.3014,2.4272,2.2055,2.0126,1.7771,1.5884,1.3841,1.2135,1.0103,0.85093,0.64944,0.47711,0.27111,0.10492,-0.05768,-0.29773,-0.50023,-0.66685,-0.76382,-0.84653,-0.91893,-0.99664,-1.0872,-1.2493,-1.4955,-1.6914,-1.894,-1.8456,-1.7275,-1.5379,-1.3894,-1.2165,-1.0682,-0.89614,-0.72304,-0.52633,-0.372,-0.22503,-0.12119,-0.009066,0.076109,0.14966,0.043627,-0.11303,-0.31919,-0.55965,-0.50845,-0.32433,-0.085353,0.10155,0.32367,0.49522,0.68724,0.83292,0.85771,0.76065,0.52103,0.36218,0.56149,0.74167,0.95521,1.0968,1.3253,1.4843,4
2.2149,2.0505,1.8423,1.6359,1.4326,1.2854,1.1433,1.0067,0.8341,0.71242,0.61115,0.44227,0.26247,0.12262,-0.005336,-0.12018,-0.17699,-0.29327,-0.49083,-0.59104,-0.64269,-0.60218,-0.61456,-0.69272,-0.7141,-0.76526,-0.80281,-0.85804,-0.97028,-1.021,-1.0577,-1.08,-1.0874,-1.08,-1.1085,-1.1213,-1.118,-1.0987,-1.0856,-1.0388,-1.0205,-0.94349,-0.89237,-0.78884,-0.70874,-0.64552,-0.53587,-0.43991,-0.35172,-0.20928,-0.09417,0.053337,0.16168,0.31931,0.3886,0.46886,0.50815,0.71214,0.91762,1.0709,1.2765,1.482,1.6873,1.893,2.1003,2.0549,1.8472,1.6445,1.4365,1.2826,1.0773,0.86956,0.66221,0.46494,0.43317,0.31025,0.14967,0.004111,-0.076583,-0.20928,-0.30569,-0.43991,-0.56373,-0.64552,-0.74229,-0.82496,-0.93063,-0.98422,-1.0205,-1.0837,-1.11,-1.0987,-1.118,-1.1213,-1.1085,-1.08,-1.0874,-1.1312,-1.1085,-1.0711,-1.0688,-1.0205,-0.94482,-0.90287,-0.84683,-0.8194,-0.69559,-0.64027,-0.57004,-0.48582,-0.35765,-0.27944,-0.20358,-0.098666,-0.047448,0.068284,0.24632,0.4274,0.598,0.71242,0.87618,1.0005,1.1433,1.3399,1.5418,1.7536,1.9624,2.1673,11
1.872,1.7264,1.5736,1.3969,1.2522,1.0838,0.95538,0.79612,0.7182,0.55192,0.42048,0.38336,0.27192,0.24162,0.16389,0.076636,0.016897,-0.032077,-0.026394,-0.052424,-0.10894,-0.17855,-0.18156,-0.22893,-0.25326,-0.33475,-0.33797,-0.39516,-0.49847,-0.55977,-0.70344,-0.84271,-1.0114,-1.1357,-1.2997,-1.4025,-1.5298,-1.6336,-1.7434,-1.7576,-1.747,-1.6925,-1.5724,-1.3886,-1.2363,-1.0526,-0.89894,-0.71419,-0.55977,-0.37444,-0.18892,-0.033856,0.14978,0.30286,0.48852,0.64156,0.82351,0.97668,1.1592,1.342,1.4953,1.6786,1.8319,2.0151,1.9246,1.7416,1.5866,1.4016,1.2481,1.0642,0.88055,0.72719,0.54316,0.38981,0.20579,0.051932,-0.13211,-0.28548,-0.46952,-0.65286,-0.80491,-0.98678,-1.137,-1.3162,-1.4629,-1.5822,-1.6354,-1.6336,-1.5669,-1.5103,-1.3733,-1.2524,-1.1443,-1.0038,-0.82867,-0.74485,-0.56154,-0.40507,-0.29652,-0.17573,-0.17084,-0.059242,-0.006773,-0.057805,0.01218,-0.031544,-0.014533,0.028394,0.035165,-0.009592,0.086694,0.014977,0.12925,0.12589,0.20253,0.23388,0.34112,0.40694,0.54316,0.66078,0.73147,0.86544,0.97836,1.1581,1.3096,1.4946,1.6508,1.8394,13
1.731,1.7022,1.553,1.3872,1.1446,0.95138,0.73303,0.55974,0.85339,1.0373,0.99211,0.85036,0.64329,0.44757,0.20343,-0.034712,-0.27144,-0.58421,-0.52915,-0.31483,-0.11402,0.02315,0.034174,-0.099625,-0.29046,-0.44916,-0.65231,-0.88531,-1.0571,-1.2446,-1.4773,-1.6462,-1.8254,-1.6436,-1.4629,-1.2256,-0.99342,-0.78753,-0.72259,-0.6699,-0.62976,-0.60821,-0.62789,-0.62256,-0.58973,-0.57661,-0.5979,-0.33079,-0.10781,0.096418,0.32424,0.52854,0.74101,0.9789,1.1951,1.4441,1.584,1.8049,2.025,2.2474,2.1479,1.9307,1.7706,1.6291,1.4602,1.2502,1.0392,0.86516,0.6511,0.41917,0.22506,0.099116,-0.076739,0.018475,0.11401,0.11546,0.018262,-0.009937,-0.031686,-0.084642,-0.21122,-0.50689,-0.70903,-0.91253,-1.0261,-1.1759,-1.3899,-1.2972,-1.2176,-1.1,-0.98035,-0.79782,-0.69445,-0.64074,-0.60556,-0.62256,-0.82981,-1.0337,-1.2987,-1.5598,-1.7761,-1.6788,-1.5425,-1.3118,-1.0755,-0.86077,-0.63592,-0.39289,-0.18043,0.02591,0.21626,0.42596,0.57822,0.59824,0.41236,0.14095,-0.14345,-0.32936,-0.15761,0.10222,0.31706,0.56954,0.78631,0.99845,1.2177,1.3388,1.5837,1.6886,4
1.8427,1.7494,1.5936,1.4205,1.2684,1.1187,0.97279,0.83249,0.71198,0.58458,0.44873,0.34635,0.25046,0.16177,0.12438,0.052316,0.005688,-0.020425,-0.090201,-0.094067,-0.12842,-0.19517,-0.18231,-0.22905,-0.28249,-0.28943,-0.32072,-0.39749,-0.44503,-0.48114,-0.56331,-0.7145,-0.83972,-0.91463,-1.0607,-1.1854,-1.2972,-1.4132,-1.4905,-1.5703,-1.5917,-1.5588,-1.448,-1.2939,-1.1412,-0.98652,-0.83286,-0.65861,-0.50439,-0.34985,-0.19508,-0.04004,0.11523,0.28998,0.44605,0.6017,0.7574,0.91412,1.0905,1.2477,1.4051,1.5628,1.7206,1.875,2.0407,1.9177,1.7565,1.5978,1.4371,1.2768,1.0994,0.94152,0.7838,0.6263,0.47029,0.29379,0.13791,-0.018784,-0.17445,-0.33003,-0.4855,-0.66021,-0.81525,-0.97041,-1.1255,-1.2803,-1.4547,-1.6079,-1.6759,-1.7193,-1.684,-1.6015,-1.5049,-1.3692,-1.2392,-1.1272,-0.98144,-0.8135,-0.73684,-0.59189,-0.56907,-0.4402,-0.41359,-0.36759,-0.36951,-0.34289,-0.3192,-0.23771,-0.19012,-0.18676,-0.11732,-0.091086,-0.017457,0.072786,0.14406,0.18922,0.32184,0.41658,0.54688,0.63583,0.75593,0.89584,1.0415,1.1884,1.3384,1.5108,1.6656,1.8226,13
1.2674,1.2373,1.1556,1.054,1.0248,1.0369,0.99183,0.93632,1.0094,0.92242,0.82538,0.81067,0.66169,0.76046,0.77265,0.77906,0.69177,0.80944,0.82949,0.77445,0.75809,0.77118,0.67139,0.58072,0.64465,0.54706,0.4293,0.35764,0.41148,0.26342,0.033996,0.03304,-0.10827,-0.23874,-0.39271,-0.59636,-0.78054,-0.92717,-1.0395,-1.1896,-1.3244,-1.4798,-1.6009,-1.6774,-1.6564,-1.7854,-1.6101,-1.4251,-1.2766,-1.0812,-0.88236,-0.67541,-0.46208,-0.24363,-0.021038,0.20819,0.44655,0.68511,0.93979,1.1555,1.3901,1.6298,1.8158,1.9204,1.7724,1.59,1.508,1.3758,1.1621,0.96206,0.73633,0.48481,0.2381,0.001219,-0.22809,-0.45636,-0.67747,-0.89405,-1.1052,-1.3154,-1.4872,-1.6817,-1.7969,-1.7574,-1.7208,-1.6582,-1.6016,-1.5224,-1.4764,-1.4798,-1.4041,-1.3101,-1.256,-1.1775,-1.0486,-0.93718,-0.98529,-0.79195,-0.59236,-0.51976,-0.338,-0.20574,-0.27387,-0.23533,-0.12353,-0.15672,-0.10827,-0.01882,-0.071333,0.038225,0.10694,0.21235,0.21481,0.34162,0.34789,0.4342,0.53419,0.62064,0.59132,0.70038,0.69946,0.68258,0.74564,0.75232,0.83183,0.89338,1.0282,1.2373,8
1.8479,1.693,1.4419,1.2452,1.0938,0.86143,0.66187,0.60133,0.57648,0.45049,0.41786,0.24765,0.13716,-0.02062,-0.17091,-0.29557,-0.4201,-0.6373,-0.76547,-0.89922,-1.0587,-1.1423,-1.2659,-1.2795,-1.3725,-1.3289,-1.4469,-1.462,-1.5311,-1.5141,-1.2891,-1.1876,-1.2668,-1.2398,-1.2558,-1.1739,-1.1583,-1.0736,-0.99541,-0.90909,-0.83625,-0.7645,-0.6901,-0.60383,-0.42352,-0.36066,-0.2019,-0.039357,0.053859,0.23104,0.37917,0.49767,0.65638,0.7524,0.9007,1.0225,1.166,1.3166,1.438,1.5292,1.5729,1.6844,1.7045,1.66,1.6505,1.6491,1.6268,1.8386,1.7224,1.4758,1.2577,1.0419,0.81978,0.68675,0.56389,0.452,0.32004,0.17187,0.061949,-0.052282,-0.18122,-0.3376,-0.4298,-0.55998,-0.68378,-0.76837,-0.89296,-0.96387,-0.99541,-1.0527,-0.99725,-1.0928,-1.0471,-1.0679,-1.0368,-1.0706,-1.0362,-1.0933,-1.0275,-0.91628,-0.98781,-0.88058,-0.72715,-0.73419,-0.64322,-0.67391,-0.58291,-0.50322,-0.35228,-0.21024,-0.041849,0.11275,0.10338,0.20277,0.38306,0.31914,0.41336,0.47077,0.43308,0.58671,0.71851,0.76772,0.95207,1.0334,1.1944,1.397,1.6282,1.8251,3
1.9726,1.938,1.987,1.9101,1.8754,1.6514,1.7165,1.4306,1.2418,1.2118,0.92143,0.56487,0.62259,0.55411,0.38498,0.073316,-0.30354,-0.58843,-0.34563,-0.23344,-0.23969,-0.40863,-0.70243,-0.91522,-0.77102,-0.76568,-0.82141,-1.0962,-1.1052,-0.99559,-0.93771,-0.90599,-0.97393,-1.0451,-1.1686,-1.2918,-1.3439,-1.4008,-1.4275,-1.1483,-0.87385,-0.5187,-0.17233,0.1845,0.48202,0.58467,0.68648,0.58583,0.51886,0.4164,0.33401,0.2792,0.15443,0.092816,-0.030276,-0.13014,-0.28531,-0.42106,-0.10786,0.22289,0.51402,0.82542,1.1675,1.4595,1.7409,1.7394,1.4358,1.0816,0.79304,0.46586,0.11151,-0.1758,-0.50098,-0.36995,-0.23793,-0.20831,-0.11547,-0.086641,0.000061,-0.031584,-0.046551,0.060148,0.13428,0.10081,-0.00495,-0.30096,-0.58079,-0.88598,-1.1711,-1.3899,-1.607,-1.6681,-1.6335,-1.5544,-1.5544,-1.5263,-1.4219,-1.3754,-1.2525,-1.1788,-1.0573,-1.1632,-1.3596,-1.1412,-0.88323,-0.66912,-0.47197,-0.15752,0.068016,0.17307,0.056301,-0.15445,-0.37399,-0.34663,-0.00495,0.29702,0.6049,0.8562,1.043,1.0792,0.9307,1.0051,1.3356,1.5895,1.529,1.6863,1.7328,1.9227,14
1.2512,1.1732,1.0283,0.87508,0.89007,0.7422,0.6862,0.77412,0.72952,0.61954,0.71888,0.61228,0.58596,0.63827,0.51638,0.51521,0.43282,0.33532,0.43342,0.33794,0.21397,0.1553,0.20916,0.011063,-0.036315,-0.051113,-0.21186,-0.36209,-0.49927,-0.69251,-0.74574,-0.61792,-0.73754,-0.90272,-1.0483,-1.2383,-1.3392,-1.3692,-1.4546,-1.5614,-1.6834,-1.7556,-1.7262,-1.531,-1.3101,-1.1148,-0.91947,-0.72937,-0.5071,-0.32028,-0.13539,0.051811,0.273,0.46328,0.65634,0.85323,1.0858,1.2894,1.4917,1.6952,1.9267,2.1267,2.1276,1.9582,1.7056,1.4875,1.2774,1.0735,0.83569,0.63275,0.43342,0.23854,0.014309,-0.1761,-0.36677,-0.55672,-0.7807,-0.97534,-1.1699,-1.3642,-1.5885,-1.7806,-1.8468,-1.789,-1.7523,-1.6663,-1.5852,-1.46,-1.322,-1.2053,-1.195,-1.0483,-0.8922,-0.86264,-0.99295,-0.81527,-0.62765,-0.46474,-0.51144,-0.41649,-0.19328,-0.008831,0.084522,0.027428,0.011747,0.17821,0.28148,0.27064,0.39118,0.35685,0.38023,0.5234,0.47618,0.45077,0.58022,0.73159,0.72952,0.71015,0.8551,0.86457,0.78039,0.86177,0.99661,0.93834,0.95308,1.0733,1.1084,1.2164,8
2.3634,2.2054,1.913,1.6717,1.4318,1.151,0.97567,0.85849,0.71352,0.56405,0.43636,0.35355,0.25204,0.12265,-0.009781,-0.085589,-0.18778,-0.30138,-0.37051,-0.48834,-0.58899,-0.64029,-0.74156,-0.83827,-0.79811,-0.86642,-0.96575,-1.0695,-1.1422,-1.1548,-1.2071,-1.1873,-1.2482,-1.1969,-1.178,-1.1447,-1.133,-1.1146,-1.0816,-1.0145,-0.90858,-0.84924,-0.8364,-0.73086,-0.61863,-0.55703,-0.47945,-0.31947,-0.2129,-0.067436,0.080789,0.18321,0.32315,0.44439,0.56808,0.64364,0.76937,0.82412,0.83701,1.0753,1.323,1.6137,1.8517,2.0333,1.9236,1.6818,1.438,1.149,0.9546,1.0494,1.0127,0.93705,0.87856,0.73154,0.58576,0.47639,0.30883,0.17219,-0.05138,-0.11431,-0.25012,-0.41286,-0.49155,-0.61457,-0.76015,-0.85701,-0.94021,-0.99726,-1.0467,-1.1021,-1.1606,-1.1597,-1.1551,-1.1649,-1.1597,-1.1433,-1.1534,-1.1012,-1.1249,-1.0893,-1.0399,-0.96327,-0.93037,-0.88366,-0.80155,-0.72643,-0.61254,-0.51212,-0.47452,-0.42162,-0.34816,-0.25977,-0.15725,-0.081499,0.04546,0.22641,0.24948,0.34916,0.48966,0.50861,0.69012,0.89152,1.0989,1.3591,1.583,1.8147,2.0899,2.3195,11
