att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140,att141,att142,att143,att144,att145,att146,att147,att148,att149,att150,att151,att152,att153,att154,att155,att156,att157,att158,att159,att160,att161,att162,att163,att164,att165,att166,att167,att168,att169,att170,att171,att172,att173,att174,att175,att176,att177,att178,att179,att180,att181,att182,att183,att184,att185,att186,att187,att188,att189,att190,att191,att192,att193,att194,att195,att196,att197,att198,att199,att200,att201,att202,att203,att204,att205,att206,att207,att208,att209,att210,att211,att212,att213,att214,att215,att216,att217,att218,att219,att220,att221,att222,att223,att224,att225,att226,att227,att228,att229,att230,att231,att232,att233,target
1.7816,1.6417,1.5139,1.3944,1.282,1.1747,1.0705,0.97042,0.87394,0.78064,0.69367,0.61441,0.53967,0.46947,0.40379,0.34174,0.28648,0.23847,0.1968,0.16011,0.12614,0.092627,0.062733,0.042804,0.029216,0.016987,0.001587,-0.012001,-0.016077,-0.00566,0.021063,0.06998,0.15196,0.27516,0.46403,0.77294,1.2598,1.8446,2.0602,1.5629,0.86669,0.38749,0.142,0.041898,0.029216,0.078133,0.17687,0.30188,0.39338,0.36122,0.19499,-0.004754,-0.15649,-0.24979,-0.30052,-0.32815,-0.34672,-0.36393,-0.38205,-0.39971,-0.41874,-0.44138,-0.46584,-0.48849,-0.50434,-0.5134,-0.51974,-0.52789,-0.54058,-0.55507,-0.56549,-0.57047,-0.57364,-0.57545,-0.57545,-0.57455,-0.57228,-0.5673,-0.56051,-0.55281,-0.54511,-0.53876,-0.53378,-0.5288,-0.52336,-0.51793,-0.51159,-0.5057,-0.50026,-0.49619,-0.49121,-0.48487,-0.47581,-0.46222,-0.44455,-0.42327,-0.39926,-0.38069,-0.37978,-0.39473,-0.41194,-0.42236,-0.42644,-0.42598,-0.42236,-0.41466,-0.40379,-0.39111,-0.38069,-0.37208,-0.36438,-0.35895,-0.35804,-0.36348,-0.37707,-0.39518,-0.41149,-0.42644,-0.43776,-0.44229,-0.44093,-0.43323,-0.40968,-0.36031,-0.3046,-0.26927,-0.25115,-0.2593,-0.27742,-0.28693,-0.28376,-0.27153,-0.25794,-0.24753,-0.2439,-0.25251,-0.26655,-0.28739,-0.31501,-0.34128,-0.36665,-0.36982,-0.34581,-0.30279,-0.28331,-0.34174,-0.40787,-0.46222,-0.49302,-0.50978,-0.51431,-0.50842,-0.50887,-0.52246,-0.53967,-0.54737,-0.54737,-0.53831,-0.52699,-0.51431,-0.49574,-0.47852,-0.46358,-0.44637,-0.42598,-0.40062,-0.37163,-0.33902,-0.30822,-0.26791,-0.21854,-0.15785,-0.084923,-0.026948,0.061375,0.14562,0.26293,0.37662,0.50616,0.65155,0.81596,1.0003,1.2055,1.427,1.6752,1.9152,2.1594,2.428,2.6377,2.8573,2.9905,3.0548,3.1196,3.0983,2.9479,2.8071,2.6227,2.5185,2.317,2.1005,1.8613,1.614,1.3767,1.1457,0.85854,0.65336,0.45588,0.23032,0.004305,-0.17234,-0.34536,-0.49211,-0.65109,-0.80056,-0.90564,-1.013,-1.1095,-1.2209,-1.3024,-1.3848,-1.4523,-1.5225,-1.5755,-1.624,-1.6702,-1.7096,-1.7449,-1.783,-1.8106,-1.8373,-1.8609,-1.8804,-1.9012,-1.9189,1
1.7797,1.6389,1.512,1.392,1.2778,1.1704,1.0667,0.967,0.87141,0.779,0.69065,0.61092,0.53753,0.46731,0.40071,0.33955,0.28473,0.23581,0.19367,0.15607,0.12209,0.089929,0.060935,0.039642,0.026051,0.012913,-0.00249,-0.016081,-0.020611,-0.010644,0.016538,0.066372,0.14928,0.27658,0.47048,0.78443,1.2814,1.8767,2.0964,1.5908,0.88229,0.39346,0.14384,0.041908,0.027864,0.07815,0.17963,0.30875,0.40252,0.36945,0.19911,-0.005661,-0.15969,-0.25438,-0.30648,-0.33502,-0.35314,-0.36945,-0.38621,-0.40343,-0.422,-0.4451,-0.47047,-0.49313,-0.50898,-0.5185,-0.52529,-0.5339,-0.54704,-0.56153,-0.5715,-0.57694,-0.58056,-0.58237,-0.58373,-0.58373,-0.58147,-0.57739,-0.57014,-0.56289,-0.55565,-0.5493,-0.54387,-0.53843,-0.53299,-0.52756,-0.52076,-0.51442,-0.50944,-0.50491,-0.49992,-0.49403,-0.48497,-0.47138,-0.45417,-0.43197,-0.40524,-0.38485,-0.38395,-0.3998,-0.41656,-0.42789,-0.43287,-0.43197,-0.42698,-0.41838,-0.4066,-0.39301,-0.38123,-0.37217,-0.36446,-0.35903,-0.35858,-0.36446,-0.37896,-0.39708,-0.41385,-0.42834,-0.43922,-0.44375,-0.44239,-0.43423,-0.41067,-0.35993,-0.30285,-0.26616,-0.24758,-0.25483,-0.27159,-0.2802,-0.27476,-0.26163,-0.24668,-0.23535,-0.22946,-0.23626,-0.2503,-0.27114,-0.29968,-0.32777,-0.35404,-0.35767,-0.33411,-0.29153,-0.27205,-0.33185,-0.40025,-0.45598,-0.4895,-0.50717,-0.51306,-0.50808,-0.50898,-0.52212,-0.54115,-0.5493,-0.54976,-0.5407,-0.52982,-0.51714,-0.49856,-0.48044,-0.46277,-0.44375,-0.41973,-0.38938,-0.3554,-0.31826,-0.28609,-0.24486,-0.19367,-0.13206,-0.060478,-0.00249,0.086305,0.17057,0.287,0.39935,0.52756,0.67072,0.83109,1.0105,1.2144,1.4336,1.6774,1.9148,2.1544,2.4149,2.6251,2.848,2.9794,3.0419,3.1053,3.0895,2.9418,2.7959,2.6138,2.5128,2.3107,2.0923,1.8545,1.6085,1.3702,1.1392,0.85012,0.64218,0.4433,0.21678,-0.010191,-0.18733,-0.35948,-0.50445,-0.6603,-0.80844,-0.91264,-1.0186,-1.1142,-1.2239,-1.3041,-1.3856,-1.4517,-1.522,-1.5754,-1.6244,-1.6706,-1.7104,-1.7458,-1.7834,-1.811,-1.8377,-1.8613,-1.8808,-1.9016,-1.9193,1
1.7765,1.6363,1.5083,1.3885,1.2755,1.1666,1.0635,0.96505,0.86839,0.77535,0.68913,0.6088,0.53528,0.46539,0.39868,0.33696,0.28114,0.23394,0.19264,0.15498,0.12048,0.087809,0.059218,0.038796,0.025181,0.012928,-0.00114,-0.014755,-0.017932,-0.006586,0.021097,0.072833,0.1577,0.28522,0.47991,0.79623,1.2954,1.8949,2.1173,1.6077,0.89335,0.40049,0.14908,0.045604,0.031535,0.083725,0.18629,0.31563,0.41139,0.38053,0.20898,0.002036,-0.15453,-0.25029,-0.30248,-0.33107,-0.34968,-0.36692,-0.38462,-0.40278,-0.42274,-0.44589,-0.47085,-0.49354,-0.50988,-0.51941,-0.52576,-0.53393,-0.54664,-0.56207,-0.57341,-0.57886,-0.58204,-0.58431,-0.58476,-0.58476,-0.58249,-0.57795,-0.57114,-0.56343,-0.55617,-0.55027,-0.54437,-0.53983,-0.53484,-0.52894,-0.52259,-0.51578,-0.51033,-0.50534,-0.50035,-0.49354,-0.48401,-0.46903,-0.44997,-0.42819,-0.40414,-0.38508,-0.38371,-0.39914,-0.4173,-0.42864,-0.43318,-0.43227,-0.42728,-0.41775,-0.4055,-0.39234,-0.38099,-0.37146,-0.36329,-0.35785,-0.35694,-0.36329,-0.37782,-0.39642,-0.41321,-0.42819,-0.43908,-0.44317,-0.44135,-0.43318,-0.40868,-0.35739,-0.30021,-0.263,-0.24439,-0.25211,-0.26935,-0.27752,-0.27253,-0.25891,-0.24348,-0.23168,-0.22578,-0.23304,-0.24666,-0.26799,-0.29749,-0.32563,-0.35195,-0.35558,-0.33198,-0.28887,-0.2689,-0.32971,-0.39869,-0.45542,-0.48991,-0.50897,-0.51442,-0.50852,-0.50897,-0.52395,-0.5421,-0.55027,-0.55072,-0.54165,-0.53121,-0.51941,-0.5008,-0.48265,-0.46495,-0.44498,-0.42047,-0.39007,-0.35649,-0.32063,-0.28796,-0.24666,-0.19719,-0.13547,-0.061045,-0.002502,0.084633,0.16859,0.28477,0.39686,0.52484,0.66734,0.82845,1.0086,1.2115,1.4293,1.6726,1.9095,2.1495,2.4123,2.6215,2.8412,2.9719,3.0354,3.0998,3.084,2.9365,2.7917,2.6084,2.5108,2.3106,2.0924,1.8527,1.6049,1.368,1.1375,0.8466,0.63921,0.44043,0.21307,-0.014755,-0.1922,-0.36329,-0.50852,-0.66509,-0.81258,-0.91605,-1.0222,-1.1175,-1.2274,-1.3068,-1.3885,-1.4552,-1.5251,-1.5791,-1.6276,-1.6739,-1.7139,-1.7488,-1.7865,-1.8142,-1.8409,-1.8645,-1.8841,-1.9045,-1.9226,1
1.7741,1.6351,1.5079,1.3887,1.2772,1.1716,1.0668,0.96652,0.87209,0.78081,0.69403,0.61355,0.53935,0.46786,0.40266,0.34196,0.28575,0.23854,0.19627,0.1585,0.12433,0.090607,0.06138,0.039348,0.02451,0.01102,-0.006066,-0.020905,-0.02675,-0.020905,0.002027,0.047891,0.12433,0.23989,0.4175,0.70572,1.1626,1.717,1.9319,1.4656,0.8024,0.34601,0.11174,0.015517,0.001128,0.045643,0.13782,0.25518,0.34016,0.30914,0.15311,-0.035743,-0.17873,-0.26506,-0.31138,-0.33656,-0.35184,-0.36578,-0.38197,-0.39861,-0.41749,-0.44132,-0.4674,-0.49078,-0.50742,-0.51731,-0.52361,-0.5317,-0.54384,-0.55733,-0.56722,-0.57172,-0.57352,-0.57532,-0.57667,-0.57622,-0.57352,-0.56992,-0.56408,-0.55688,-0.54969,-0.54339,-0.53755,-0.53305,-0.5281,-0.52271,-0.51641,-0.51147,-0.50652,-0.50292,-0.49933,-0.49483,-0.48764,-0.4764,-0.46021,-0.43907,-0.41479,-0.39681,-0.39546,-0.40985,-0.42559,-0.43548,-0.43863,-0.43728,-0.43188,-0.42334,-0.4121,-0.39996,-0.38827,-0.37927,-0.37253,-0.36758,-0.36713,-0.37253,-0.38557,-0.4022,-0.41749,-0.43053,-0.44132,-0.44582,-0.44402,-0.43683,-0.41614,-0.37073,-0.31767,-0.28395,-0.26641,-0.27226,-0.28709,-0.29429,-0.28889,-0.2754,-0.26102,-0.25022,-0.24483,-0.25157,-0.26461,-0.2844,-0.31227,-0.33925,-0.36353,-0.36623,-0.3442,-0.30328,-0.28395,-0.33835,-0.39996,-0.45032,-0.48134,-0.49933,-0.50517,-0.49978,-0.49933,-0.51192,-0.5281,-0.53395,-0.5326,-0.52316,-0.51192,-0.49888,-0.47954,-0.46111,-0.44402,-0.42379,-0.39861,-0.36803,-0.33386,-0.29519,-0.26102,-0.21785,-0.16659,-0.10364,-0.027649,0.031704,0.12208,0.20662,0.32487,0.43863,0.56768,0.71157,0.87254,1.0524,1.2543,1.4733,1.7179,1.9553,2.1963,2.4611,2.6716,2.891,3.0178,3.0785,3.1406,3.1226,2.9697,2.8218,2.6329,2.5299,2.3285,2.1082,1.8667,1.6176,1.3797,1.1495,0.8568,0.64727,0.44897,0.22145,-0.006966,-0.18458,-0.35679,-0.50158,-0.6576,-0.80554,-0.9085,-1.0137,-1.1072,-1.2161,-1.2948,-1.3752,-1.4404,-1.5101,-1.5627,-1.6104,-1.6563,-1.6954,-1.7309,-1.7691,-1.7966,-1.8231,-1.8465,-1.8658,-1.8869,-1.9049,1
1.7765,1.6377,1.5109,1.3923,1.2791,1.1726,1.0692,0.97037,0.87466,0.78255,0.69627,0.61629,0.5408,0.47025,0.40464,0.34398,0.28916,0.24063,0.19839,0.1602,0.12515,0.092349,0.062692,0.040674,0.025396,0.011017,-0.005609,-0.020887,-0.026728,-0.020438,0.00203,0.046515,0.12156,0.23704,0.41408,0.70076,1.1555,1.7087,1.9198,1.4557,0.79782,0.34263,0.10942,0.013713,-0.001116,0.04292,0.13459,0.25142,0.33724,0.30714,0.14987,-0.037513,-0.17951,-0.26623,-0.31296,-0.33768,-0.35295,-0.36688,-0.38216,-0.39879,-0.41811,-0.44148,-0.46709,-0.49001,-0.50663,-0.51697,-0.52371,-0.5309,-0.54348,-0.55651,-0.56595,-0.57179,-0.57403,-0.57493,-0.57538,-0.57493,-0.57313,-0.56909,-0.56325,-0.55651,-0.54932,-0.54258,-0.53764,-0.53269,-0.52775,-0.52236,-0.51607,-0.51023,-0.50618,-0.50349,-0.49944,-0.4945,-0.48731,-0.47608,-0.46035,-0.43968,-0.41586,-0.39744,-0.39519,-0.40957,-0.42575,-0.43519,-0.43878,-0.43698,-0.43159,-0.4235,-0.41227,-0.39969,-0.38935,-0.38036,-0.37273,-0.36823,-0.36823,-0.37362,-0.38666,-0.40328,-0.41811,-0.43159,-0.44148,-0.44552,-0.44507,-0.43788,-0.41676,-0.37138,-0.3197,-0.28555,-0.26758,-0.27387,-0.28915,-0.29634,-0.2905,-0.27746,-0.26353,-0.2523,-0.24691,-0.2532,-0.26668,-0.28645,-0.31296,-0.33992,-0.36464,-0.36733,-0.34532,-0.30443,-0.2851,-0.33992,-0.40103,-0.45091,-0.48102,-0.49854,-0.50483,-0.49944,-0.49899,-0.51112,-0.5264,-0.53224,-0.53135,-0.52146,-0.51068,-0.49764,-0.47787,-0.46035,-0.44282,-0.42215,-0.39699,-0.36644,-0.33184,-0.29409,-0.25949,-0.21545,-0.16468,-0.10312,-0.027627,0.032136,0.12335,0.20918,0.32601,0.43924,0.56821,0.71155,0.87376,1.0549,1.2571,1.4745,1.7199,1.9594,2.2007,2.4631,2.6698,2.8886,3.0194,3.0801,3.1425,3.1259,2.9722,2.8221,2.6303,2.5301,2.3296,2.1086,1.8673,1.6174,1.3802,1.1497,0.85669,0.64864,0.45003,0.22086,-0.007856,-0.1849,-0.35745,-0.50259,-0.65806,-0.8059,-0.9088,-1.0135,-1.1074,-1.2162,-1.2948,-1.3748,-1.4399,-1.5087,-1.5617,-1.6093,-1.6552,-1.6947,-1.7302,-1.7684,-1.7958,-1.8219,-1.8448,-1.8646,-1.8857,-1.9037,1
1.7769,1.6366,1.5106,1.3923,1.2802,1.1735,1.0708,0.97174,0.87535,0.78255,0.69781,0.61846,0.54404,0.4732,0.40595,0.34543,0.29073,0.24231,0.20017,0.16206,0.12619,0.093018,0.063877,0.041461,0.025769,0.011871,-0.005614,-0.020857,-0.026237,-0.019512,0.002008,0.045944,0.12037,0.23514,0.41088,0.69647,1.1506,1.7007,1.9137,1.4515,0.79151,0.33781,0.10692,0.010974,-0.00382,0.041012,0.13247,0.24859,0.33377,0.30328,0.14637,-0.04148,-0.1827,-0.26878,-0.31586,-0.34096,-0.35621,-0.36966,-0.38535,-0.40149,-0.41942,-0.44184,-0.46694,-0.48981,-0.50684,-0.51671,-0.52343,-0.5315,-0.54361,-0.55661,-0.56602,-0.57095,-0.5732,-0.57454,-0.57589,-0.57589,-0.5732,-0.56961,-0.56378,-0.55706,-0.55033,-0.5445,-0.53868,-0.5333,-0.52836,-0.52254,-0.51716,-0.51178,-0.50729,-0.50371,-0.50012,-0.49519,-0.48801,-0.47681,-0.46111,-0.44049,-0.41673,-0.39835,-0.397,-0.4109,-0.42659,-0.43646,-0.44004,-0.43825,-0.43332,-0.4248,-0.41359,-0.40149,-0.39073,-0.38131,-0.37414,-0.36966,-0.3701,-0.37593,-0.38849,-0.40463,-0.41987,-0.43377,-0.44318,-0.44766,-0.44722,-0.43959,-0.41808,-0.37279,-0.32124,-0.28761,-0.26923,-0.27596,-0.2912,-0.29837,-0.29299,-0.27954,-0.2652,-0.25399,-0.24861,-0.25623,-0.26923,-0.28806,-0.31496,-0.34141,-0.36607,-0.36921,-0.34724,-0.30599,-0.28627,-0.34007,-0.40149,-0.4508,-0.48129,-0.49877,-0.50326,-0.49788,-0.49743,-0.50953,-0.52433,-0.53061,-0.52926,-0.51985,-0.50909,-0.49608,-0.47591,-0.45753,-0.44049,-0.41942,-0.39387,-0.36293,-0.32931,-0.29165,-0.25713,-0.21319,-0.16208,-0.10066,-0.024892,0.033391,0.1235,0.20869,0.3257,0.43868,0.56735,0.71037,0.87221,1.0524,1.2528,1.4725,1.7178,1.9549,2.1961,2.4615,2.6731,2.8906,3.0215,3.0856,3.1502,3.1349,2.9744,2.8211,2.635,2.5351,2.3347,2.1136,1.8688,1.6196,1.3829,1.1529,0.86011,0.65074,0.45168,0.22348,-0.005614,-0.1836,-0.35665,-0.50102,-0.65748,-0.80453,-0.9072,-1.0117,-1.1054,-1.2139,-1.2923,-1.3721,-1.4367,-1.5062,-1.5586,-1.6061,-1.6519,-1.6913,-1.7263,-1.764,-1.7913,-1.8182,-1.8411,-1.8603,-1.8814,-1.8993,1
1.6584,1.5238,1.4031,1.2931,1.1898,1.0909,0.99478,0.90221,0.81188,0.72378,0.64239,0.56905,0.50063,0.43578,0.37407,0.31772,0.26853,0.22515,0.18759,0.15405,0.12319,0.093676,0.068186,0.050745,0.04046,0.030622,0.018547,0.008262,0.007815,0.021678,0.052534,0.11022,0.20503,0.3459,0.55697,0.89371,1.4129,2.0224,2.2425,1.7206,0.98852,0.47827,0.21353,0.10486,0.09144,0.14645,0.25288,0.38435,0.47379,0.43042,0.2493,0.037777,-0.12187,-0.2216,-0.2766,-0.30567,-0.32356,-0.341,-0.35978,-0.37901,-0.40048,-0.42686,-0.45459,-0.47963,-0.49752,-0.50691,-0.51406,-0.52256,-0.53508,-0.54939,-0.55923,-0.5646,-0.56773,-0.56952,-0.57041,-0.57041,-0.56862,-0.5646,-0.55834,-0.55163,-0.54447,-0.53777,-0.5324,-0.52748,-0.52211,-0.51675,-0.51093,-0.50602,-0.50199,-0.49797,-0.49349,-0.48768,-0.47918,-0.46532,-0.44654,-0.42194,-0.39511,-0.37543,-0.37499,-0.39198,-0.41032,-0.4215,-0.42597,-0.42507,-0.41881,-0.40897,-0.39735,-0.38482,-0.37454,-0.3656,-0.35844,-0.35486,-0.35665,-0.36381,-0.37946,-0.39824,-0.41434,-0.42999,-0.44162,-0.44654,-0.4452,-0.43536,-0.40942,-0.35799,-0.29941,-0.2605,-0.24127,-0.24798,-0.26229,-0.27124,-0.26542,-0.25201,-0.23859,-0.22875,-0.22562,-0.2377,-0.25424,-0.2775,-0.3088,-0.33966,-0.36738,-0.36917,-0.34502,-0.3012,-0.28197,-0.34905,-0.41568,-0.47158,-0.50691,-0.52972,-0.53866,-0.53374,-0.53419,-0.54984,-0.56996,-0.5798,-0.58204,-0.5731,-0.56728,-0.55521,-0.53687,-0.52033,-0.50378,-0.485,-0.46353,-0.43804,-0.40942,-0.37007,-0.33295,-0.29002,-0.23904,-0.17688,-0.099513,-0.042719,0.047168,0.1299,0.2493,0.36289,0.49213,0.63792,0.80248,0.98718,1.1933,1.416,1.67,1.9169,2.1642,2.441,2.6561,2.8878,3.0201,3.0738,3.144,3.1284,2.9513,2.7939,2.5953,2.4983,2.2908,2.0627,1.8132,1.5556,1.319,1.0847,0.78639,0.58246,0.39017,0.16568,-0.06016,-0.22965,-0.3969,-0.53285,-0.68758,-0.83023,-0.92683,-1.0274,-1.12,-1.2291,-1.3047,-1.3839,-1.4478,-1.5162,-1.5659,-1.6124,-1.6567,-1.6938,-1.7287,-1.7662,-1.7917,-1.8176,-1.8391,-1.8583,-1.8789,-1.895,1
1.6565,1.5245,1.4049,1.2939,1.1896,1.0898,0.99356,0.90179,0.81226,0.72497,0.6426,0.5683,0.50025,0.43535,0.37402,0.31717,0.26793,0.22406,0.1869,0.15422,0.12289,0.093793,0.068277,0.051267,0.040523,0.030227,0.017693,0.007398,0.006502,0.019932,0.052162,0.11036,0.20436,0.34537,0.55666,0.89284,1.4103,2.0205,2.2389,1.7183,0.98774,0.47787,0.21376,0.10498,0.091107,0.14527,0.25226,0.38252,0.47116,0.42953,0.25002,0.038285,-0.12197,-0.22045,-0.27507,-0.30461,-0.32341,-0.33997,-0.35922,-0.37981,-0.4013,-0.42682,-0.45502,-0.47964,-0.49754,-0.50784,-0.515,-0.52306,-0.53515,-0.54992,-0.56022,-0.56514,-0.56783,-0.56917,-0.57051,-0.57096,-0.56917,-0.56469,-0.55842,-0.55126,-0.54365,-0.53739,-0.53157,-0.52664,-0.52172,-0.51635,-0.51053,-0.5056,-0.50113,-0.4971,-0.49307,-0.48725,-0.47785,-0.46397,-0.44562,-0.42145,-0.39414,-0.374,-0.374,-0.39101,-0.40891,-0.42055,-0.42458,-0.42324,-0.41742,-0.40846,-0.39682,-0.38384,-0.37265,-0.36459,-0.35788,-0.3534,-0.35519,-0.36236,-0.37758,-0.39638,-0.41249,-0.42816,-0.44025,-0.44472,-0.44338,-0.43398,-0.40846,-0.35698,-0.29745,-0.25895,-0.2397,-0.24686,-0.26164,-0.27014,-0.26477,-0.25089,-0.23746,-0.22806,-0.22538,-0.23702,-0.25403,-0.2773,-0.30819,-0.33863,-0.36594,-0.36818,-0.344,-0.30103,-0.28223,-0.34937,-0.41518,-0.47113,-0.5065,-0.52978,-0.53783,-0.53291,-0.53425,-0.55037,-0.57006,-0.57946,-0.5817,-0.57409,-0.56783,-0.5544,-0.53694,-0.52037,-0.50381,-0.48501,-0.46352,-0.43801,-0.40891,-0.36907,-0.33281,-0.29029,-0.23836,-0.17614,-0.099142,-0.042739,0.047238,0.13095,0.25002,0.36417,0.49443,0.63947,0.80331,0.98819,1.195,1.4193,1.6722,1.9184,2.1655,2.4412,2.6579,2.8884,3.0205,3.0769,3.1431,3.1252,2.9489,2.794,2.5948,2.4954,2.2881,2.0621,1.8127,1.5549,1.3181,1.084,0.78451,0.58083,0.38834,0.16273,-0.06154,-0.22985,-0.39817,-0.5347,-0.68958,-0.83238,-0.92863,-1.0293,-1.122,-1.2308,-1.306,-1.3852,-1.4488,-1.5173,-1.567,-1.614,-1.6583,-1.6959,-1.7308,-1.768,-1.7935,-1.8194,-1.8409,-1.8602,-1.8803,-1.8964,1
1.6603,1.5274,1.4062,1.294,1.1902,1.0914,0.9957,0.90357,0.81369,0.72558,0.64419,0.56996,0.50108,0.43624,0.37542,0.31862,0.26898,0.22605,0.18848,0.15494,0.12364,0.094123,0.069079,0.051638,0.041799,0.031513,0.018991,0.008258,0.006469,0.019886,0.052979,0.11067,0.20369,0.34367,0.5543,0.88837,1.4049,2.0158,2.2327,1.7108,0.98094,0.4738,0.21174,0.10396,0.090992,0.14421,0.24975,0.38034,0.46978,0.4264,0.24617,0.035538,-0.12367,-0.22161,-0.27572,-0.30479,-0.32357,-0.34057,-0.3598,-0.37903,-0.3996,-0.42554,-0.45416,-0.4792,-0.49709,-0.50738,-0.51453,-0.52303,-0.53555,-0.54986,-0.55925,-0.56417,-0.56686,-0.56909,-0.57043,-0.57043,-0.5682,-0.56372,-0.55702,-0.54941,-0.54271,-0.53689,-0.53153,-0.52661,-0.52169,-0.51632,-0.51006,-0.50514,-0.50067,-0.49754,-0.49351,-0.48725,-0.47831,-0.46534,-0.44611,-0.42151,-0.39468,-0.375,-0.37455,-0.39155,-0.40988,-0.42106,-0.42554,-0.42464,-0.41883,-0.40944,-0.39781,-0.38484,-0.37321,-0.36516,-0.35845,-0.35488,-0.35622,-0.36337,-0.37903,-0.39826,-0.41391,-0.42956,-0.44119,-0.44521,-0.44387,-0.43493,-0.40988,-0.35845,-0.29942,-0.26096,-0.24173,-0.24844,-0.26365,-0.2717,-0.26633,-0.25291,-0.23905,-0.22966,-0.22697,-0.23771,-0.2547,-0.2784,-0.30971,-0.34012,-0.3674,-0.37008,-0.34593,-0.30255,-0.28332,-0.34951,-0.41659,-0.47249,-0.50738,-0.52884,-0.53823,-0.53376,-0.53421,-0.54941,-0.57088,-0.57982,-0.58206,-0.57312,-0.56462,-0.55433,-0.536,-0.51945,-0.50469,-0.48636,-0.46355,-0.43716,-0.40675,-0.36785,-0.33341,-0.29093,-0.2386,-0.17465,-0.09952,-0.042724,0.04806,0.13124,0.25065,0.36424,0.49438,0.63927,0.8034,0.98854,1.1956,1.4188,1.6728,1.9201,2.1687,2.4442,2.6589,2.8923,3.0256,3.081,3.145,3.1284,2.9518,2.7953,2.5922,2.4925,2.2886,2.0645,1.8132,1.552,1.3181,1.0856,0.78327,0.58069,0.39152,0.16612,-0.061507,-0.231,-0.39736,-0.53242,-0.6876,-0.83116,-0.92731,-1.0275,-1.1183,-1.2287,-1.3052,-1.3839,-1.4474,-1.5158,-1.5655,-1.6115,-1.6567,-1.6943,-1.7287,-1.7667,-1.7922,-1.8177,-1.8392,-1.858,-1.879,-1.8955,1
1.7161,1.5791,1.4556,1.3401,1.2323,1.129,1.0302,0.93495,0.84108,0.75259,0.66949,0.59178,0.51991,0.45299,0.391,0.33261,0.27915,0.23244,0.19246,0.15698,0.12419,0.093642,0.065793,0.046928,0.0348,0.023121,0.007849,-0.004279,-0.006974,0.003807,0.031656,0.083311,0.16731,0.29622,0.49161,0.80604,1.2974,1.8823,2.0965,1.5984,0.89992,0.41705,0.1691,0.068488,0.055911,0.10891,0.21178,0.33755,0.42693,0.39145,0.22256,0.022223,-0.12915,-0.22258,-0.27468,-0.30343,-0.3214,-0.33757,-0.35599,-0.3744,-0.39417,-0.41887,-0.44717,-0.47367,-0.49433,-0.50736,-0.51634,-0.52622,-0.5397,-0.55452,-0.5653,-0.57114,-0.57429,-0.57698,-0.57923,-0.57968,-0.57833,-0.57474,-0.568,-0.55991,-0.55318,-0.54689,-0.5406,-0.53431,-0.52847,-0.52218,-0.51544,-0.50961,-0.50466,-0.50017,-0.49658,-0.49074,-0.48176,-0.46918,-0.45121,-0.42785,-0.40225,-0.38294,-0.38249,-0.39776,-0.41528,-0.42651,-0.431,-0.43055,-0.42606,-0.41797,-0.40629,-0.39462,-0.38473,-0.37575,-0.36856,-0.36317,-0.36272,-0.36946,-0.38428,-0.4036,-0.42022,-0.43504,-0.44582,-0.44897,-0.44672,-0.43774,-0.41348,-0.36407,-0.30837,-0.27199,-0.25312,-0.25941,-0.27379,-0.28097,-0.27558,-0.26211,-0.24818,-0.2374,-0.23336,-0.24414,-0.26076,-0.28277,-0.31331,-0.34251,-0.37036,-0.37395,-0.35149,-0.30972,-0.29085,-0.3506,-0.41663,-0.47142,-0.50377,-0.52218,-0.52892,-0.52398,-0.52533,-0.5397,-0.55767,-0.56575,-0.5671,-0.55677,-0.54599,-0.53521,-0.51634,-0.49838,-0.48131,-0.46154,-0.43684,-0.40495,-0.36946,-0.33263,-0.30029,-0.25851,-0.20731,-0.14308,-0.06941,-0.011915,0.07837,0.16371,0.2823,0.39549,0.52485,0.66994,0.83434,1.0185,1.2238,1.4452,1.6941,1.9371,2.1832,2.4518,2.6625,2.8853,3.0147,3.0775,3.1422,3.1193,2.9585,2.8094,2.6171,2.5098,2.3018,2.0786,1.8338,1.5809,1.3415,1.1088,0.81592,0.6084,0.41301,0.18842,-0.037069,-0.20955,-0.37755,-0.51769,-0.67221,-0.8155,-0.91521,-1.0176,-1.1106,-1.2193,-1.2975,-1.3783,-1.4443,-1.5144,-1.567,-1.6141,-1.66,-1.6986,-1.7336,-1.7713,-1.7979,-1.8239,-1.8464,-1.8657,-1.8859,-1.903,1
