,wait,cx_prob,mut_prob,pop_size,acc
0,50,0.5,0.25,10,0.967930029154519
1,5,0.5,0.25,50,0.966958211856171
2,25,0.5,0.1,50,0.966958211856171
3,50,0.9,0.9,50,0.9640427599611273
4,5,0.1,0.25,250,0.9689018464528668
5,50,0.1,0.9,10,0.9650145772594753
6,5,0.25,0.9,250,0.9591836734693877
7,50,0.25,0.25,50,0.9572400388726919
8,25,0.9,0.9,100,0.9504373177842566
9,10,0.5,0.9,100,0.9659863945578231
10,10,0.5,0.9,250,0.9640427599611273
11,50,0.25,0.1,100,0.9620991253644315
12,5,0.9,0.25,50,0.9407191448007775
13,25,0.1,0.5,100,0.9465500485908649
14,25,0.5,0.9,50,0.967930029154519
15,50,0.9,0.5,100,0.9436345966958212
16,25,0.9,0.25,10,0.9552964042759962
17,25,0.5,0.5,250,0.9514091350826045
18,10,0.25,0.1,10,0.9339164237123421
19,10,0.5,0.9,250,0.9319727891156463
20,5,0.25,0.9,250,0.9533527696793003
21,50,0.9,0.1,100,0.9057337220602527
22,50,0.5,0.1,50,0.956268221574344
23,25,0.1,0.5,10,0.9465500485908649
24,5,0.25,0.5,100,0.9475218658892128
25,50,0.5,0.25,250,0.9591836734693877
26,50,0.5,0.25,100,0.9650145772594753
27,25,0.9,0.1,10,0.9407191448007775
28,10,0.9,0.1,10,0.8833819241982507
29,50,0.5,0.5,50,0.9407191448007775
30,50,0.25,0.1,250,0.9591836734693877
31,50,0.5,0.25,10,0.9620991253644315
32,25,0.5,0.5,100,0.9689018464528668
33,5,0.5,0.1,250,0.9591836734693877
34,50,0.9,0.1,250,0.9640427599611273
35,25,0.1,0.1,10,0.9601554907677357
36,25,0.1,0.1,50,0.9601554907677357
37,25,0.9,0.5,50,0.9523809523809523
38,10,0.1,0.25,250,0.9611273080660836
39,50,0.9,0.5,100,0.9601554907677357
40,50,0.5,0.5,10,0.9387755102040817
41,50,0.25,0.25,100,0.9582118561710399
42,25,0.5,0.25,250,0.967930029154519
43,5,0.5,0.5,50,0.9620991253644315
44,10,0.1,0.5,50,0.9640427599611273
45,5,0.25,0.9,10,0.9339164237123421
46,25,0.5,0.5,10,0.9650145772594753
47,25,0.25,0.25,250,0.9484936831875608
48,25,0.9,0.9,10,0.9504373177842566
49,25,0.1,0.9,250,0.9620991253644315
