,wait,cx_prob,mut_prob,pop_size,acc
0,50,0.25,0.25,250,0.9001663893510815
1,50,0.5,0.5,50,0.8818635607321131
2,50,0.25,0.25,100,0.8386023294509152
3,25,0.1,0.25,100,0.8186356073211315
4,5,0.25,0.9,250,0.7637271214642263
5,50,0.5,0.1,10,0.9317803660565723
6,25,0.1,0.5,100,0.8086522462562395
7,50,0.9,0.25,100,0.7537437603993344
8,25,0.9,0.1,10,0.8602329450915142
9,10,0.5,0.5,10,0.8402662229617305
10,10,0.9,0.1,250,0.7587354409317804
11,25,0.1,0.9,10,0.7820299500831946
12,5,0.25,0.9,10,0.8618968386023295
13,10,0.9,0.9,10,0.826955074875208
14,10,0.9,0.25,100,0.7454242928452579
