,K,L,R,_lambda,n_iterations,acc
0,0.3,0.175,2,1.0,10000,0.8336106489184693
1,0.3,0.175,1,1.0,5000,0.7870216306156406
2,0.3,0.125,3,1.0,2000,0.908485856905158
3,0.3,0.175,2,1.0,10000,0.9118136439267887
4,0.05,0.175,1,1.0,2000,0.6755407653910149
5,0.05,0.075,1,0.1,5000,0.562396006655574
6,0.3,0.075,2,0.1,5000,0.8951747088186356
7,0.15,0.175,2,0.1,5000,0.9001663893510815
8,0.3,0.175,3,0.1,5000,0.8552412645590682
9,0.15,0.175,2,0.1,2000,0.7770382695507487
10,0.05,0.125,1,0.1,5000,0.7420965058236273
11,0.3,0.175,1,1.0,5000,0.8985024958402662
12,0.3,0.2,1,0.01,2000,0.8469217970049917
13,0.3,0.175,3,1.0,10000,0.8569051580698835
14,0.15,0.125,2,0.01,5000,0.8951747088186356
