accY_0,accY_1,accY_2,accY_3,accY_4,accY_5,accY_6,accY_7,accY_8,accY_9,accY_10,accY_11,accY_12,accY_13,accY_14,accY_15,accY_16,accY_17,accY_18,accY_19,accY_20,accY_21,accY_22,accY_23,accY_24,accY_25,accY_26,accY_27,accY_28,accY_29,accY_30,accY_31,accY_32,accY_33,accY_34,accY_35,accY_36,accY_37,accY_38,accY_39,accY_40,accY_41,accY_42,accY_43,accY_44,accY_45,accY_46,accY_47,accY_48,accY_49,accY_50,accY_51,accY_52,accY_53,accY_54,accY_55,accY_56,accY_57,accY_58,accY_59,accY_60,accY_61,accY_62,accY_63,accY_64,accY_65,accY_66,accY_67,accY_68,accY_69,accY_70,accY_71,accY_72,accY_73,accY_74,accY_75,accY_76,accY_77,accY_78,accY_79,accY_80,accY_81,accY_82,accY_83,accY_84,accY_85,accY_86,accY_87,accY_88,accY_89,accY_90,accY_91,accY_92,accY_93,accY_94,accY_95,accY_96,accY_97,accY_98,accY_99,accY_100,accY_101,accY_102,accY_103,accY_104,accY_105,accY_106,accY_107,accY_108,accY_109,accY_110,accY_111,accY_112,accY_113,accY_114,accY_115,accY_116,accY_117,accY_118,accY_119,accY_120,accY_121,accY_122,accY_123,accY_124,accY_125,accY_126,accY_127,accY_128,accY_129,accY_130,accY_131,accY_132,accY_133,accY_134,accY_135,accY_136,accY_137,accY_138,accY_139,accY_140,accY_141,accY_142,accY_143,accY_144,accY_145,accY_146,accY_147,accY_148,accY_149,accY_150,accY_151,accY_152,accY_153,accY_154,accY_155,accY_156,accY_157,accY_158,accY_159,accY_160,accY_161,accY_162,accY_163,accY_164,accY_165,accY_166,accY_167,accY_168,accY_169,accY_170,accY_171,accY_172,accY_173,accY_174,accY_175,accY_176,accY_177,accY_178,accY_179,accY_180,accY_181,accY_182,accY_183,accY_184,accY_185,accY_186,accY_187,accY_188,accY_189,accY_190,accY_191,accY_192,accY_193,accY_194,accY_195,accY_196,accY_197,accY_198,accY_199,accY_200,accY_201,accY_202,accY_203,accY_204,accY_205,accY_206,accY_207,activity
0.260769,0.000769,0.160769,-0.029231,0.120769,0.350769,0.070769,-0.159231,-0.219231,0.020769,0.260769,0.080769,0.090769,-0.089231,-0.019231,0.210769,0.170769,-0.079231,-0.029231,-0.089231,0.110769,0.250769,0.030769,0.020769,-0.079231,-0.029231,0.250769,0.160769,0.040769,-0.169231,0.080769,0.300769,0.180769,0.020769,-0.009231,0.230769,0.100769,-0.039231,0.180769,0.030769,0.270769,0.330769,0.210769,0.070769,-0.109231,0.030769,0.320769,0.160769,0.010769,-0.309231,-0.009231,0.430769,0.070769,0.170769,0.040769,0.120769,0.260769,0.150769,-0.039231,-0.099231,-0.039231,0.150769,0.220769,-0.009231,0.090769,0.090769,0.140769,0.220769,0.150769,-0.089231,-0.119231,-0.059231,0.020769,0.260769,0.140769,-0.329231,-0.409231,-0.179231,0.330769,-0.019231,-0.199231,-0.129231,0.030769,0.080769,0.090769,-0.039231,-0.329231,-0.239231,0.090769,0.110769,0.050769,-0.279231,-0.409231,0.280769,0.020769,0.080769,-0.159231,-0.059231,0.100769,0.110769,-0.209231,-0.219231,-0.049231,0.200769,0.000769,-0.079231,-0.119231,0.130769,0.050769,0.010769,-0.399231,-0.299231,0.020769,0.190769,0.120769,-0.189231,-0.489231,-0.079231,0.180769,0.050769,-0.179231,-0.279231,-0.079231,0.280769,0.100769,-0.269231,-0.329231,-0.059231,0.190769,0.070769,-0.159231,-0.219231,-0.059231,0.120769,0.100769,-0.149231,-0.339231,-0.079231,-0.029231,0.210769,-0.029231,-0.069231,-0.269231,0.200769,0.160769,0.110769,0.000769,-0.049231,0.190769,0.160769,-0.139231,-0.309231,-0.169231,0.040769,0.110769,-0.049231,-0.179231,-0.039231,0.310769,-0.049231,-0.109231,-0.119231,-0.079231,0.260769,-0.029231,-0.599231,-0.569231,-0.299231,-0.139231,0.230769,-0.279231,-0.059231,-0.179231,-0.079231,0.030769,-0.119231,-0.119231,-0.089231,0.030769,0.170769,0.080769,-0.339231,-0.319231,-0.059231,0.220769,0.100769,0.250769,-0.089231,0.210769,0.090769,-0.029231,0.040769,0.040769,0.470769,-0.029231,0.060769,-0.299231,-0.239231,-0.159231,0.310769,-0.009231,-0.169231,-0.189231,-0.059231,0.270769,-0.109231,0.090769,-0.209231,EPILEPSY
0.068798,0.148798,-0.231202,0.038798,0.068798,0.138798,-0.201202,-0.311202,-0.121202,-0.061202,0.018798,-0.221202,-0.131202,-0.121202,0.098798,-0.011202,-0.221202,-0.181202,-0.051202,0.118798,-0.061202,-0.231202,-0.171202,0.068798,0.218798,-0.201202,-0.301202,-0.081202,-0.001202,-0.161202,-0.341202,-0.151202,0.048798,0.048798,-0.221202,-0.171202,-0.131202,0.098798,-0.001202,-0.211202,-0.131202,-0.041202,0.098798,-0.071202,-0.271202,-0.111202,-0.061202,0.048798,-0.181202,-0.091202,-0.101202,0.088798,-0.051202,-0.171202,-0.301202,-0.051202,0.088798,0.418798,-0.021202,-0.051202,0.068798,0.118798,0.118798,-0.271202,-0.061202,0.058798,0.218798,-0.081202,-0.421202,-0.031202,0.118798,0.358798,-0.101202,-0.221202,0.028798,0.178798,0.318798,-0.131202,-0.171202,-0.091202,-0.071202,0.138798,0.308798,-0.161202,-0.311202,-0.161202,0.008798,0.178798,-0.181202,-0.051202,-0.001202,0.108798,0.028798,-0.191202,0.188798,0.098798,0.438798,-0.051202,-0.031202,0.078798,0.238798,0.528798,-0.001202,-0.101202,0.088798,0.098798,-0.051202,-0.271202,0.158798,0.118798,0.378798,-0.061202,-0.071202,0.078798,0.218798,0.348798,-0.031202,-0.031202,0.018798,0.248798,0.458798,-0.021202,-0.221202,-0.011202,0.148798,0.038798,-0.201202,-0.051202,-0.101202,0.088798,-0.121202,-0.261202,-0.081202,0.058798,0.308798,-0.051202,-0.151202,0.098798,0.058798,0.218798,-0.121202,-0.291202,0.128798,0.188798,0.518798,-0.041202,-0.251202,0.038798,0.118798,0.408798,-0.081202,-0.311202,0.018798,0.178798,0.528798,-0.061202,-0.371202,0.018798,0.088798,0.618798,0.098798,-0.051202,0.068798,0.048798,0.328798,-0.081202,-0.221202,-0.051202,-0.101202,0.008798,-0.071202,-0.111202,0.048798,0.068798,-0.171202,-0.191202,-0.051202,0.128798,0.268798,0.028798,-0.321202,0.038798,0.118798,0.458798,-0.121202,-0.201202,0.018798,0.178798,-0.071202,-0.161202,0.188798,0.018798,0.168798,-0.191202,-0.181202,-0.061202,0.308798,0.268798,-0.031202,-0.121202,0.088798,0.238798,0.118798,-0.151202,-0.371202,0.018798,-0.021202,0.048798,EPILEPSY
-0.22976,-0.18976,0.43024,0.01024,-0.07976,-0.07976,-0.00976,0.38024,0.03024,0.07024,0.06024,0.16024,0.28024,-0.05976,0.01024,0.11024,0.00024,0.06024,-0.10976,-0.05976,-0.05976,0.01024,-0.07976,-0.11976,0.14024,-0.00976,0.11024,-0.12976,-0.03976,0.11024,0.32024,0.45024,-0.07976,-0.03976,0.15024,0.13024,0.14024,-0.15976,-0.24976,0.06024,-0.00976,-0.02976,-0.13976,-0.06976,0.00024,0.07024,-0.08976,-0.02976,0.23024,0.25024,0.25024,-0.13976,0.09024,0.16024,0.02024,0.08024,-0.19976,-0.12976,0.06024,-0.29976,-0.18976,-0.05976,0.23024,-0.02976,0.11024,-0.17976,-0.14976,0.17024,0.28024,0.56024,-0.00976,0.01024,0.27024,0.23024,0.50024,-0.12976,0.12024,0.20024,-0.24976,-0.05976,-0.15976,0.01024,-0.01976,-0.15976,-0.22976,-0.18976,-0.04976,-0.00976,0.21024,-0.13976,-0.10976,-0.00976,-0.18976,-0.10976,-0.23976,-0.14976,-0.16976,-0.39976,-0.20976,-0.15976,-0.01976,-0.15976,-0.09976,-0.32976,0.06024,-0.20976,0.12024,-0.05976,0.04024,0.08024,-0.17976,0.00024,-0.05976,0.01024,0.05024,-0.03976,-0.07976,0.04024,0.18024,-0.05976,0.11024,-0.01976,0.06024,0.18024,0.10024,0.21024,0.13024,0.21024,0.23024,0.19024,0.11024,0.04024,0.27024,0.28024,0.30024,-0.15976,0.20024,0.09024,0.28024,-0.20976,-0.04976,0.05024,0.29024,0.23024,0.01024,-0.47976,-0.06976,-0.07976,0.14024,-0.09976,-0.21976,-0.03976,-0.02976,0.11024,-0.09976,0.09024,-0.06976,-0.02976,-0.14976,-0.13976,0.08024,0.20024,0.12024,-0.25976,-0.15976,0.07024,-0.07976,0.11024,-0.23976,-0.09976,-0.01976,-0.03976,-0.09976,-0.13976,0.13024,0.05024,0.12024,-0.17976,-0.02976,0.04024,0.11024,0.28024,-0.32976,-0.03976,-0.18976,-0.03976,0.18024,-0.15976,0.08024,0.10024,-0.12976,-0.35976,-0.04976,0.13024,-0.09976,-0.22976,-0.22976,0.09024,0.17024,0.11024,-0.08976,-0.28976,-0.00976,0.16024,-0.21976,-0.03976,-0.32976,-0.05976,EPILEPSY
-0.134519,-0.114519,0.035481,-0.154519,-0.084519,-0.084519,-0.234519,-0.034519,-0.264519,-0.204519,-0.254519,0.035481,-0.184519,-0.134519,-0.204519,-0.034519,-0.204519,-0.074519,-0.234519,-0.234519,-0.054519,-0.074519,0.045481,-0.104519,-0.114519,-0.134519,-0.304519,-0.174519,-0.064519,0.105481,0.075481,-0.044519,-0.184519,0.175481,0.085481,0.045481,-0.114519,-0.004519,0.065481,-0.114519,0.145481,-0.214519,0.085481,-0.064519,-0.064519,-0.164519,0.175481,-0.044519,0.135481,-0.064519,0.135481,0.005481,-0.134519,-0.204519,-0.064519,0.155481,0.135481,0.255481,-0.164519,-0.094519,0.105481,-0.134519,-0.124519,-0.084519,0.115481,0.095481,0.175481,-0.164519,-0.154519,0.015481,-0.254519,-0.094519,-0.074519,0.135481,0.135481,-0.064519,-0.234519,-0.074519,0.065481,0.035481,-0.054519,-0.244519,-0.174519,0.035481,-0.064519,0.015481,-0.134519,0.065481,0.045481,-0.074519,-0.114519,-0.164519,0.165481,0.195481,0.545481,-0.224519,0.005481,-0.054519,-0.084519,-0.074519,-0.074519,0.225481,0.055481,0.145481,0.005481,0.235481,0.275481,0.065481,-0.064519,0.035481,0.265481,0.255481,0.305481,0.035481,0.185481,0.185481,0.095481,0.015481,0.005481,0.145481,0.105481,0.015481,-0.084519,-0.114519,0.155481,0.035481,0.275481,0.005481,0.075481,0.155481,0.155481,0.565481,-0.034519,0.165481,0.105481,0.205481,0.065481,-0.204519,-0.094519,-0.104519,0.185481,-0.104519,-0.214519,-0.034519,-0.114519,-0.074519,-0.054519,0.075481,0.085481,0.155481,0.155481,0.105481,0.125481,0.035481,-0.004519,-0.114519,-0.084519,0.155481,-0.064519,0.085481,-0.024519,0.065481,0.005481,-0.034519,0.165481,0.005481,0.135481,-0.074519,-0.134519,0.195481,-0.064519,0.225481,0.155481,-0.304519,-0.174519,-0.074519,0.275481,-0.114519,0.045481,-0.064519,0.405481,0.545481,0.035481,0.075481,0.025481,0.235481,0.105481,0.005481,-0.124519,-0.054519,-0.014519,-0.114519,-0.054519,-0.084519,0.045481,0.085481,0.005481,-0.174519,-0.134519,0.045481,-0.124519,-0.184519,-0.204519,-0.134519,-0.014519,0.085481,0.195481,-0.124519,EPILEPSY
-0.056827,-0.136827,-0.156827,-0.116827,-0.026827,0.233173,-0.056827,-0.056827,-0.076827,0.043173,0.263173,-0.156827,-0.096827,-0.146827,0.293173,-0.136827,-0.366827,-0.126827,0.023173,0.043173,-0.266827,-0.106827,0.033173,0.173173,-0.006827,-0.196827,-0.106827,-0.076827,0.173173,-0.146827,-0.346827,-0.146827,0.053173,-0.076827,-0.216827,-0.126827,-0.126827,0.273173,-0.136827,-0.346827,-0.126827,0.043173,0.043173,-0.106827,-0.076827,-0.006827,0.173173,0.253173,-0.186827,-0.086827,-0.126827,0.133173,-0.016827,0.083173,0.223173,0.413173,-0.076827,-0.146827,0.043173,0.173173,0.543173,-0.046827,-0.096827,-0.076827,0.073173,0.353173,-0.096827,-0.176827,-0.006827,0.213173,0.043173,-0.136827,0.103173,0.043173,0.523173,0.043173,-0.226827,0.143173,0.023173,0.373173,-0.016827,0.153173,0.203173,0.503173,0.123173,-0.026827,0.313173,0.073173,0.463173,-0.056827,-0.176827,-0.006827,0.193173,-0.146827,-0.136827,0.223173,-0.126827,0.333173,-0.016827,-0.096827,0.143173,0.203173,-0.066827,-0.076827,0.003173,0.023173,0.073173,-0.266827,-0.246827,-0.156827,-0.186827,-0.226827,-0.306827,-0.196827,-0.056827,0.353173,-0.126827,-0.226827,-0.196827,-0.146827,0.153173,-0.246827,-0.296827,-0.136827,-0.106827,-0.016827,-0.176827,-0.026827,-0.136827,0.193173,-0.176827,-0.266827,-0.066827,0.043173,-0.006827,-0.196827,-0.026827,0.013173,0.143173,-0.206827,0.053173,0.093173,0.243173,-0.176827,-0.276827,-0.076827,0.013173,-0.026827,-0.096827,-0.026827,-0.096827,0.243173,0.123173,-0.076827,-0.006827,-0.116827,0.233173,0.013173,0.083173,0.063173,-0.096827,-0.066827,-0.146827,-0.096827,-0.026827,-0.036827,0.073173,-0.156827,-0.136827,-0.046827,0.093173,0.213173,-0.156827,-0.046827,-0.006827,0.183173,0.083173,-0.226827,0.023173,0.073173,0.253173,-0.076827,-0.096827,0.093173,0.133173,0.273173,-0.016827,-0.066827,0.093173,0.303173,0.373173,-0.096827,-0.066827,-0.056827,0.163173,0.073173,-0.026827,0.103173,0.113173,0.343173,-0.076827,-0.226827,-0.056827,0.233173,0.243173,0.033173,0.143173,-0.016827,EPILEPSY
-0.132308,-0.302308,0.187692,-0.102308,-0.202308,-0.202308,-0.122308,0.057692,-0.162308,-0.322308,-0.322308,-0.312308,0.047692,-0.262308,-0.322308,-0.322308,-0.052308,-0.042308,-0.222308,-0.112308,-0.172308,0.347692,-0.152308,-0.222308,-0.142308,-0.172308,0.167692,-0.302308,0.127692,0.187692,0.427692,0.257692,-0.132308,-0.272308,-0.252308,0.337692,0.077692,-0.262308,-0.022308,0.007692,0.577692,-0.072308,-0.112308,-0.002308,0.047692,0.567692,-0.152308,-0.032308,0.017692,0.137692,0.157692,-0.342308,-0.132308,-0.122308,0.577692,-0.282308,-0.112308,-0.052308,0.407692,-0.182308,-0.152308,-0.032308,-0.132308,0.237692,-0.192308,-0.152308,0.047692,0.077692,-0.302308,-0.172308,-0.102308,0.017692,-0.122308,0.097692,0.087692,0.167692,0.087692,-0.152308,-0.132308,-0.172308,0.567692,-0.142308,0.067692,0.097692,0.167692,0.397692,-0.142308,-0.082308,-0.232308,0.267692,-0.042308,-0.202308,-0.052308,-0.082308,0.327692,-0.062308,-0.122308,0.027692,0.027692,0.937692,0.037692,-0.242308,-0.172308,-0.052308,0.337692,-0.032308,-0.052308,-0.002308,0.007692,0.447692,0.047692,-0.032308,-0.132308,-0.042308,0.367692,0.017692,-0.062308,0.037692,0.047692,0.307692,-0.002308,-0.212308,-0.062308,0.107692,0.667692,0.067692,-0.122308,-0.032308,-0.072308,0.377692,-0.032308,-0.102308,-0.102308,0.047692,0.287692,-0.122308,-0.162308,-0.212308,-0.022308,0.357692,-0.202308,-0.192308,0.007692,0.387692,0.017692,-0.152308,-0.062308,-0.002308,0.307692,0.007692,-0.102308,-0.132308,0.057692,0.067692,-0.002308,-0.132308,-0.032308,-0.012308,0.067692,0.017692,-0.032308,-0.082308,0.147692,0.047692,-0.092308,-0.022308,-0.182308,0.237692,-0.082308,-0.052308,-0.092308,0.217692,0.017692,-0.032308,-0.102308,-0.102308,0.307692,0.027692,-0.042308,0.007692,-0.032308,0.387692,-0.062308,-0.032308,0.007692,0.307692,0.067692,-0.102308,-0.032308,0.167692,0.177692,0.047692,-0.052308,-0.102308,0.227692,0.207692,-0.232308,-0.032308,-0.022308,-0.132308,-0.042308,-0.192308,0.217692,-0.042308,-0.122308,-0.082308,-0.172308,-0.052308,EPILEPSY
-0.160288,-0.080288,-0.050288,0.089712,-0.040288,-0.210288,-0.170288,-0.020288,0.109712,-0.120288,-0.080288,-0.030288,0.029712,0.049712,-0.120288,-0.090288,0.049712,0.089712,-0.010288,-0.190288,-0.090288,0.069712,0.069712,0.039712,-0.120288,-0.040288,0.049712,0.079712,-0.070288,-0.090288,0.089712,0.149712,0.159712,-0.120288,-0.070288,0.189712,0.119712,0.039712,-0.150288,-0.040288,-0.080288,0.139712,0.059712,-0.050288,-0.030288,0.219712,0.259712,-0.310288,-0.030288,0.119712,0.119712,-0.070288,-0.120288,-0.070288,0.039712,0.109712,0.009712,-0.160288,-0.090288,-0.030288,0.039712,0.099712,-0.260288,-0.170288,-0.090288,-0.090288,0.139712,-0.110288,-0.150288,0.159712,0.019712,0.019712,-0.170288,-0.100288,-0.100288,-0.020288,0.219712,-0.060288,-0.090288,0.079712,0.109712,0.029712,-0.190288,-0.170288,-0.350288,-0.370288,0.029712,0.089712,-0.160288,-0.090288,0.069712,0.179712,0.089712,-0.070288,-0.060288,-0.010288,0.129712,0.139712,-0.070288,-0.110288,0.169712,-0.100288,-0.190288,-0.150288,-0.120288,-0.000288,-0.120288,0.179712,-0.110288,-0.010288,0.329712,0.149712,0.199712,0.009712,-0.090288,-0.140288,-0.000288,0.299712,0.099712,0.079712,-0.000288,0.199712,0.079712,0.179712,-0.070288,-0.080288,0.139712,0.029712,0.219712,0.049712,-0.030288,0.199712,-0.020288,0.159712,0.109712,0.029712,-0.060288,0.079712,0.299712,0.219712,0.039712,-0.120288,0.119712,0.139712,0.099712,0.049712,0.019712,0.079712,-0.000288,0.209712,0.059712,0.009712,-0.030288,0.009712,-0.000288,0.039712,-0.040288,-0.050288,0.049712,-0.180288,0.029712,-0.040288,-0.030288,0.109712,-0.030288,0.159712,-0.070288,-0.050288,0.059712,-0.070288,0.119712,0.209712,0.049712,0.019712,0.039712,0.129712,0.079712,0.069712,-0.320288,-0.100288,0.019712,-0.130288,-0.050288,-0.020288,0.079712,0.149712,0.179712,-0.030288,-0.030288,0.059712,0.059712,-0.030288,-0.130288,-0.050288,-0.020288,-0.010288,-0.240288,-0.080288,-0.100288,-0.030288,0.009712,-0.140288,-0.070288,-0.130288,-0.050288,-0.000288,-0.080288,-0.140288,EPILEPSY
-0.020096,-0.040096,-0.190096,-0.340096,0.149904,-0.010096,0.009904,0.019904,-0.050096,0.119904,0.099904,0.049904,-0.070096,0.129904,0.199904,0.109904,-0.040096,-0.140096,-0.210096,-0.040096,0.079904,-0.080096,0.009904,-0.080096,-0.170096,0.069904,0.229904,0.079904,0.149904,-0.100096,-0.080096,0.189904,0.059904,-0.010096,-0.100096,-0.400096,-0.080096,-0.030096,-0.110096,0.079904,-0.150096,-0.110096,0.119904,-0.030096,0.049904,-0.120096,-0.130096,0.109904,0.159904,0.159904,-0.150096,-0.250096,0.159904,0.029904,-0.090096,-0.140096,-0.270096,0.039904,0.019904,0.059904,-0.060096,-0.010096,0.129904,0.119904,0.019904,0.069904,-0.110096,-0.230096,-0.010096,0.019904,-0.040096,-0.110096,-0.190096,0.079904,0.209904,0.059904,-0.000096,0.039904,0.009904,0.019904,0.049904,-0.090096,-0.090096,0.009904,0.089904,-0.040096,-0.060096,-0.150096,0.109904,0.199904,0.089904,-0.040096,-0.020096,0.159904,0.129904,0.089904,-0.110096,-0.220096,0.179904,0.169904,-0.020096,0.079904,-0.020096,-0.010096,0.269904,0.339904,0.119904,-0.000096,0.059904,0.219904,0.209904,0.029904,-0.010096,-0.080096,0.079904,-0.080096,-0.180096,-0.340096,-0.070096,-0.110096,-0.000096,-0.070096,-0.070096,-0.170096,-0.150096,0.029904,-0.010096,-0.070096,-0.210096,-0.250096,-0.000096,-0.150096,-0.250096,-0.340096,-0.160096,-0.180096,-0.020096,-0.060096,-0.010096,-0.020096,-0.030096,0.079904,0.029904,0.069904,0.019904,-0.070096,-0.160096,-0.030096,0.169904,0.039904,0.039904,-0.000096,0.029904,0.199904,0.159904,0.049904,-0.010096,-0.080096,-0.070096,0.139904,0.129904,0.019904,-0.050096,-0.040096,0.119904,0.019904,0.179904,0.059904,0.179904,0.129904,0.229904,-0.000096,-0.010096,0.179904,0.209904,0.039904,0.029904,0.019904,-0.170096,0.149904,-0.020096,-0.010096,0.079904,-0.070096,-0.020096,0.179904,0.169904,0.059904,-0.000096,-0.030096,0.069904,0.169904,0.049904,0.069904,-0.030096,-0.200096,-0.100096,0.159904,0.029904,-0.020096,-0.080096,-0.110096,-0.250096,0.179904,0.009904,0.039904,-0.030096,-0.020096,EPILEPSY
-0.005481,-0.295481,-0.465481,0.064519,0.274519,0.064519,0.074519,-0.015481,-0.035481,0.084519,0.004519,-0.075481,0.044519,0.114519,0.034519,0.134519,0.124519,0.244519,0.104519,0.034519,0.074519,0.124519,0.114519,0.034519,-0.015481,0.044519,0.114519,0.014519,-0.095481,-0.005481,0.054519,0.174519,0.064519,0.064519,0.034519,0.104519,0.044519,-0.035481,-0.135481,-0.105481,0.214519,0.034519,0.074519,0.034519,0.064519,0.124519,0.124519,-0.095481,0.004519,0.104519,0.134519,0.084519,-0.075481,-0.075481,0.064519,0.064519,-0.135481,-0.135481,-0.145481,0.074519,-0.065481,-0.225481,-0.085481,-0.075481,0.094519,0.014519,-0.525481,-0.335481,-0.075481,0.044519,-0.045481,-0.085481,-0.125481,0.004519,0.114519,0.004519,-0.055481,-0.055481,-0.045481,0.174519,-0.095481,-0.405481,-0.285481,-0.165481,0.054519,0.034519,-0.275481,-0.145481,0.044519,0.144519,0.054519,-0.085481,-0.155481,-0.065481,0.094519,-0.005481,-0.535481,-0.425481,-0.135481,0.154519,0.024519,-0.165481,-0.095481,0.034519,0.124519,0.034519,-0.085481,0.014519,0.094519,0.154519,-0.045481,-0.005481,-0.105481,0.124519,0.284519,0.094519,0.154519,0.004519,0.134519,0.074519,0.064519,-0.075481,-0.005481,0.064519,0.144519,-0.095481,-0.035481,-0.195481,-0.025481,0.194519,0.074519,0.024519,0.134519,0.214519,0.124519,-0.215481,-0.335481,-0.155481,0.154519,0.004519,-0.465481,-0.535481,-0.195481,0.064519,-0.035481,-0.085481,-0.195481,-0.115481,-0.035481,-0.035481,-0.445481,-0.255481,0.034519,0.094519,-0.075481,-0.115481,0.074519,0.154519,0.134519,0.024519,-0.205481,0.064519,0.144519,0.184519,0.134519,0.074519,0.124519,0.244519,0.184519,0.054519,-0.045481,0.114519,0.224519,0.084519,0.054519,-0.085481,0.204519,0.204519,0.194519,0.064519,0.134519,0.334519,0.174519,-0.015481,-0.255481,-0.045481,0.184519,0.064519,-0.025481,-0.175481,0.094519,0.234519,0.024519,0.164519,-0.025481,0.154519,0.184519,0.104519,-0.205481,-0.155481,-0.065481,0.104519,0.074519,-0.215481,-0.205481,0.064519,0.194519,0.004519,EPILEPSY
-0.252933,-0.122933,0.087067,-0.022933,-0.012933,-0.282933,-0.222933,0.137067,0.087067,0.127067,-0.312933,-0.182933,0.037067,0.137067,-0.022933,-0.272933,-0.002933,0.007067,0.217067,-0.282933,-0.002933,0.037067,0.187067,-0.162933,-0.122933,0.067067,0.117067,-0.082933,-0.292933,0.117067,-0.062933,0.237067,-0.042933,-0.142933,0.167067,0.117067,0.207067,-0.132933,-0.102933,-0.072933,0.057067,0.137067,-0.182933,-0.022933,-0.012933,0.167067,-0.182933,-0.132933,0.037067,0.087067,-0.062933,-0.132933,0.117067,0.097067,0.057067,-0.092933,-0.092933,0.037067,0.017067,0.127067,-0.242933,-0.272933,0.057067,-0.102933,0.227067,-0.142933,-0.122933,0.097067,0.127067,-0.042933,-0.142933,0.197067,-0.062933,0.187067,-0.192933,-0.102933,0.217067,-0.052933,0.097067,0.137067,-0.132933,0.177067,0.037067,0.067067,-0.082933,-0.092933,0.177067,-0.012933,0.207067,-0.102933,-0.042933,0.057067,0.097067,-0.022933,-0.062933,0.117067,-0.002933,0.177067,-0.062933,0.057067,0.017067,0.127067,0.007067,-0.002933,0.097067,0.067067,0.137067,-0.002933,0.047067,0.087067,0.097067,0.077067,0.017067,-0.032933,-0.092933,0.017067,0.197067,0.037067,0.027067,0.067067,0.137067,-0.052933,-0.002933,-0.082933,0.047067,0.117067,0.037067,0.107067,0.187067,0.027067,0.077067,0.107067,0.077067,0.097067,0.037067,0.167067,0.137067,0.137067,-0.022933,-0.042933,-0.062933,0.007067,0.097067,-0.042933,-0.212933,0.017067,-0.002933,0.037067,-0.042933,-0.162933,0.157067,0.027067,0.087067,-0.112933,0.037067,0.017067,0.097067,-0.022933,-0.182933,-0.182933,-0.162933,0.127067,0.137067,-0.022933,0.097067,-0.042933,-0.012933,-0.032933,-0.052933,-0.062933,-0.022933,0.087067,0.117067,-0.052933,-0.262933,0.097067,-0.142933,0.047067,0.157067,-0.042933,-0.132933,-0.012933,-0.032933,0.027067,0.037067,-0.072933,-0.042933,-0.122933,0.007067,0.227067,-0.082933,-0.232933,-0.202933,-0.272933,-0.112933,-0.012933,0.077067,-0.212933,0.227067,0.067067,0.187067,-0.052933,-0.082933,-0.082933,-0.042933,0.067067,-0.012933,-0.192933,EPILEPSY
