att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,target
-0.5379,-0.47114,-0.32419,-0.078717,0.15683,0.40488,0.58411,0.81764,1.061,1.1994,1.2722,1.296,1.3122,1.2218,1.1611,0.99921,0.72015,0.40752,0.18978,-0.082497,-0.36527,-0.53253,-0.64123,-0.52639,-0.37,-0.15802,0.062722,0.33394,0.6129,0.90274,1.1922,1.4443,1.5342,1.4261,1.4264,1.3034,1.2897,1.3187,1.4488,1.5062,1.5604,1.566,1.2951,1.0609,0.79934,0.49446,0.18777,-0.065117,-0.2553,-0.46156,-0.53847,-0.61088,-0.78531,-0.88126,-1.0541,-1.234,-1.4012,-1.5412,-1.5358,-1.384,-1.2232,-1.0534,-0.89867,-0.75313,-0.6243,-0.53133,-0.6455,-0.78736,-0.92774,-1.0602,-1.1888,-1.2552,-1.3578,-1.4039,-1.3378,-1.2256,-1.0659,-0.94205,-0.81121,-0.64105,2
-0.60924,-0.62105,-0.43135,-0.20293,0.047141,0.38424,0.60737,0.84045,1.0922,1.2912,1.3422,1.3759,1.4441,1.4696,1.3841,1.1699,0.83883,0.53443,0.23306,-0.041174,-0.24603,-0.41723,-0.59047,-0.66303,-0.56512,-0.35413,-0.077344,0.19105,0.45444,0.75153,1.0447,1.3351,1.503,1.4743,1.3712,1.3455,1.4039,1.3923,1.4425,1.4304,1.5721,1.5844,1.263,0.97978,0.67908,0.40416,0.11803,-0.13045,-0.37394,-0.54553,-0.64064,-0.70745,-0.87372,-0.99694,-1.0731,-1.2234,-1.2867,-1.3374,-1.2976,-1.2037,-1.1266,-1.0243,-0.8881,-0.69629,-0.55896,-0.52301,-0.62201,-0.74879,-0.87983,-1.033,-1.1306,-1.2405,-1.298,-1.3085,-1.2843,-1.222,-1.106,-0.97374,-0.89334,-0.72767,2
-0.69147,-0.60516,-0.41644,-0.14199,0.15451,0.41864,0.71222,1.0055,1.1352,1.2309,1.2853,1.3126,1.3584,1.3397,1.1139,0.8222,0.48747,0.13674,-0.15367,-0.36457,-0.55894,-0.71384,-0.75092,-0.63892,-0.47489,-0.21731,0.033062,0.31844,0.61423,0.93141,1.2418,1.566,1.7123,1.5712,1.5594,1.4473,1.2616,1.2508,1.2183,1.3928,1.5573,1.6122,1.3657,1.0746,0.73548,0.45883,0.14624,-0.12041,-0.38196,-0.57487,-0.4065,-0.47216,-0.59466,-0.70825,-0.88492,-1.0939,-1.266,-1.4373,-1.4507,-1.3462,-1.2448,-1.0633,-0.93278,-0.76294,-0.58677,-0.47489,-0.54018,-0.69533,-0.84575,-0.99471,-1.1678,-1.3241,-1.4132,-1.4164,-1.3042,-1.1803,-1.0534,-0.88429,-0.70781,-0.52353,2
-0.72137,-0.6702,-0.45435,-0.20406,0.047851,0.32844,0.63732,0.88353,1.082,1.19,1.2266,1.3314,1.4172,1.3675,1.2664,1.0365,0.73062,0.51991,0.20951,-0.1031,-0.37288,-0.61302,-0.71642,-0.61916,-0.43062,-0.1845,0.07289,0.36401,0.6332,0.89991,1.2355,1.496,1.4804,1.3547,1.3141,1.2585,1.2332,1.3271,1.5632,1.671,1.6912,1.5143,1.3274,0.98272,0.65669,0.38874,0.09824,-0.19381,-0.44476,-0.59985,-0.40944,-0.40608,-0.51916,-0.69692,-0.90832,-1.0611,-1.2395,-1.3558,-1.4203,-1.4234,-1.2642,-1.0727,-0.88754,-0.75615,-0.68393,-0.8128,-0.89112,-1.0258,-1.1294,-1.226,-1.2334,-1.2274,-1.2007,-1.2208,-1.1841,-1.1436,-0.99769,-0.89801,-0.6821,-0.53236,2
-0.82991,-0.8243,-0.64123,-0.41568,-0.10465,0.24141,0.56173,0.93157,1.2329,1.4534,1.4052,1.4008,1.4607,1.5167,1.5793,1.4911,1.265,1.0114,0.68982,0.37085,0.048608,-0.2667,-0.56069,-0.82498,-0.88937,-0.78306,-0.63233,-0.44101,-0.16101,0.12616,0.43203,0.7527,1.0731,1.4076,1.5138,1.4313,1.379,1.3558,1.3715,1.4302,1.5178,1.5917,1.3941,1.0302,0.70556,0.38359,0.022867,-0.28341,-0.53719,-0.76503,-0.35619,-0.39926,-0.54012,-0.69169,-0.90527,-1.1604,-1.3542,-1.4216,-1.3949,-1.2402,-1.0259,-0.87522,-0.67667,-0.52144,-0.38961,-0.43196,-0.52999,-0.69732,-0.78608,-1.0072,-1.1971,-1.3269,-1.3514,-1.3606,-1.26,-1.1372,-0.91573,-0.69654,-0.51953,-0.44861,3
-0.99022,-0.97609,-0.79197,-0.49044,-0.13194,0.22031,0.55827,0.91624,1.1816,1.3944,1.3886,1.421,1.4988,1.5846,1.4752,1.2786,0.98885,0.68204,0.37553,0.060884,-0.24411,-0.56,-0.83527,-0.97628,-0.93655,-0.70411,-0.44409,-0.15097,0.13739,0.47073,0.81169,1.1577,1.4202,1.6275,1.608,1.4576,1.418,1.3922,1.4133,1.5513,1.7212,1.5255,1.1821,0.85329,0.52786,0.20107,-0.10882,-0.40431,-0.66526,-0.8932,-0.26633,-0.29764,-0.46606,-0.66669,-0.91907,-1.0533,-1.2114,-1.3228,-1.313,-1.2472,-1.055,-0.84762,-0.71802,-0.51521,-0.39282,-0.42234,-0.45118,-0.58996,-0.77619,-0.99508,-1.1712,-1.2464,-1.3095,-1.2373,-1.2347,-1.0799,-0.88536,-0.65369,-0.47447,-0.37838,3
-0.7832,-0.71438,-0.63029,-0.3704,-0.093121,0.22428,0.47229,0.80218,1.0838,1.446,1.474,1.3957,1.4034,1.4925,1.5653,1.5572,1.3334,1.0156,0.75201,0.44787,0.089823,-0.19101,-0.49226,-0.72198,-0.75905,-0.73765,-0.54759,-0.33098,-0.078331,0.20983,0.49778,0.74377,1.0515,1.3783,1.4692,1.4026,1.3679,1.363,1.3984,1.3652,1.4518,1.5401,1.3601,1.0322,0.69889,0.39476,0.054116,-0.23555,-0.45914,-0.68782,-0.28885,-0.45896,-0.64883,-0.74367,-0.94884,-1.1887,-1.4016,-1.5439,-1.47,-1.294,-1.1057,-0.92859,-0.7503,-0.55802,-0.37955,-0.36941,-0.47993,-0.64035,-0.87965,-1.0865,-1.2811,-1.4032,-1.4256,-1.3768,-1.2771,-1.0999,-0.94124,-0.72029,-0.50632,-0.30509,3
-0.78735,-0.71419,-0.5872,-0.33467,-0.052861,0.2596,0.55118,0.83552,1.0966,1.384,1.4609,1.4119,1.4584,1.5677,1.6076,1.4252,1.2609,0.99658,0.70354,0.40166,0.10661,-0.20178,-0.49273,-0.67519,-0.75788,-0.69449,-0.50635,-0.25809,0.020304,0.24189,0.56681,0.83753,1.1486,1.3692,1.425,1.3797,1.4031,1.4122,1.4581,1.4086,1.4395,1.4664,1.2928,0.96944,0.6495,0.33442,0.027038,-0.26437,-0.50582,-0.68122,-0.32402,-0.37429,-0.51625,-0.68153,-0.9078,-1.0953,-1.3221,-1.5004,-1.5701,-1.3723,-1.1819,-0.99909,-0.8224,-0.62592,-0.46286,-0.39391,-0.51512,-0.71919,-0.94622,-1.1423,-1.2694,-1.3733,-1.375,-1.3195,-1.2527,-1.1072,-0.96205,-0.77157,-0.56901,-0.3914,3
-0.9132,-0.79998,-0.58259,-0.31931,-0.004566,0.34606,0.66493,0.97867,1.2461,1.4531,1.458,1.4812,1.569,1.5926,1.5025,1.3007,1.0498,0.73445,0.43798,0.12258,-0.18606,-0.49051,-0.7699,-0.89021,-0.84905,-0.70002,-0.48599,-0.22183,0.069012,0.39091,0.6656,0.95416,1.2438,1.5103,1.5707,1.3809,1.4301,1.5115,1.3693,1.329,1.4292,1.5337,1.249,0.93121,0.62551,0.29149,-0.024354,-0.33253,-0.60253,-0.82244,-0.35296,-0.1685,-0.20569,-0.34376,-0.50816,-0.67878,-0.90594,-1.0908,-1.2208,-1.4027,-1.4363,-1.3637,-1.1955,-1.0154,-0.83064,-0.67308,-0.50259,-0.52501,-0.66611,-0.79183,-0.98507,-1.1377,-1.3571,-1.4178,-1.3371,-1.1666,-1.0424,-0.83679,-0.71437,-0.55471,3
-0.40852,-0.44317,-0.28431,-0.097532,0.19483,0.35956,0.60301,0.91304,1.0897,1.149,1.1977,1.2041,1.214,1.1696,1.0547,0.80715,0.57835,0.32628,0.093417,-0.17207,-0.37705,-0.54562,-0.52234,-0.37856,-0.18475,-0.013172,0.2336,0.50323,0.78097,1.0294,1.3281,1.5001,1.5872,1.5726,1.3802,1.2686,1.1969,1.2103,1.2763,1.3648,1.5719,1.5343,1.3727,1.1785,0.87535,0.58871,0.31236,0.059202,-0.16991,-0.33132,-0.60721,-0.72048,-0.78617,-0.88986,-1.0368,-1.1947,-1.3295,-1.4244,-1.4021,-1.296,-1.2701,-1.1228,-0.97182,-0.81938,-0.70885,-0.75095,-0.82437,-0.93397,-1.0099,-1.1603,-1.2544,-1.3789,-1.3935,-1.409,-1.2981,-1.1715,-1.0662,-0.99459,-0.83995,-0.6853,1
