att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140,att141,att142,att143,target
2.4839,2.2763,2.0675,1.9219,1.7188,1.5084,1.3007,1.0903,0.88273,0.6723,0.46338,0.25452,0.045738,-0.15619,-0.20899,-0.39491,-0.59416,-0.79717,-0.9746,-1.1282,-1.2471,-1.3508,-1.4283,-1.4765,-1.4546,-1.3188,-1.12,-1.1041,-1.2081,-1.2945,-1.3932,-1.4104,-1.3337,-1.2435,-1.1146,-0.96654,-0.80249,-0.64442,-0.45725,-0.25953,-0.054255,0.14352,0.33845,0.50235,0.6306,0.80258,0.925,1.0186,0.94161,0.7864,0.63607,0.49115,0.33763,0.2048,0.079393,-0.039022,-0.1631,-0.26188,-0.36819,-0.4448,-0.51553,-0.57886,-0.60417,-0.44013,-0.2416,-0.044281,0.15795,0.3614,0.5659,0.77289,0.98021,1.1632,1.2201,1.2448,1.2577,1.1138,0.9495,0.74304,0.53938,0.3352,0.1324,-0.074559,-0.27856,-0.47649,-0.57309,-0.5212,-0.4557,-0.36156,-0.27103,-0.18635,-0.074928,0.060174,0.18753,0.31069,0.45322,0.59746,0.75049,0.8775,0.86053,0.72897,0.56517,0.41736,0.27296,0.061689,-0.12986,-0.31681,-0.49146,-0.67634,-0.82939,-0.96979,-1.1316,-1.2544,-1.3336,-1.4073,-1.3468,-1.2444,-1.1451,-1.0711,-1.2579,-1.4085,-1.4386,-1.3845,-1.3069,-1.2137,-1.0971,-0.96014,-0.77578,-0.5817,-0.38549,-0.20527,-0.11699,0.090279,0.29779,0.50551,0.71339,0.91586,1.1204,1.3263,1.5322,1.7399,1.9457,2.154,2.3612,2.4839,1
2.6033,2.3407,2.0823,1.8256,1.5677,1.3122,1.0572,0.80172,0.54668,0.29185,0.03662,-0.076146,-0.077345,-0.32716,-0.55385,-0.7774,-0.98744,-1.1772,-1.3417,-1.4878,-1.5914,-1.5398,-1.3617,-1.1602,-0.94446,-0.72419,-0.49297,-0.25654,-0.018474,0.22907,0.47585,0.72739,0.97985,1.2147,1.3531,1.4297,1.2298,0.97487,0.72411,0.47393,0.22447,-0.026501,-0.27701,-0.52359,-0.76843,-1.011,-1.2582,-1.4943,-1.724,-1.9442,-2.1025,-1.8903,-1.5739,-1.2428,-0.91161,-0.58046,-0.40182,-0.23661,0.080088,0.12946,0.2272,0.34162,0.51235,0.54215,0.6038,0.47066,0.30967,0.14081,-0.015294,-0.15569,-0.25551,-0.098247,0.14596,0.37102,0.17576,-0.081247,-0.33595,-0.24019,-0.077119,-0.2348,-0.31743,-0.18653,0.027555,0.32382,0.59512,0.48047,0.28888,0.45603,0.60415,0.59233,0.33892,0.059411,-0.24776,-0.55447,-0.86047,-1.1503,-1.3889,-1.5648,-1.652,-1.4013,-1.1598,-0.91515,-0.66831,-0.41983,-0.17011,0.076761,0.32629,0.57857,0.83132,1.0845,1.3239,1.242,1.1228,0.89564,0.63477,0.37819,0.12493,-0.12351,-0.36547,-0.59859,-0.82647,-1.0367,-1.1647,-1.1117,-1.0302,-0.92716,-0.79056,-0.63539,-0.46554,-0.27997,-0.064031,0.011087,-0.058284,0.17414,0.42727,0.67607,0.9213,1.1717,1.4189,1.6636,1.9158,2.1625,2.4053,2.6053,4
2.7573,2.5767,2.3633,2.1516,1.9402,1.7294,1.5194,1.3095,1.1003,0.89149,0.68316,0.48284,0.29863,0.13567,-0.044849,-0.23931,-0.43153,-0.62691,-0.81397,-0.99733,-1.1813,-1.3583,-1.466,-1.5089,-1.4969,-1.4782,-1.4122,-1.3239,-1.1919,-1.0447,-0.89704,-0.71332,-0.51602,-0.30552,-0.10626,0.04362,0.11029,0.17195,0.22452,0.22648,0.062473,-0.097632,-0.2533,-0.40134,-0.5407,-0.66707,-0.77871,-0.88096,-0.82291,-0.66911,-0.42732,-0.14668,0.11959,0.39612,0.5902,0.74991,0.81105,0.76422,0.71207,0.67935,0.65765,0.63866,0.6124,0.47354,0.27132,0.054452,-0.19502,-0.38212,-0.53878,-0.56113,-0.72374,-0.5351,-0.62842,-0.6516,-0.56321,-0.6309,-0.41541,-0.2424,-0.009837,0.19853,0.39903,0.59818,0.60695,0.62597,0.64696,0.67588,0.70707,0.74847,0.72461,0.54674,0.34373,0.086855,-0.18082,-0.42481,-0.54122,-0.68193,-0.79595,-0.67877,-0.56063,-0.42846,-0.29259,-0.14691,0.005385,0.14491,0.13407,0.056757,0.004181,-0.13317,-0.31691,-0.50506,-0.68332,-0.86974,-1.0242,-1.159,-1.2775,-1.3825,-1.4621,-1.5059,-1.5212,-1.5143,-1.4652,-1.3537,-1.184,-1.0089,-0.81948,-0.63688,-0.45117,-0.2712,-0.080204,0.083351,0.2337,0.39513,0.56128,0.75014,0.95427,1.1573,1.3633,1.5663,1.7699,1.9739,2.1783,2.3808,2.5849,2.7591,6
0.91606,0.72015,0.52244,0.32583,0.13438,-0.054012,-0.23552,-0.4096,-0.57445,-0.78235,-1.0053,-1.228,-1.4427,-1.6449,-1.8307,-1.9196,-1.8035,-1.5759,-1.3328,-1.1173,-0.89007,-0.66138,-0.42518,-0.18591,-0.10436,0.021735,0.091275,0.017601,0.18053,0.16136,0.10764,0.037772,-0.03497,-0.12762,-0.24167,-0.34359,-0.44914,-0.54789,-0.63057,-0.68493,-0.71866,-0.73532,-0.75235,-0.75871,-0.70581,-0.52526,-0.33631,-0.15102,0.040873,0.22369,0.44356,0.61824,0.80707,0.98734,1.1221,1.169,1.3611,1.5654,1.7643,1.9637,2.1557,2.3483,2.5341,2.6595,2.4548,2.2121,1.9707,1.7365,1.5091,1.2878,1.1433,1.1094,0.92075,0.70137,0.48775,0.27956,0.074659,-0.12876,-0.32826,-0.52414,-0.65558,-0.71193,-0.7293,-0.72464,-0.71277,-0.6813,-0.62749,-0.55814,-0.45177,-0.36019,-0.25139,-0.14599,-0.066734,-0.01229,0.024303,-0.11324,-0.051202,-0.079787,-0.079004,-0.22194,-0.27955,-0.42077,-0.6198,-0.8186,-1.0177,-1.2155,-1.4124,-1.6086,-1.8008,-1.8611,-1.7842,-1.6553,-1.5052,-1.3377,-1.1624,-0.97174,-0.76477,-0.56806,-0.40704,-0.22647,-0.054443,0.1341,0.3016,0.4939,0.71009,0.8134,0.7343,0.65673,0.57648,0.5227,0.55844,0.77279,0.7941,0.98774,1.1334,0.98435,0.76064,0.5415,0.51734,0.58284,0.65864,0.7579,0.8534,0.91622,5
2.6561,2.3881,2.1186,1.8497,1.5766,1.3102,1.1097,0.931,0.75067,0.53933,0.28011,0.20277,0.22509,0.19043,-0.063984,-0.33168,-0.60322,-0.84844,-1.0784,-1.2734,-1.4465,-1.5841,-1.6671,-1.7011,-1.6189,-1.4074,-1.2049,-1.2932,-1.3748,-1.4656,-1.397,-1.2216,-1.0158,-0.81735,-0.65344,-0.47411,-0.65089,-0.45514,-0.18481,0.08632,0.041223,0.22912,0.35626,0.48377,0.55916,0.68215,0.81803,0.94666,0.98248,0.76146,0.55583,0.34053,0.43692,0.6549,0.60401,0.40424,0.16636,-0.006733,-0.22974,-0.41917,-0.57362,-0.72355,-0.85572,-0.9696,-1.0566,-0.81912,-0.64609,-0.57067,-0.30551,-0.038956,0.14507,0.13265,0.29885,0.55353,0.84499,1.1245,1.3812,1.3279,1.05,0.7969,0.52849,0.25333,0.005408,-0.23834,-0.47699,-0.71849,-0.95632,-0.87929,-0.75036,-0.60299,-0.44526,-0.27794,-0.057522,0.15638,0.38883,0.55758,0.42468,0.3768,0.59789,0.83371,1.0412,0.89298,0.75637,0.63251,0.5005,0.41597,0.29536,0.085226,0.12257,-0.16477,-0.43479,-0.53804,-0.62052,-0.78825,-1.0386,-1.2276,-1.3668,-1.3839,-1.3008,-1.252,-1.5051,-1.5541,-1.5145,-1.4062,-1.2591,-1.0994,-0.83573,-0.57056,-0.30431,-0.045449,0.21845,0.18434,0.19044,0.40835,0.63666,0.7924,0.98607,1.1789,1.3927,1.6603,1.9292,2.1992,2.47,2.6555,2
2.7168,2.5209,2.3196,2.1164,1.9136,1.7112,1.5093,1.3046,1.1036,0.89958,0.69586,0.50345,0.337,0.17466,0.026848,-0.14056,-0.2968,-0.4842,-0.66905,-0.85085,-1.029,-1.2112,-1.3829,-1.5583,-1.6091,-1.6304,-1.6045,-1.5823,-1.4966,-1.4022,-1.2706,-1.1294,-0.99554,-0.80858,-0.62926,-0.44001,-0.24243,-0.056332,0.054337,0.098968,0.18923,0.22162,0.12436,-0.034593,-0.16796,-0.30405,-0.43233,-0.55185,-0.66161,-0.76053,-0.76044,-0.59386,-0.39795,-0.12484,0.13098,0.37361,0.55899,0.72298,0.75815,0.72298,0.68426,0.65529,0.63626,0.62731,0.58985,0.3834,0.17836,-0.049425,-0.26875,-0.45618,-0.54694,-0.44128,-0.62346,-0.5381,-0.48373,-0.59461,-0.43119,-0.57249,-0.3551,-0.17028,0.062896,0.28448,0.4896,0.62517,0.64041,0.65756,0.68614,0.7242,0.76122,0.76752,0.61122,0.43316,0.19026,-0.089009,-0.33976,-0.44372,-0.59805,-0.70015,-0.58512,-0.45677,-0.32194,-0.1811,-0.029766,0.13172,0.22918,0.17555,0.11303,0.14095,-0.003838,-0.18324,-0.4002,-0.60564,-0.80091,-0.97741,-1.1382,-1.2778,-1.3836,-1.4677,-1.5199,-1.5378,-1.4936,-1.4188,-1.245,-1.0743,-0.89368,-0.711,-0.53094,-0.34595,-0.15597,0.021653,0.18871,0.35917,0.52599,0.7298,0.93623,1.1432,1.3506,1.5586,1.7672,1.9762,2.1859,2.3968,2.6089,2.7148,6
2.6823,2.4972,2.2947,2.0925,1.8907,1.6896,1.4879,1.2872,1.0868,0.88623,0.6864,0.48931,0.30832,0.13833,-0.019478,-0.19189,-0.37964,-0.56288,-0.74903,-0.92223,-1.0991,-1.281,-1.4497,-1.5912,-1.6282,-1.6418,-1.6039,-1.5473,-1.4593,-1.3244,-1.1648,-1.0044,-0.82727,-0.62714,-0.41443,-0.20275,-0.021691,0.082824,0.15203,0.21992,0.2607,0.1456,-0.007035,-0.14978,-0.2785,-0.40866,-0.53162,-0.64026,-0.73782,-0.83343,-0.7352,-0.56482,-0.33882,-0.055566,0.17324,0.42995,0.60393,0.75797,0.7858,0.73322,0.69003,0.67043,0.65127,0.63804,0.58654,0.44096,0.24687,0.079708,-0.16811,-0.3517,-0.49724,-0.42376,-0.58203,-0.43806,-0.50697,-0.43858,-0.51019,-0.28775,-0.068827,0.177,0.37719,0.57767,0.61653,0.63662,0.64684,0.67699,0.71283,0.74114,0.73885,0.56613,0.39046,0.13934,-0.12032,-0.30398,-0.41246,-0.56363,-0.64343,-0.54576,-0.42481,-0.29522,-0.15792,-0.014856,0.12754,0.19081,0.13228,0.083664,-0.019605,-0.16886,-0.36791,-0.57422,-0.76879,-0.94506,-1.0977,-1.2328,-1.3572,-1.4565,-1.5199,-1.5543,-1.5712,-1.5461,-1.4559,-1.2912,-1.1211,-0.94681,-0.77801,-0.60511,-0.42086,-0.24827,-0.074508,0.071366,0.22794,0.38952,0.56683,0.76133,0.95905,1.1572,1.3558,1.5548,1.7522,1.9501,2.1499,2.3485,2.5464,2.6829,6
2.4838,2.2688,2.0626,1.8713,1.6611,1.4608,1.2592,1.0642,0.86689,0.66795,0.48614,0.28846,0.090741,-0.11064,-0.24286,-0.32211,-0.5152,-0.70645,-0.86272,-1.008,-1.1408,-1.2435,-1.314,-1.3623,-1.3158,-1.2046,-1.0599,-0.88602,-0.95361,-1.0523,-1.1325,-1.2056,-1.1947,-1.1487,-1.0905,-0.94753,-0.77999,-0.59695,-0.40027,-0.19169,0.023265,0.2284,0.37152,0.49745,0.66369,0.7771,0.78983,0.64513,0.49792,0.35685,0.2265,0.093266,-0.031832,-0.13976,-0.24873,-0.34338,-0.42545,-0.49478,-0.5503,-0.44531,-0.27033,-0.098547,0.077912,0.2624,0.45392,0.63965,0.80877,0.89297,0.90041,0.84657,0.99092,1.1705,1.3581,1.4585,1.5218,1.3478,1.1559,0.96263,0.7698,0.57737,0.38687,0.19548,0.004424,-0.18623,-0.37725,-0.56871,-0.61213,-0.5783,-0.51267,-0.4517,-0.37838,-0.29372,-0.18818,-0.078497,0.033854,0.15374,0.26596,0.30797,0.18576,0.047241,-0.069057,-0.25007,-0.4116,-0.56779,-0.70217,-0.84368,-0.9753,-1.0894,-1.2046,-1.2965,-1.37,-1.4228,-1.4349,-1.3376,-1.224,-1.1292,-1.114,-1.3102,-1.4375,-1.3746,-1.3067,-1.2198,-1.1219,-0.99994,-0.82164,-0.63183,-0.45912,-0.31305,-0.21744,-0.008958,0.1831,0.38,0.5633,0.74745,0.92603,1.1179,1.3039,1.4905,1.6775,1.8648,2.0534,2.2354,2.4171,2.4884,1
2.5467,2.2531,1.9659,1.6825,1.4057,1.1285,0.98867,0.83648,0.67847,0.55345,0.3001,0.16185,0.088628,0.10357,-0.005486,-0.27635,-0.54368,-0.74372,-0.53188,-0.50934,-0.68618,-0.93994,-1.108,-1.2922,-1.4212,-1.5042,-1.5532,-1.5217,-1.345,-1.1157,-1.0853,-1.1805,-1.257,-1.2569,-1.0852,-0.88976,-0.69548,-0.52551,-0.45585,-0.4328,-0.17706,0.070965,0.08793,0.26039,0.38312,0.4578,0.55642,0.68966,0.79805,0.82477,0.55242,0.33329,0.44637,0.38919,0.16894,-0.11332,-0.30696,-0.46506,-0.61741,-0.75036,-0.85563,-0.70542,-0.54713,-0.32518,-0.081515,0.14365,0.13622,0.35136,0.59781,0.86001,1.1177,1.3753,1.6383,1.8755,2.0276,1.8098,1.5466,1.2735,1.0168,0.75699,0.49038,0.23062,0.059689,-0.21702,-0.48151,-0.7431,-0.93066,-0.85192,-0.74916,-0.61346,-0.38401,-0.10881,0.16004,0.019606,-0.097687,0.083184,0.022216,0.15748,0.35642,0.52854,0.42792,0.30285,0.17892,0.134,-0.005681,-0.22633,-0.19487,-0.39659,-0.61399,-0.76287,-0.66334,-0.8185,-1.0153,-1.2091,-1.3461,-1.4407,-1.3574,-1.2641,-1.1967,-1.4461,-1.5727,-1.5377,-1.4624,-1.3514,-1.2101,-0.9819,-0.71884,-0.42175,-0.15942,0.037331,0.096134,0.091763,0.3289,0.514,0.66478,0.82017,0.99009,1.1958,1.4519,1.7088,1.9592,2.2038,2.4498,2.554,2
2.737,2.5098,2.2778,2.0492,1.8199,1.5952,1.3686,1.1422,0.9168,0.6822,0.52917,0.37555,0.23055,0.018566,-0.19151,-0.40042,-0.60528,-0.80882,-1.0072,-1.2042,-1.3517,-1.3932,-1.4171,-1.4277,-1.3927,-1.3323,-1.2542,-1.143,-1.0189,-0.88677,-0.73761,-0.5687,-0.3897,-0.20353,-0.009985,0.070696,0.13113,0.20336,0.22317,0.10019,-0.086984,-0.26016,-0.42868,-0.58654,-0.7227,-0.85259,-0.95381,-1.0209,-0.77406,-0.53293,-0.28636,-0.039502,0.20758,0.46352,0.66112,0.7968,0.87452,0.81802,0.77311,0.73478,0.72726,0.71769,0.57844,0.35011,0.13513,-0.099903,-0.3073,-0.49887,-0.659,-0.58605,-0.65106,-0.51233,-0.61813,-0.60957,-0.60031,-0.45025,-0.28244,-0.067808,0.14988,0.36235,0.57435,0.68049,0.69608,0.70531,0.72252,0.74998,0.78751,0.8145,0.65331,0.46408,0.23353,-0.00483,-0.24451,-0.4834,-0.5896,-0.54987,-0.53594,-0.62054,-0.48474,-0.35651,-0.2049,-0.061375,0.075362,0.081297,-0.000282,-0.051638,-0.18776,-0.35522,-0.53515,-0.69701,-0.85588,-0.99753,-1.1152,-1.233,-1.314,-1.3964,-1.448,-1.472,-1.4704,-1.4545,-1.413,-1.3046,-1.123,-0.93618,-0.74511,-0.5584,-0.36576,-0.17591,0.013493,0.17412,0.31996,0.47341,0.63812,0.83141,1.0383,1.2458,1.454,1.6626,1.8717,2.0745,2.2846,2.4886,2.6871,2.7477,6
