att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140,att141,att142,att143,att144,att145,att146,att147,att148,att149,att150,att151,att152,att153,att154,att155,att156,att157,att158,att159,att160,att161,att162,att163,att164,att165,att166,att167,att168,att169,att170,att171,att172,att173,att174,att175,att176,att177,att178,att179,att180,att181,att182,att183,att184,att185,att186,att187,att188,att189,att190,att191,att192,att193,att194,att195,att196,att197,att198,att199,att200,att201,att202,att203,att204,att205,att206,att207,att208,att209,att210,att211,att212,att213,att214,att215,att216,att217,att218,att219,att220,att221,att222,att223,att224,att225,att226,att227,att228,att229,att230,att231,att232,att233,att234,target
-0.55383,-0.58211,-0.60924,-0.61077,-0.59472,-0.57065,-0.57562,-0.59969,-0.61841,-0.62605,-0.62988,-0.62185,-0.61001,-0.58135,-0.53205,-0.48811,-0.42735,-0.36086,-0.32265,-0.30049,-0.22559,-0.12548,-0.061282,0.015524,0.108,0.13895,0.15653,0.27651,0.5268,0.87873,1.2123,1.429,1.5986,1.8417,2.1447,2.3659,2.4454,2.4401,2.4202,2.4168,2.4798,2.6166,2.7347,2.7645,2.7171,2.6724,2.7137,2.7733,2.6422,2.2689,1.87,1.6751,1.6999,1.779,1.7301,1.5203,1.2368,0.97159,0.77594,0.64411,0.54476,0.4584,0.39497,0.38694,0.42019,0.45955,0.46337,0.40414,0.29103,0.15385,0.0545,0.012085,0.020491,0.058703,0.10685,0.14888,0.18366,0.22607,0.27689,0.3281,0.38427,0.44808,0.51457,0.58603,0.65214,0.7041,0.72627,0.70792,0.66436,0.60628,0.53826,0.47216,0.40911,0.34797,0.29562,0.24938,0.20085,0.15882,0.1294,0.1164,0.11449,0.11144,0.11946,0.13857,0.1634,0.19703,0.23639,0.27116,0.29753,0.31931,0.35064,0.38771,0.42019,0.44197,0.4626,0.50884,0.54591,0.55317,0.54438,0.51686,0.46948,0.42401,0.37701,0.32657,0.30135,0.2853,0.26543,0.2746,0.31052,0.34529,0.39038,0.42592,0.45267,0.45496,0.41828,0.34033,0.27231,0.21002,0.14812,0.090037,0.050679,0.022402,-0.044469,-0.12242,-0.18929,-0.29208,-0.37386,-0.49422,-0.62682,-0.76667,-0.85036,-0.89125,-0.9478,-0.99939,-1.0009,-0.99786,-0.99136,-0.9948,-1.0032,-0.95812,-0.95621,-0.97149,-0.97684,-0.97493,-0.98066,-0.99136,-0.999,-0.99977,-0.98334,-0.97264,-0.96347,-0.95353,-0.87405,-0.81062,-0.75063,-0.69598,-0.63484,-0.58211,-0.54581,-0.52097,-0.52288,-0.54963,-0.58593,-0.65013,-0.73916,-0.81979,-0.90271,-0.9585,-1.0261,-1.0877,-1.1266,-1.2011,-1.1771,-1.1297,-1.0407,-0.98257,-0.99174,-0.99824,-0.96767,-0.95659,-0.96347,-0.91532,-0.84539,-0.80642,-0.76706,-0.7105,-0.66541,-0.63714,-0.53855,-0.41971,-0.30546,-0.24699,-0.21642,-0.15872,-0.14191,-0.18165,-0.27298,-0.36889,-0.4499,-0.57523,-0.72579,-0.90462,-1.0498,-1.1924,-1.3181,-1.4113,-1.4931,-1.5435,-1.5626,-1.5814,-1.5928,-1.6085,-1.6219,-1.6226,-1.6226,2
-0.3363,-0.33609,-0.33339,-0.31136,-0.26087,-0.19582,-0.17525,-0.19811,-0.2272,-0.2484,-0.26461,-0.27978,-0.28996,-0.29308,-0.27603,-0.21723,-0.094205,0.06726,0.15412,0.17698,0.28109,0.41866,0.46375,0.48765,0.55145,0.59841,0.63228,0.70273,0.83386,1.0294,1.2235,1.3448,1.4618,1.6703,1.9469,2.1746,2.2885,2.3564,2.4728,2.6867,3.0056,3.3504,3.5721,3.5696,3.3489,3.0516,2.8753,2.8523,2.7719,2.4626,2.0632,1.8176,1.7835,1.807,1.7037,1.4529,1.168,0.94628,0.8085,0.72725,0.67717,0.64413,0.62314,0.6194,0.62958,0.63602,0.62584,0.58407,0.48724,0.34302,0.20005,0.10155,0.054168,0.037752,0.02653,0.00284,-0.038513,-0.087763,-0.1314,-0.16548,-0.18481,-0.18543,-0.17172,-0.14408,-0.10335,-0.0568,-0.010251,0.029439,0.057493,0.077443,0.092405,0.10196,0.10612,0.1057,0.098431,0.071832,0.025699,-0.021889,-0.057423,-0.079243,-0.094205,-0.10771,-0.11873,-0.12496,-0.12309,-0.11166,-0.09566,-0.077165,-0.055553,-0.036019,-0.015447,0.010321,0.041492,0.077443,0.11755,0.14893,0.15745,0.14249,0.12108,0.10695,0.096976,0.087417,0.07765,0.065182,0.047934,0.031725,0.026322,0.036713,0.062688,0.10176,0.14165,0.17345,0.19755,0.21085,0.21688,0.21085,0.19464,0.17116,0.14145,0.10861,0.071208,0.03505,-0.001108,-0.028331,-0.038097,-0.089218,-0.18128,-0.29806,-0.39926,-0.4961,-0.58109,-0.63658,-0.68063,-0.71471,-0.74547,-0.76542,-0.78495,-0.79098,-0.79659,-0.80698,-0.813,-0.81508,-0.82049,-0.82734,-0.83025,-0.82859,-0.82402,-0.82423,-0.83067,-0.83441,-0.83524,-0.83129,-0.83753,-0.84064,-0.84376,-0.84792,-0.85207,-0.86288,-0.88075,-0.90132,-0.92397,-0.94974,-0.97613,-1.0058,-1.0285,-1.037,-1.0455,-1.0563,-1.0451,-1.0333,-1.0264,-0.99296,-0.97842,-0.97343,-0.93332,-0.90236,-0.8955,-0.89883,-0.89654,-0.89446,-0.88989,-0.88636,-0.89239,-0.89135,-0.88969,-0.89301,-0.8901,-0.87763,-0.86205,-0.85228,-0.83815,-0.8209,-0.79908,-0.78287,-0.77373,-0.76812,-0.76874,-0.7756,-0.7862,-0.80054,-0.81529,-0.83254,-0.8502,-0.8635,-0.87348,-0.87971,-0.88158,-0.88304,-0.88532,-0.88532,-0.88553,-0.88387,-0.8822,-0.88324,-0.88324,2
-0.68097,-0.65728,-0.6458,-0.60878,-0.53807,-0.45328,-0.37776,-0.34777,-0.36961,-0.41441,-0.45291,-0.48364,-0.50771,-0.52918,-0.54473,-0.5377,-0.48586,-0.38479,-0.29261,-0.20635,-0.056405,0.15129,0.38897,0.67294,0.93987,1.0902,1.1509,1.1798,1.2112,1.3293,1.5274,1.6744,1.7644,1.9161,2.1438,2.3264,2.4326,2.5163,2.634,2.8125,3.0013,3.1264,3.1223,3.0024,2.8243,2.6407,2.517,2.4167,2.1772,1.7718,1.4126,1.2768,1.3438,1.4619,1.4859,1.3771,1.1975,1.0254,0.89322,0.80844,0.75994,0.72995,0.69959,0.64702,0.56446,0.46043,0.35269,0.25162,0.13944,0.007274,-0.1012,-0.1534,-0.15488,-0.12305,-0.076397,-0.029749,0.010976,0.049849,0.095757,0.15129,0.21238,0.27161,0.32567,0.37528,0.41674,0.44821,0.46228,0.45265,0.42266,0.37639,0.32233,0.27013,0.22534,0.18794,0.15536,0.12056,0.080948,0.044666,0.019491,-0.000871,-0.017901,-0.030489,-0.03197,-0.01494,0.01801,0.059845,0.1039,0.14574,0.17869,0.20534,0.23459,0.2668,0.29975,0.32419,0.34455,0.37602,0.40304,0.41859,0.42044,0.3949,0.34677,0.29827,0.25717,0.21978,0.19831,0.18165,0.17128,0.1909,0.23459,0.29161,0.35454,0.39527,0.41896,0.42229,0.39009,0.31974,0.25125,0.1798,0.11168,0.053552,0.006163,-0.029008,-0.096389,-0.17673,-0.23596,-0.3337,-0.42404,-0.54621,-0.66246,-0.78019,-0.86164,-0.90274,-0.94198,-0.97197,-0.97752,-0.97308,-0.96123,-0.95383,-0.94716,-0.91569,-0.90348,-0.91125,-0.92051,-0.91792,-0.92273,-0.92902,-0.93754,-0.94642,-0.92828,-0.91236,-0.90681,-0.89866,-0.84757,-0.80129,-0.74724,-0.69615,-0.63469,-0.57583,-0.53436,-0.50141,-0.48327,-0.48883,-0.5103,-0.5525,-0.60248,-0.65876,-0.71911,-0.76723,-0.80944,-0.84535,-0.86682,-0.90496,-0.92347,-0.92051,-0.92532,-0.94383,-0.94531,-0.92791,-0.92236,-0.9231,-0.9131,-0.90533,-0.89015,-0.87571,-0.85646,-0.82462,-0.78426,-0.73799,-0.65469,-0.56324,-0.46735,-0.40219,-0.35555,-0.29964,-0.28705,-0.32371,-0.40997,-0.51992,-0.61914,-0.74687,-0.87608,-1.0164,-1.1315,-1.2422,-1.3392,-1.4092,-1.4681,-1.5069,-1.5247,-1.5421,-1.5525,-1.564,-1.5721,-1.5728,-1.5728,2
-0.61762,-0.63476,-0.64866,-0.6312,-0.5785,-0.5216,-0.50188,-0.51223,-0.52936,-0.54585,-0.55264,-0.55264,-0.55393,-0.54811,-0.5313,-0.48765,-0.39778,-0.27719,-0.19539,-0.14787,-0.048935,0.081678,0.18352,0.29635,0.41888,0.4816,0.51555,0.60478,0.78809,1.0606,1.339,1.5291,1.6772,1.8909,2.1589,2.359,2.4295,2.433,2.4534,2.5378,2.693,2.8637,2.9503,2.9141,2.789,2.6558,2.6092,2.6037,2.445,2.0729,1.694,1.521,1.5592,1.6494,1.628,1.4538,1.2126,0.99662,0.83659,0.72375,0.63776,0.56889,0.51943,0.49583,0.49195,0.4816,0.44184,0.36683,0.26014,0.13696,0.043529,0.013462,0.035446,0.086204,0.14472,0.19613,0.24042,0.28277,0.32965,0.37879,0.43084,0.49033,0.55758,0.62482,0.68528,0.72957,0.74315,0.72763,0.68657,0.62709,0.55984,0.49065,0.42729,0.37168,0.32415,0.27469,0.2207,0.17447,0.14472,0.13017,0.11821,0.10754,0.10108,0.10463,0.12274,0.15313,0.18934,0.22393,0.25464,0.28051,0.30282,0.32545,0.35163,0.37427,0.39269,0.41403,0.42244,0.40951,0.38623,0.35778,0.3248,0.2915,0.25529,0.21132,0.17156,0.14117,0.12597,0.12726,0.14311,0.16735,0.19419,0.20906,0.21326,0.20389,0.17899,0.13632,0.09558,0.053228,0.010229,-0.03277,-0.06995,-0.10713,-0.17826,-0.26684,-0.32924,-0.43787,-0.54068,-0.66288,-0.77378,-0.8795,-0.96679,-1.0234,-1.0741,-1.1149,-1.1385,-1.1517,-1.1643,-1.1656,-1.1676,-1.1608,-1.1624,-1.1705,-1.1815,-1.1889,-1.1915,-1.1879,-1.1789,-1.1656,-1.1514,-1.1349,-1.1213,-1.0951,-1.0508,-1.0224,-0.98716,-0.95127,-0.90827,-0.88014,-0.86333,-0.85816,-0.85848,-0.85848,-0.87432,-0.8976,-0.91862,-0.93543,-0.93252,-0.95321,-0.96032,-0.94674,-0.92088,-0.85266,-0.85977,-0.87271,-0.86495,-0.84038,-0.85525,-0.8976,-0.90277,-0.90148,-0.88887,-0.87141,-0.8449,-0.80837,-0.73563,-0.67355,-0.59434,-0.48765,-0.35672,-0.24356,-0.13105,-0.046672,0.026394,0.089761,0.10043,0.063897,-0.017575,-0.13493,-0.25068,-0.39454,-0.53971,-0.70297,-0.84684,-0.97875,-1.0942,-1.1776,-1.2403,-1.2894,-1.3179,-1.3373,-1.3515,-1.3619,-1.369,-1.3732,-1.3732,2
-0.63049,-0.61789,-0.61531,-0.59303,-0.54717,-0.49033,-0.44997,-0.45061,-0.46643,-0.48613,-0.50325,-0.51197,-0.51875,-0.5223,-0.51294,-0.48226,-0.41024,-0.30206,-0.22003,-0.16094,-0.047909,0.10936,0.25113,0.41454,0.58763,0.67515,0.70841,0.77235,0.90056,1.1124,1.3549,1.5258,1.654,1.8464,2.0941,2.2798,2.3567,2.3764,2.4119,2.5127,2.6735,2.8266,2.8795,2.8101,2.6683,2.5223,2.4549,2.4293,2.2621,1.8958,1.5325,1.3846,1.446,1.5564,1.5613,1.4182,1.2019,1.0036,0.85793,0.76169,0.69646,0.64834,0.61056,0.5815,0.55921,0.5266,0.4746,0.39871,0.29699,0.18331,0.093861,0.063182,0.087402,0.13972,0.19914,0.25275,0.29828,0.3422,0.39161,0.44618,0.50787,0.57504,0.64414,0.71455,0.77558,0.81885,0.83468,0.8153,0.76944,0.70679,0.63155,0.55146,0.48009,0.41938,0.37159,0.32476,0.27018,0.22497,0.19429,0.17201,0.15393,0.13617,0.1268,0.12712,0.13875,0.16458,0.19849,0.23046,0.25662,0.27826,0.29893,0.31733,0.33768,0.35512,0.36384,0.37804,0.38257,0.36707,0.34414,0.31766,0.28665,0.25727,0.22562,0.18041,0.14166,0.11324,0.091923,0.0916,0.10549,0.1226,0.15393,0.17169,0.17653,0.1704,0.14359,0.10226,0.072547,0.03993,0.002792,-0.038866,-0.069545,-0.10249,-0.17385,-0.25717,-0.32434,-0.43317,-0.52973,-0.65729,-0.78453,-0.91822,-1.0128,-1.0674,-1.1217,-1.1682,-1.193,-1.2066,-1.2108,-1.2153,-1.2244,-1.1998,-1.1943,-1.1995,-1.1989,-1.1859,-1.1766,-1.1669,-1.1682,-1.1617,-1.1378,-1.1304,-1.1352,-1.143,-1.121,-1.1042,-1.0874,-1.0681,-1.0539,-1.0367,-1.0283,-1.0296,-1.0345,-1.0455,-1.0597,-1.0703,-1.0803,-1.0942,-1.0971,-1.091,-1.0732,-1.0652,-1.0561,-1.0167,-0.99993,-0.99799,-0.96828,-0.94374,-0.9292,-0.91984,-0.91629,-0.91467,-0.89239,-0.87495,-0.8433,-0.80067,-0.72414,-0.63921,-0.54394,-0.43802,-0.29399,-0.159,-0.023043,0.074161,0.14941,0.23563,0.26954,0.24822,0.17524,0.084818,-0.003666,-0.14285,-0.31724,-0.53716,-0.72801,-0.90046,-1.0448,-1.144,-1.2231,-1.2777,-1.3057,-1.329,-1.3422,-1.3568,-1.3678,-1.3703,-1.3703,2
-0.5005,-0.50797,-0.51113,-0.49245,-0.4433,-0.38926,-0.37087,-0.3792,-0.39875,-0.42088,-0.43266,-0.44244,-0.4525,-0.45451,-0.44272,-0.40622,-0.32603,-0.21279,-0.13203,-0.078278,0.030653,0.17896,0.31146,0.46149,0.60951,0.68166,0.71011,0.78455,0.94551,1.191,1.4551,1.6445,1.798,2.0308,2.3182,2.524,2.5979,2.5938,2.6016,2.6758,2.8264,2.9931,3.0664,3.0227,2.8968,2.758,2.7074,2.6962,2.5203,2.1251,1.7261,1.539,1.5666,1.6474,1.6201,1.4505,1.2232,1.0222,0.8748,0.77277,0.69574,0.63222,0.58221,0.55375,0.54283,0.52501,0.48046,0.40171,0.28559,0.14849,0.034965,-0.020794,-0.023956,-0.0001,0.031228,0.060258,0.085838,0.10998,0.13987,0.17005,0.20023,0.23903,0.28444,0.33216,0.37757,0.41407,0.43534,0.43678,0.41666,0.38303,0.34279,0.29968,0.26088,0.22466,0.19333,0.15712,0.11286,0.074054,0.048473,0.035252,0.025767,0.01657,0.008522,0.010822,0.027779,0.056234,0.089287,0.12234,0.15338,0.17752,0.20138,0.22753,0.258,0.28444,0.30686,0.32986,0.34049,0.33244,0.31635,0.29594,0.27094,0.2465,0.21776,0.17867,0.14102,0.10969,0.088712,0.083538,0.094748,0.11429,0.14073,0.162,0.17637,0.17896,0.16574,0.13556,0.10538,0.071754,0.034965,-0.002112,-0.032291,-0.065632,-0.1234,-0.18836,-0.2355,-0.32316,-0.41283,-0.53039,-0.64047,-0.7448,-0.82844,-0.88506,-0.93507,-0.97359,-0.99888,-1.0135,-1.027,-1.0331,-1.0388,-1.0314,-1.0354,-1.0457,-1.0549,-1.0615,-1.067,-1.0693,-1.0681,-1.0598,-1.0515,-1.0446,-1.0385,-1.0213,-0.99457,-0.97416,-0.94829,-0.9253,-0.89857,-0.88132,-0.8727,-0.8727,-0.875,-0.87816,-0.89656,-0.92559,-0.94887,-0.96439,-0.97244,-0.97933,-0.96525,-0.95835,-0.9572,-0.91007,-0.8957,-0.89196,-0.87126,-0.8477,-0.85776,-0.88736,-0.89771,-0.90604,-0.89685,-0.8773,-0.86235,-0.84195,-0.79912,-0.76348,-0.71002,-0.63644,-0.54907,-0.47606,-0.40249,-0.34644,-0.29672,-0.25245,-0.24383,-0.26654,-0.31885,-0.39128,-0.46256,-0.55367,-0.65024,-0.76233,-0.86178,-0.95433,-1.0345,-1.0917,-1.1357,-1.1679,-1.1857,-1.1986,-1.2075,-1.2139,-1.2185,-1.2208,-1.2208,2
-0.67541,-0.6842,-0.68452,-0.66032,-0.61099,-0.56165,-0.53243,-0.53337,-0.5516,-0.56165,-0.5692,-0.57548,-0.5758,-0.57265,-0.55443,-0.51169,-0.42559,-0.30116,-0.21317,-0.16321,-0.060141,0.076864,0.18119,0.29274,0.41215,0.4706,0.50076,0.58372,0.75686,1.0196,1.2948,1.4878,1.6424,1.8677,2.1451,2.351,2.427,2.4273,2.4393,2.5235,2.69,2.877,2.9772,2.9474,2.8173,2.6746,2.6212,2.6206,2.4666,2.0861,1.6895,1.4997,1.5302,1.6185,1.5959,1.4211,1.1845,0.97714,0.82631,0.7201,0.64059,0.57555,0.52873,0.50673,0.50516,0.49856,0.46148,0.38764,0.27734,0.15291,0.057067,0.019359,0.038842,0.090376,0.15071,0.20758,0.25409,0.2984,0.3493,0.39832,0.45048,0.51082,0.57555,0.64185,0.7003,0.74178,0.75875,0.74555,0.70658,0.64939,0.58246,0.5127,0.4464,0.39078,0.34176,0.28897,0.23461,0.18967,0.15888,0.14002,0.12965,0.12243,0.11709,0.11866,0.13437,0.16076,0.19344,0.22675,0.25723,0.28174,0.30342,0.33045,0.36061,0.38732,0.41183,0.42723,0.42597,0.40555,0.37507,0.34302,0.31002,0.27263,0.23429,0.19439,0.15762,0.12777,0.11614,0.12086,0.13814,0.16705,0.19627,0.21513,0.22235,0.21607,0.19784,0.15856,0.11803,0.076235,0.033814,-0.007036,-0.047572,-0.090307,-0.1541,-0.23171,-0.28607,-0.386,-0.49504,-0.62544,-0.73731,-0.84509,-0.94093,-1.0038,-1.0503,-1.0827,-1.1119,-1.1254,-1.1361,-1.1351,-1.1285,-1.1226,-1.1185,-1.1191,-1.1257,-1.1295,-1.1301,-1.1244,-1.1175,-1.1106,-1.11,-1.1072,-1.099,-1.0801,-1.0569,-1.038,-1.0088,-0.9865,-0.96953,-0.9535,-0.9381,-0.93245,-0.92836,-0.92616,-0.93433,-0.94785,-0.95413,-0.96167,-0.98492,-0.99498,-0.98807,-0.96576,-0.93088,-0.90385,-0.92616,-0.94753,-0.92711,-0.90102,-0.92396,-0.94879,-0.94376,-0.93716,-0.91454,-0.89034,-0.86237,-0.82184,-0.75271,-0.69489,-0.61445,-0.50321,-0.36777,-0.25119,-0.13681,-0.047886,0.029729,0.090061,0.10075,0.070265,-0.006093,-0.1233,-0.23674,-0.3794,-0.52458,-0.68986,-0.83378,-0.96199,-1.0735,-1.1518,-1.2093,-1.2561,-1.285,-1.3045,-1.3171,-1.3237,-1.3287,-1.3334,-1.3334,2
-0.86086,-0.86817,-0.88895,-0.88164,-0.83585,-0.7893,-0.78122,-0.80046,-0.8093,-0.81392,-0.81123,-0.79507,-0.78276,-0.77391,-0.7489,-0.69965,-0.61269,-0.49919,-0.42531,-0.38684,-0.30989,-0.21023,-0.15175,-0.091342,-0.016314,0.014852,0.035244,0.13682,0.35152,0.64663,0.93058,1.1191,1.2707,1.4873,1.7386,1.921,1.9817,1.9683,1.9725,2.0433,2.1849,2.3484,2.4469,2.435,2.3361,2.2353,2.223,2.2484,2.1272,1.7905,1.4388,1.2892,1.3461,1.4569,1.4542,1.2907,1.0491,0.82824,0.66856,0.55352,0.46425,0.38768,0.33112,0.31612,0.33036,0.34074,0.31381,0.24263,0.14721,0.059099,0.018315,0.052558,0.14759,0.26879,0.38884,0.49465,0.59045,0.68164,0.77745,0.87556,0.97868,1.0903,1.2049,1.3103,1.3923,1.44,1.4419,1.3911,1.298,1.1803,1.0522,0.92212,0.80053,0.69626,0.61123,0.53197,0.45617,0.39653,0.35844,0.3392,0.33189,0.32843,0.32689,0.33343,0.35229,0.38461,0.42308,0.45733,0.48003,0.49773,0.51889,0.53813,0.55967,0.57198,0.58083,0.59276,0.58968,0.56352,0.5262,0.47926,0.42385,0.36691,0.31304,0.25917,0.21724,0.19569,0.198,0.21954,0.25533,0.29765,0.32843,0.33112,0.31343,0.2761,0.22878,0.16068,0.094497,0.032166,-0.029011,-0.084801,-0.13636,-0.19446,-0.28911,-0.41185,-0.50304,-0.63578,-0.75698,-0.89087,-1.0032,-1.1071,-1.1983,-1.2579,-1.3072,-1.3395,-1.3611,-1.3703,-1.3761,-1.3699,-1.3549,-1.3437,-1.338,-1.3399,-1.3487,-1.3553,-1.353,-1.3407,-1.3203,-1.3114,-1.3133,-1.2995,-1.2787,-1.241,-1.1906,-1.1521,-1.1006,-1.0502,-0.9886,-0.95013,-0.91973,-0.89203,-0.86702,-0.84817,-0.84432,-0.85124,-0.85124,-0.84432,-0.81738,-0.81738,-0.79468,-0.77699,-0.77468,-0.73004,-0.75236,-0.7489,-0.74082,-0.71735,-0.73928,-0.79391,-0.80199,-0.79661,-0.75929,-0.71773,-0.6681,-0.60153,-0.47764,-0.3753,-0.24101,-0.05402,0.16876,0.35229,0.53428,0.67741,0.80246,0.89634,0.90326,0.83285,0.68587,0.47118,0.25533,-0.007849,-0.26218,-0.54267,-0.78006,-0.98976,-1.1748,-1.3076,-1.4053,-1.488,-1.5388,-1.5723,-1.5981,-1.6127,-1.6227,-1.6315,-1.6315,2
-0.66468,-0.6612,-0.65297,-0.6264,-0.56472,-0.48944,-0.44389,-0.42808,-0.43757,-0.45876,-0.47774,-0.49134,-0.50304,-0.51348,-0.51411,-0.49166,-0.42587,-0.32243,-0.23861,-0.17187,-0.048197,0.12261,0.29499,0.4949,0.69006,0.79128,0.83335,0.88427,0.97379,1.1449,1.3635,1.5257,1.6462,1.8348,2.0869,2.2785,2.3643,2.3994,2.455,2.5765,2.7502,2.901,2.9431,2.8621,2.7049,2.5449,2.4604,2.4155,2.2264,1.8452,1.4827,1.3325,1.3878,1.4954,1.5023,1.3761,1.1841,1.0051,0.87541,0.78653,0.72485,0.6812,0.64578,0.6075,0.56449,0.51071,0.44271,0.36047,0.25862,0.14538,0.055235,0.020758,0.041001,0.095406,0.16278,0.22509,0.27855,0.32916,0.38419,0.44587,0.51135,0.58093,0.65179,0.71916,0.77641,0.81373,0.82449,0.80456,0.75553,0.6869,0.6113,0.53191,0.45884,0.39621,0.34149,0.29151,0.24185,0.1982,0.16657,0.1438,0.12735,0.11249,0.10489,0.10616,0.12039,0.1457,0.17765,0.21275,0.24217,0.26463,0.28487,0.30512,0.32441,0.34244,0.35794,0.36648,0.36363,0.34592,0.31998,0.29278,0.26463,0.23015,0.19409,0.15455,0.1166,0.086549,0.071999,0.073581,0.090661,0.1147,0.13937,0.15614,0.16025,0.15392,0.13779,0.10205,0.069152,0.034991,-0.003914,-0.043769,-0.083939,-0.12696,-0.19338,-0.27309,-0.32844,-0.43187,-0.54068,-0.67037,-0.78677,-0.90285,-1.0031,-1.0676,-1.1179,-1.154,-1.1847,-1.1973,-1.2068,-1.2059,-1.198,-1.1875,-1.1777,-1.1746,-1.1806,-1.1834,-1.1796,-1.1695,-1.1575,-1.1489,-1.1502,-1.1486,-1.1448,-1.1436,-1.1407,-1.1312,-1.1176,-1.1059,-1.0933,-1.0794,-1.0708,-1.0705,-1.0699,-1.0718,-1.0775,-1.0781,-1.0689,-1.0585,-1.0566,-1.055,-1.0341,-1.0091,-0.97339,-0.93006,-0.93132,-0.94777,-0.91898,-0.88419,-0.89748,-0.9095,-0.89716,-0.89336,-0.87502,-0.85699,-0.82504,-0.77348,-0.70168,-0.63558,-0.54195,-0.42144,-0.27024,-0.13929,-0.014036,0.085917,0.1748,0.24439,0.2602,0.23458,0.16215,0.052072,-0.056421,-0.20066,-0.3626,-0.56472,-0.74344,-0.90159,-1.0354,-1.1268,-1.1945,-1.2495,-1.2824,-1.3055,-1.3204,-1.3286,-1.3356,-1.3416,-1.3416,2
-0.43265,-0.44171,-0.4481,-0.43958,-0.3879,-0.3301,-0.30986,-0.31972,-0.3373,-0.35754,-0.37405,-0.38258,-0.39003,-0.39083,-0.37725,-0.34262,-0.26804,-0.1639,-0.092782,-0.043507,0.067297,0.21939,0.34937,0.4964,0.64742,0.71294,0.73159,0.80377,0.96731,1.2145,1.4747,1.6649,1.833,2.078,2.3718,2.587,2.6619,2.6555,2.652,2.7117,2.86,3.0321,3.1139,3.0713,2.9461,2.814,2.7655,2.7535,2.5785,2.1755,1.7674,1.5781,1.6012,1.6716,1.6308,1.4555,1.227,1.0264,0.88154,0.78006,0.70362,0.6381,0.58536,0.55819,0.55073,0.53954,0.50226,0.42395,0.30222,0.15892,0.034802,-0.036049,-0.055226,-0.044039,-0.021399,-0.002488,0.012428,0.028676,0.047853,0.069694,0.093134,0.12137,0.15892,0.19968,0.24123,0.27878,0.30142,0.30861,0.29743,0.27505,0.24815,0.21832,0.18955,0.16212,0.13628,0.10219,0.058774,0.021484,-0.002488,-0.015007,-0.024063,-0.031787,-0.03738,-0.036848,-0.024595,-0.000623,0.031073,0.064634,0.094998,0.12083,0.14427,0.16958,0.20207,0.23111,0.25588,0.28091,0.2929,0.28544,0.27106,0.25508,0.2359,0.21752,0.19275,0.15812,0.12376,0.093134,0.07369,0.068895,0.080082,0.10059,0.12376,0.14374,0.16026,0.16611,0.15812,0.13495,0.11018,0.08168,0.04812,0.011096,-0.02646,-0.064549,-0.11382,-0.16417,-0.19986,-0.27683,-0.3626,-0.4742,-0.57568,-0.67717,-0.76213,-0.81727,-0.86654,-0.90703,-0.93526,-0.95124,-0.96723,-0.97335,-0.98054,-0.98001,-0.98507,-0.99519,-1.0056,-1.0114,-1.0133,-1.0104,-1.005,-1.0048,-1.0072,-1.0048,-1.0011,-0.98427,-0.96137,-0.94618,-0.92594,-0.90783,-0.88732,-0.8756,-0.87054,-0.86974,-0.87693,-0.88439,-0.89664,-0.92328,-0.95284,-0.96669,-0.96803,-0.9856,-0.97602,-0.95204,-0.94325,-0.89877,-0.89531,-0.88466,-0.84843,-0.82393,-0.83378,-0.86361,-0.8764,-0.87853,-0.87054,-0.86122,-0.85083,-0.82739,-0.78451,-0.76453,-0.7347,-0.68516,-0.62416,-0.57222,-0.51842,-0.47713,-0.43931,-0.40921,-0.40735,-0.42786,-0.47047,-0.532,-0.59167,-0.66411,-0.73417,-0.81141,-0.8788,-0.94086,-0.99706,-1.0391,-1.0695,-1.0932,-1.1073,-1.1164,-1.1228,-1.1262,-1.1289,-1.1316,-1.1316,2
