att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,target
-0.37694,1.2249,0.34387,0.32845,-0.33761,1.0265,-1.331,-0.6578,1.4461,-0.8464,0.77621,-0.25405,1.6652,0.62547,1.2423,0.77621,1.1274,-1.0134,-0.69236,-1.0569,-1.2246,-0.23914,0.17318,-0.17278,0.82061,-1.4316,-0.33874,-1.6279,-1.1271,1.36,-1.4346,-0.98307,1.5606,-0.47445,-0.27311,-0.55251,-1.1067,0.90208,0.24213,-0.86658,1.5268,-1.0946,-0.31627,0.53148,0.26429,1.1663,-0.57684,-0.33211,1.5164,-0.10467,0.37071,-1.5682,1.0219,-1.4297,1.357,1.3728,0.66356,0.91835,-1.3117,-1.1971,1
0.64441,0.41327,-0.86228,-1.4974,-0.42146,-0.21421,-1.2921,0.9569,-1.2161,-0.58854,0.77698,-0.60303,-0.30217,-0.80696,-1.5712,1.7484,0.69653,0.99474,0.53355,1.4644,-0.70096,0.66833,1.7347,0.94162,-1.4848,0.28325,0.59815,-0.77698,0.67906,-0.11517,-0.58799,-1.5108,-0.6921,-1.1957,0.7085,-1.3701,-0.53608,-1.5224,-0.73946,1.7673,1.0152,0.54118,-0.87433,-0.35372,0.65658,-0.58887,0.10491,2.0226,1.4717,-0.62924,1.3173,-0.80253,-1.1213,0.98932,-1.1097,0.21986,0.63003,1.3981,0.085742,0.024997,1
-0.97867,-0.40623,0.82243,-1.4082,-1.6767,-0.49063,1.4046,1.1686,-1.7033,0.97281,-0.76197,-1.4925,1.2988,1.1458,-1.5408,-0.34573,0.67893,0.113,0.18011,-1.1619,-0.57249,0.25931,1.4465,0.63972,-1.6898,0.68684,-0.90851,0.53004,1.4265,-0.74369,0.66533,0.74503,-1.0493,-0.14006,-0.29484,0.040267,-1.7164,0.90547,0.7164,0.68726,0.15108,-0.77751,1.2146,1.2049,0.8612,-1.3193,-0.43803,-1.7785,0.44343,1.163,-0.82878,-0.76288,1.383,-0.8691,1.2773,-0.19897,0.96681,0.66613,0.107,0.082715,1
-0.23654,-0.098175,0.36709,1.3669,0.49828,-0.30022,1.7156,0.90211,-0.21813,-1.4307,1.4414,1.1249,-0.12381,-0.89113,1.051,0.55147,1.0105,-1.3587,-0.11209,-0.4696,-1.1423,-1.1801,-0.70814,-0.42765,-0.018167,0.40585,-0.86945,-0.49515,1.2101,-1.2092,-1.3876,1.5824,1.0216,0.72071,-1.3664,-0.029589,-1.3219,-0.3726,1.2793,0.55723,0.33228,1.6781,0.4795,-1.0837,0.86911,0.86554,-1.48,1.1999,-0.20243,-1.4948,0.068904,-1.4996,0.40674,1.2892,-1.1197,-0.99598,1.6511,-1.1871,0.025463,-0.84152,1
1.4907,1.3252,1.6268,-0.31706,-1.099,-0.022213,0.59698,1.6673,-0.20615,-1.3766,0.009963,-0.058461,-0.40878,1.2296,-0.58776,-1.1595,0.70565,1.3656,1.072,-1.1805,1.0879,-0.88527,-1.407,0.18527,-0.33221,-0.23822,0.72871,-1.4077,0.53311,0.039281,1.6521,1.6157,-0.68353,-1.458,-1.202,-0.028659,-1.457,0.39265,-1.2559,0.58145,-0.29122,0.8443,-1.343,-0.11383,-0.62765,-0.9647,0.60273,1.3546,-1.3104,0.62085,0.81507,1.03,-1.4962,-1.1674,1.4842,-0.37302,-0.84328,-0.20979,0.13772,0.71654,1
1.6433,1.764,0.43776,0.19931,-1.5676,-0.71912,-1.0942,1.0332,-1.3772,-0.9489,1.1009,-0.29435,-0.81577,1.8317,0.23544,0.60702,-1.6037,1.0033,1.1529,1.2626,0.51121,-1.4633,0.642,1.4654,-0.79447,1.2424,-0.87716,1.6459,0.27062,0.016161,0.83519,1.0038,-0.13062,-0.9612,-0.3996,0.71978,-0.35646,0.40713,1.0539,-1.5347,-0.69115,0.73612,-1.4552,0.36474,-0.59557,-1.027,-1.2537,-1.5741,-0.020924,-0.96351,0.28208,-1.3687,0.097894,-0.42523,0.57545,-0.91202,1.3174,-0.39727,0.20927,-0.045311,1
1.1847,0.78845,-1.743,-0.96356,-1.2673,1.1334,0.20608,-0.42837,-0.97948,-1.489,1.5848,0.79308,0.4348,0.26543,-0.68466,-0.82119,0.64233,0.93058,-0.44409,1.68,-0.4511,0.26027,-0.66085,-1.6764,0.77605,1.0023,0.74763,-0.47866,-1.0238,-0.23982,-0.045667,0.58104,-1.4756,0.164,1.0809,-1.2053,1.5085,1.7062,0.73115,-0.29938,-0.028454,0.52075,0.20901,0.27813,-1.461,1.3335,-1.6645,-1.4137,0.058667,-0.76521,0.70403,-0.037163,1.5575,1.0709,-1.7139,-1.2756,0.18435,-0.76425,0.62831,0.75408,1
-1.5231,0.99592,1.6964,-0.25393,-0.19688,0.85823,0.14516,-1.4492,-1.4164,1.3169,0.25181,1.1983,0.13564,1.0477,1.0558,-0.032419,0.15777,-1.1798,-0.45743,-1.3811,1.5277,-0.58809,0.41917,-1.2697,1.5237,-0.13051,0.17739,-1.1784,1.6504,-0.59502,-1.5297,-0.40224,-0.89278,0.011602,0.076002,0.1746,-1.4676,0.44458,-0.49051,-1.0567,-0.32565,1.4536,-0.38363,0.86971,-0.37702,1.2061,-1.3673,0.85533,-0.87719,-1.2129,0.43031,-0.85301,0.79507,1.6475,-0.63285,1.4863,-1.0466,0.69948,1.2361,-0.97652,1
-1.3705,-0.69531,-0.84481,-1.3593,1.5227,-1.156,-0.086756,0.80024,-1.0575,0.17354,-0.69552,0.93781,-0.42417,0.087062,0.60234,-0.62044,-1.3319,1.0659,1.4894,0.14219,-1.691,-1.1366,-0.24994,-0.36809,-0.88432,-0.98879,1.0813,0.98771,0.31143,1.0292,-0.64378,0.84991,0.7553,1.113,1.0035,0.21771,-1.1873,-1.6988,-0.159,0.39759,1.3978,1.5648,-1.0871,0.15369,0.97166,1.491,-0.10747,1.28,-1.6249,-0.003851,-0.28734,-0.40107,-1.7172,1.2993,0.31394,0.6019,-1.724,0.70832,0.067532,1.1847,1
-0.82456,0.54167,0.32033,-0.36294,-0.94863,0.85267,-1.5552,0.31127,1.7525,1.5409,1.5403,-0.040377,-0.54184,0.17246,-0.24855,-0.34718,1.9178,1.1419,-0.15489,-0.79279,-0.45647,-1.4575,-1.0444,0.16711,-0.4408,0.21944,-1.5628,0.048609,-0.89698,-0.79347,0.75268,0.27619,-0.92421,1.4551,1.1406,0.033742,0.73621,1.1791,-1.1847,-1.5374,-0.42822,1.5658,-1.4733,-0.25624,0.27313,1.9335,1.2032,-1.1371,0.39139,0.73157,-0.86555,-1.6108,-0.019699,-1.3057,0.44962,0.58889,-0.31936,-0.52731,1.6503,-0.82898,1
