att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,target
0.68835,0.61723,0.61723,0.56981,0.68835,0.64093,0.71205,0.78317,0.4987,0.47499,0.54611,0.33275,0.33275,0.26163,0.23793,0.26163,0.21422,0.21422,0.26163,0.23793,0.095692,0.1194,0.1194,-0.022839,0.16681,0.28534,0.16681,0.04828,0.16681,0.16681,0.1431,-0.80514,-2.1801,-3.0098,-3.0098,-2.8439,-2.9624,-2.5831,-2.0379,-2.0853,-1.8482,-1.4689,-1.2319,-1.137,-0.6629,-0.37843,-0.33102,-0.14137,0.28534,0.45128,0.4987,0.40387,0.33275,0.47499,0.28534,0.42758,0.4987,0.61723,0.54611,0.4987,0.54611,0.61723,0.66464,0.66464,0.71205,0.80688,0.78317,0.85429,0.80688,0.9017,0.85429,0.73576,0.71205,0.64093,0.56981,0.45128,0.40387,0.35646,0.21422,0.1431,0.16681,0.1431,2
-0.11165,-0.036505,-0.074079,-0.061555,0.038643,0.051168,0.13884,0.23904,0.21399,0.23904,0.063693,0.10127,0.063693,0.001069,-0.036505,-0.074079,-0.16175,-0.12418,-0.1868,-0.1868,-0.32457,-0.24943,-0.22438,-0.27448,-0.31205,-0.287,-0.21185,-0.32457,-0.04903,0.36429,-0.04903,-0.85061,-1.8526,-2.5164,-2.7419,-2.792,-2.3786,-2.0655,-1.9778,-1.8651,-1.6647,-1.5771,-1.2765,-1.0385,-0.67527,-0.37467,-0.14923,0.076218,0.38934,0.57721,0.66488,0.67741,0.72751,0.76508,0.79013,0.86528,0.91538,0.96548,1.0406,1.0657,1.1408,1.216,1.2535,1.2911,1.3663,1.3537,1.3663,1.3287,1.3036,1.1784,1.0531,0.96548,0.80265,0.68993,0.55216,0.45196,0.36429,0.25156,0.13884,0.063693,0.001069,-0.011456,1
-0.49172,-0.45549,-0.45549,-0.43738,-0.40115,-0.3287,-0.25624,-0.22001,-0.12945,-0.11133,-0.23813,-0.25624,-0.27435,-0.31058,-0.27435,-0.34681,-0.29247,-0.31058,-0.31058,-0.3287,-0.36492,-0.34681,-0.36492,-0.34681,-0.31058,-0.31058,-0.3287,-0.36492,-0.31058,-0.14756,-0.29247,-1.0351,-2.2125,-2.6835,-2.6472,-2.611,-2.3393,-1.814,-1.651,-1.488,-1.2525,-1.017,-0.79965,-0.4736,-0.22001,-0.038878,0.087917,0.28717,0.52264,0.68567,0.74001,0.77623,0.84869,0.8668,0.95737,0.97548,0.9936,1.0842,1.1385,1.211,1.2834,1.3378,1.374,1.4283,1.4464,1.4827,1.4102,1.3196,1.2653,1.1385,0.9936,0.92114,0.83057,0.74001,0.63133,0.55887,0.50453,0.4683,0.45019,0.39585,0.41396,0.43208,2
-0.3477,-0.24788,-0.28531,-0.2354,-0.18549,-0.11063,-0.073193,0.089018,0.12645,0.089018,0.014152,-0.035759,-0.098148,-0.11063,-0.21045,-0.24788,-0.31027,-0.28531,-0.32275,-0.39761,-0.44753,-0.41009,-0.41009,-0.38514,-0.39761,-0.42257,-0.43505,-0.3477,-0.098148,-0.1231,-0.85929,-1.7203,-2.1819,-2.3441,-2.4939,-2.3317,-1.9199,-1.7702,-1.7702,-1.6703,-1.6204,-1.3834,-1.1088,-0.77195,-0.44753,-0.29779,-0.048237,0.25123,0.52574,0.68795,0.72538,0.76282,0.82521,0.87512,0.92503,0.96246,1.0623,1.0997,1.1621,1.2619,1.2869,1.3617,1.3742,1.4241,1.499,1.4865,1.4117,1.3742,1.2619,1.1496,1.1122,0.96246,0.81273,0.68795,0.58813,0.47583,0.42592,0.35105,0.31362,0.3261,0.28866,0.30114,1
0.015379,0.0406,0.002768,-0.009842,0.002768,-0.009842,0.11626,0.078431,0.21715,0.25498,0.24237,0.26759,0.29281,0.20454,0.14148,0.091042,0.0406,-0.085505,-0.035063,-0.060284,-0.060284,-0.12334,-0.26205,-0.22422,-0.22422,-0.21161,-0.199,-0.28727,-0.23683,-0.17378,-0.3251,0.05321,0.39369,-0.047674,-1.0061,-2.0023,-2.5445,-2.7841,-2.822,-2.4184,-2.1158,-1.9771,-1.8384,-1.7501,-1.6366,-1.2961,-1.0313,-0.71603,-0.33771,-0.199,0.078431,0.2802,0.48197,0.57024,0.59546,0.62068,0.65851,0.68373,0.72157,0.77201,0.82245,0.87289,0.93594,0.98639,1.062,1.1377,1.1629,1.226,1.2764,1.3269,1.3016,1.3143,1.2764,1.1882,1.0747,0.98639,0.84767,0.69634,0.58285,0.46936,0.33064,0.25498,1
-0.34443,-0.32979,-0.32979,-0.32979,-0.37371,-0.35907,-0.35907,-0.21266,-0.15409,-0.11017,0.050887,0.065528,0.050887,0.036246,-0.051601,-0.12481,-0.15409,-0.24194,-0.25658,-0.28586,-0.3005,-0.40299,-0.41763,-0.46156,-0.44692,-0.43227,-0.46156,-0.46156,-0.41763,-0.44692,-0.43227,-0.022319,0.16802,-0.59333,-1.4132,-2.1453,-2.4088,-2.6577,-2.4235,-1.8964,-1.7207,-1.6475,-1.5304,-1.4279,-1.1497,-0.87151,-0.57869,-0.35907,-0.27122,0.021605,0.27051,0.46084,0.65118,0.66582,0.72438,0.76831,0.78295,0.8708,0.92936,0.98793,1.149,1.1343,1.2661,1.3393,1.3686,1.4711,1.515,1.5589,1.5589,1.5736,1.5004,1.3686,1.2661,1.1197,1.0026,0.88544,0.78295,0.68046,0.56333,0.49012,0.37299,0.34371,1
0.22125,0.24137,0.30171,0.34194,0.42239,0.48273,0.50285,0.36205,0.32182,0.28159,0.22125,0.22125,0.18102,0.12068,0.12068,0.12068,0.10057,0.040228,0.020114,0.020114,-0.020114,-0.040228,-0.040228,-0.060342,-0.020114,-0.080455,-0.12068,0.040228,-0.080455,-1.0057,-2.293,-3.0372,-3.0372,-3.0372,-2.7556,-2.1522,-1.9108,-1.6896,-1.4281,-1.2269,-0.94535,-0.66376,-0.36205,-0.1408,-0.060342,0.10057,0.38216,0.60342,0.68387,0.70398,0.74421,0.76433,0.80455,0.80455,0.84478,0.90512,0.92524,0.98558,1.0861,1.1264,1.1867,1.2471,1.2471,1.2471,1.1867,1.1063,0.98558,0.90512,0.70398,0.56319,0.46262,0.36205,0.20114,0.10057,0,-0.040228,-0.16091,-0.20114,-0.22125,-0.24137,-0.28159,-0.30171,2
-0.56844,-0.53012,-0.51097,-0.47265,-0.39602,-0.30022,-0.24275,-0.24275,-0.20443,-0.28107,-0.28107,-0.31938,-0.37686,-0.33854,-0.3577,-0.31938,-0.22359,-0.28107,-0.26191,-0.3577,-0.28107,-0.30022,-0.24275,-0.30022,-0.22359,-0.24275,-0.33854,-0.20443,-0.20443,-0.089483,-0.20443,-0.56844,-1.5072,-2.3885,-2.6567,-2.5417,-2.3502,-2.0819,-1.7946,-1.7946,-1.4689,-1.239,-1.0857,-0.76002,-0.60676,-0.26191,-0.051167,0.025467,0.40863,0.5619,0.81096,0.86843,0.84927,0.83012,0.86843,0.88759,0.92591,0.92591,1.0025,0.98338,1.0217,1.0983,1.1366,1.1366,1.2133,1.2516,1.3091,1.3474,1.3091,1.3474,1.3282,1.2133,1.2324,1.175,0.96422,0.92591,0.7918,0.73432,0.65769,0.52358,0.52358,0.46611,2
0.059847,0.084142,0.16917,0.24206,0.2785,0.42426,0.35138,0.32709,0.33923,0.21776,0.13273,0.20561,0.16917,0.13273,0.059847,0.0477,-0.000889,-0.061625,-0.12236,-0.11021,-0.13451,-0.1831,-0.1831,-0.098066,-0.23169,-0.23169,-0.23169,0.071994,0.18132,-0.75402,-1.9201,-2.5397,-2.7097,-2.8676,-2.7947,-2.321,-2.0659,-1.8959,-1.7501,-1.6286,-1.4221,-1.0941,-0.76616,-0.40175,-0.24383,0.023406,0.20561,0.39997,0.54574,0.58218,0.58218,0.63077,0.7158,0.6915,0.6915,0.75224,0.81297,0.86156,0.9223,0.94659,1.0195,1.0559,1.1045,1.1652,1.226,1.1895,1.2017,1.1895,1.1531,1.0438,0.93445,0.83727,0.72794,0.63077,0.52144,0.38782,0.2785,0.19347,0.096289,0.023406,-0.025183,-0.049478,1
0.94789,-0.021175,-0.021175,-0.021175,-0.021175,-0.033165,-0.021175,0.002803,0.074739,0.13469,0.17065,0.30254,0.19463,0.15866,0.14668,0.086728,-0.009186,0.014793,-0.033165,-0.081122,-0.1051,-0.12908,-0.16505,-0.22499,-0.28494,-0.27295,-0.28494,-0.27295,-0.28494,-0.29693,-0.30892,-0.34489,-0.15306,0.038771,-0.3329,-1.364,-2.1673,-2.407,-2.455,-2.467,-2.2512,-1.9874,-1.8915,-1.8316,-1.7237,-1.6277,-1.34,-1.1002,-0.78849,-0.50075,-0.29693,0.002803,0.31453,0.57829,0.63824,0.6742,0.72216,0.77012,0.81808,0.85404,0.87802,0.92598,0.99792,1.0459,1.1298,1.1897,1.2497,1.3096,1.3696,1.3576,1.4056,1.3696,1.3576,1.2617,1.1418,1.0219,0.87802,0.72216,0.61426,0.47039,0.35049,0.2306,1
