att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140,att141,att142,att143,att144,att145,att146,att147,att148,att149,att150,att151,target
-1.6023,-1.6708,-1.6937,-1.6994,-1.6994,-1.7037,-1.7037,-1.7037,-1.7037,-1.7037,-0.73426,-0.97696,0.46215,0.94614,1.4444,1.5272,1.6229,1.6685,1.7042,1.7185,1.7185,1.787,1.7414,1.7271,1.7185,1.7185,1.7185,1.7142,1.7185,1.7142,1.7228,1.7228,1.7228,1.7185,1.6,-1.3467,-1.5894,-1.6394,-1.6665,-1.6765,-1.6851,-1.6894,-1.6937,-1.6937,-0.82563,-0.56579,-0.017555,0.20231,0.22515,0.26085,0.27941,0.27941,0.27084,0.26513,0.27084,0.27084,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27941,0.28369,0.28369,0.28369,0.27941,0.27941,0.27941,0.27941,0.27941,0.27941,0.27941,0.27941,0.27941,0.27941,0.27941,0.27941,0.27941,0.27512,0.27512,0.27941,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27941,0.27512,0.27512,0.27512,0.27512,0.27512,0.27941,0.27941,0.28369,0.28797,0.29368,0.27941,0.28369,0.28369,0.28369,0.28369,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27512,0.27941,0.27941,0.27512,0.27941,0.27512,0.27941,0.27512,0.27512,-1.0141,-1.1326,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,-1.1454,1
1.0846,1.0846,1.0846,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0846,1.0846,1.0846,1.0846,1.0846,1.0846,1.0653,1.0846,1.0846,-0.59311,-0.20743,0.10111,0.19753,0.25538,0.29395,0.33252,0.3518,0.37109,0.39037,0.39037,0.40966,0.40966,1.0653,1.0846,1.0653,1.0846,1.0653,1.0846,1.0653,1.0653,1.0653,1.0653,1.046,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,-0.20743,-0.90165,-0.92093,-0.92093,-0.94022,-0.94022,-0.9595,-0.9595,-0.97878,-0.97878,-0.99807,-0.99807,-0.99807,-1.0174,-1.0174,-1.0174,-1.0366,-1.0366,-1.0366,-1.0366,-1.0366,-1.0366,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0752,-1.0559,-1.0559,-1.0752,-1.0752,-1.0752,-1.0752,-1.0752,-1.0752,-1.0752,-1.0559,-1.0559,-1.0559,-1.0559,-1.0559,-1.0366,-1.0174,-0.99807,-0.97878,-0.9595,-0.9595,-0.9595,-0.9595,-0.9595,-0.9595,-0.9595,-0.9595,-0.97878,-0.97878,-0.97878,-0.97878,-0.9595,-0.97878,-0.9595,-0.9595,-0.9595,-0.97878,0.9496,1.046,1.0653,1.0846,1.0846,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1.0653,1
0.36269,0.36269,0.36269,0.39332,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.39332,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.85272,-0.40299,-0.40299,-0.40299,-0.40299,-0.43361,-0.43361,-0.40299,-0.40299,-0.40299,-0.37236,-0.40299,-0.40299,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.36269,0.30143,0.33206,0.39332,0.39332,10.898,3.3948,-0.40299,-0.40299,-0.34173,-0.28048,-0.28048,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.37236,-0.34173,-0.34173,-0.34173,-0.37236,-0.34173,-0.34173,-0.37236,-0.37236,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.34173,-0.31111,-0.34173,-0.34173,-0.34173,-0.34173,-0.31111,-0.34173,-0.34173,-0.34173,-0.31111,-0.34173,-0.34173,-0.31111,-0.34173,-0.34173,-0.31111,-0.34173,-0.34173,-0.31111,-0.34173,-0.34173,-0.34173,-0.40299,-0.37236,-0.37236,-0.37236,-0.34173,-0.40299,-0.40299,-0.40299,-0.37236,-0.37236,-0.37236,-0.34173,-0.37236,-0.40299,-0.37236,-0.37236,-0.40299,-0.40299,-0.40299,-0.40299,-0.40299,-0.37236,-0.40299,-0.37236,-0.40299,-0.40299,-0.40299,-0.40299,0.39332,0.39332,0.39332,0.39332,0.39332,0.39332,0.36269,0.39332,0.39332,0.39332,0.39332,0.39332,0.39332,1
-1.0945,-1.0945,-1.0945,-1.0967,-1.0945,-1.0967,-1.0945,-1.0945,-1.0945,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,0.70751,1.0785,0.99239,0.76713,0.60813,0.45354,0.36079,0.28792,0.20841,0.15762,0.10683,0.078121,0.051621,-0.93773,-1.0945,-1.0945,-1.0945,-1.0945,-1.0945,-1.0945,-1.0945,-1.0967,-1.0945,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,0.33208,0.82455,0.88638,0.93276,0.95705,0.96809,0.98134,0.99018,0.99901,0.99901,1.0012,0.99459,0.98797,0.98134,0.97251,0.96809,0.96809,0.96589,0.96368,0.95926,0.95264,0.95926,0.96147,0.95484,0.9438,0.94601,0.93939,0.94159,0.94601,0.9438,0.94159,0.93497,0.93055,0.92834,0.92834,0.92172,0.92614,0.92834,0.93055,0.93055,0.93276,0.93718,0.93718,0.93718,0.93718,0.93718,0.93939,0.94601,0.94601,0.95705,0.98576,1.0189,1.0608,1.0498,1.0498,1.0388,1.0299,1.0299,1.0321,1.0299,1.0255,1.0211,1.0167,1.0145,1.0101,1.0034,1.0012,1.0012,0.99459,0.99018,0.98576,-0.79639,-1.0945,-1.0945,-1.0967,-1.0945,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,-1.0967,1
-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1059,-1.1059,-1.1038,-1.1059,-1.1038,-1.1038,-1.1038,-1.1038,-1.1059,0.77541,1.0057,0.74097,0.5128,0.304,0.18346,0.077987,0.015563,-0.033945,-0.083454,-0.11574,-0.15018,-0.17171,-0.97676,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1059,-1.1059,-1.1038,-1.1059,-1.1038,-0.23198,0.40087,0.84429,0.89811,0.92609,0.94977,0.96268,0.97775,0.99497,1.0014,1.0122,1.0079,1.0036,0.99928,0.99712,0.99712,0.99067,0.99067,0.98636,0.9799,0.97775,0.9756,0.97345,0.96914,0.96699,0.96268,0.96053,0.96053,0.96053,0.95838,0.95623,0.95838,0.96053,0.95838,0.95407,0.95407,0.95192,0.95192,0.95192,0.95192,0.95192,0.95192,0.95407,0.95623,0.95623,0.95838,0.96053,0.96914,0.97129,0.96699,0.97345,0.97775,1.0036,1.0423,1.0639,1.0531,1.0445,1.0316,1.0251,1.0187,1.01,0.99928,0.99712,0.99497,0.99712,0.99067,0.98636,0.99282,0.99067,0.98851,0.98636,0.98636,0.98636,-1.0693,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,-1.1038,1
0.42502,0.42502,0.45622,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,2.0471,-0.51081,-0.542,-0.51081,-0.542,-0.542,-0.51081,-0.44842,-0.47961,-0.51081,-0.51081,-0.51081,-0.51081,0.45622,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.33144,0.39383,0.45622,0.45622,10.22,3.2949,-0.35483,-0.47961,-0.47961,-0.41722,-0.38603,-0.41722,-0.44842,-0.47961,-0.44842,-0.47961,-0.47961,-0.44842,-0.51081,-0.47961,-0.47961,-0.51081,-0.51081,-0.51081,-0.47961,-0.47961,-0.47961,-0.44842,-0.47961,-0.44842,-0.47961,-0.47961,-0.47961,-0.47961,-0.47961,-0.47961,-0.47961,-0.47961,-0.47961,-0.44842,-0.47961,-0.47961,-0.44842,-0.47961,-0.47961,-0.47961,-0.44842,-0.44842,-0.44842,-0.44842,-0.44842,-0.44842,-0.44842,-0.44842,-0.44842,-0.44842,-0.44842,-0.47961,-0.47961,-0.51081,-0.44842,-0.47961,-0.51081,-0.47961,-0.47961,-0.47961,-0.51081,-0.51081,-0.51081,-0.51081,-0.51081,-0.51081,-0.51081,-0.51081,-0.542,-0.51081,-0.51081,-0.51081,-0.542,-0.51081,-0.542,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,0.42502,1
1.0593,1.0593,1.0593,1.0593,1.0779,1.0593,1.0593,1.0407,1.0593,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0593,1.0593,1.0593,-0.18541,0.074677,0.33476,0.44623,0.48338,0.52054,0.53912,0.55769,0.55769,0.57627,0.57627,0.59485,0.59485,1.0779,1.0593,1.0593,1.0593,1.0593,1.0593,1.0779,1.0593,1.0779,1.0779,1.0779,1.0779,1.0593,1.0779,1.0593,1.0779,1.0779,-0.1111,-0.79847,-0.83562,-0.94709,-0.96567,-0.96567,-0.98424,-0.98424,-1.0028,-0.98424,-0.98424,-0.98424,-0.98424,-0.98424,-0.98424,-1.0028,-1.0028,-1.0028,-1.0214,-1.0214,-1.0214,-1.0214,-1.0214,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0771,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0586,-1.0771,-1.0586,-1.0586,-1.0771,-1.04,-1.0214,-0.98424,-0.94709,-0.94709,-0.94709,-0.92851,-0.94709,-0.92851,-0.94709,-0.94709,-0.94709,-0.94709,-0.94709,-0.92851,-0.92851,-0.92851,-0.92851,-0.94709,-0.94709,-0.92851,-0.92851,1.0779,1.0593,1.0593,1.0593,1.0593,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1.0779,1
1.1329,1.1329,1.1329,1.1527,1.1527,1.1527,1.1329,1.1329,1.1527,1.1329,1.1329,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,-0.31366,0.2808,0.51859,0.65729,0.69693,0.71674,0.73656,0.75637,0.75637,0.77619,0.77619,0.796,0.796,1.1923,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1527,1.1329,1.1329,1.1527,1.1329,-0.17495,-0.82885,-0.82885,-0.8883,-0.8883,-0.90812,-0.90812,-0.90812,-0.92793,-0.94775,-0.94775,-0.94775,-0.94775,-0.94775,-0.96756,-0.96756,-0.96756,-0.96756,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-1.0072,-1.0072,-0.98738,-0.98738,-0.98738,-0.98738,-0.98738,-1.0072,-1.0072,-1.0072,-1.0072,-1.0072,-1.0072,-1.0072,-1.0072,-1.0072,-1.0072,-1.0072,-0.98738,-0.96756,-0.90812,-0.8883,-0.84867,-0.82885,-0.80904,-0.80904,-0.80904,-0.80904,-0.80904,-0.80904,-0.80904,-0.80904,-0.80904,-0.78922,-0.78922,-0.78922,-0.78922,-0.78922,-0.78922,-0.78922,-0.78922,-0.78922,-0.78922,1.113,1.1329,1.1329,1.1329,1.1329,1.1527,1.1527,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1.1329,1
-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,1.6982,1.6982,1.6982,1.6982,1.6982,1.6982,1.6982,1.6982,1.6982,1.6982,1.6982,1.6982,1.6982,-1.2023,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2513,-1.2513,-0.44871,0.31785,0.53975,0.54119,0.54695,0.55128,0.55848,0.56713,0.57145,0.57865,0.58586,0.58874,0.5945,0.60027,0.60171,0.60603,0.61179,0.61467,0.619,0.61612,0.61756,0.62188,0.62332,0.62476,0.62764,0.62908,0.63052,0.63485,0.63773,0.64061,0.64205,0.64349,0.64637,0.64782,0.6507,0.6507,0.6507,0.65646,0.6579,0.65646,0.65358,0.65502,0.65646,0.6579,0.66222,0.66367,0.66367,0.66222,0.66222,0.66511,0.66367,0.66511,0.66222,0.6579,0.6579,0.66078,0.65934,0.6507,0.63485,0.58874,0.54983,0.52102,0.50084,0.47779,0.44897,0.42592,0.41583,0.41295,0.41295,0.41295,0.41295,0.41151,0.41295,0.41295,0.41007,0.41151,0.41295,0.41295,0.41295,0.41439,0.41439,0.41439,0.41295,0.41295,-1.2455,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,-1.2498,1
-1.4187,-1.6777,-1.5815,-0.96104,-0.42847,0.96776,1.4725,1.7336,1.7175,1.8252,1.8518,1.934,1.9455,1.9638,1.9523,1.9405,1.9558,1.9347,1.9644,1.932,1.9894,1.8889,2.0675,0.92451,-1.5261,-1.4947,-1.6026,-1.5704,-1.6095,-1.5978,-0.99654,-0.33067,0.12299,0.23618,0.28675,0.32405,0.38996,0.44074,0.44635,0.44569,0.44388,0.44867,0.4501,0.45357,0.45031,0.44747,0.44805,0.44762,0.44785,0.44756,0.4482,0.44702,0.45114,0.44838,0.448,0.44487,0.44668,0.44825,0.44742,0.44794,0.44781,0.44757,0.448,0.44334,0.44486,0.44831,0.44406,0.4427,0.44584,0.44817,0.44781,0.44739,0.44844,0.45042,0.45006,0.44934,0.45175,0.45082,0.44937,0.45342,0.45143,0.45299,0.44842,0.44848,0.45262,0.45189,0.45263,0.45191,0.45249,0.45163,0.44895,0.45266,0.45192,0.45269,0.4504,0.44897,0.44612,0.4574,0.43923,0.47156,0.4239,0.4974,0.37962,0.59378,-0.22791,-1.1538,-0.95768,-1.0735,-1.0014,-1.0478,-1.0184,-1.0362,-1.0261,-1.0313,-1.029,-1.0292,-1.0293,-1.0289,-1.029,-1.0295,-1.029,-1.029,-1.0294,-1.0291,-1.0289,-1.0292,-1.0293,-1.0289,-1.0291,-1.0295,-1.029,-1.029,-1.0294,-1.0291,-1.0289,-1.0292,-1.0292,-1.0289,-1.0291,-1.0294,-1.029,-1.029,-1.0295,-1.0299,-1.0284,-1.0315,-1.0263,-1.0345,-1.0215,-1.0421,-1.009,-1.0679,-1
